position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-0b92afe0c01f8d4aae42","星旅少年","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 星旅少年; Rakuten product=https://books.rakuten.co.jp/rb/17105344/","https://sugoiweb.jp/column/4772/","2022-12-12","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","별 여행 소년 만화 리뷰;호시타비 소년 만화 리뷰","https://bookmeter.com/search?keyword=%E6%98%9F%E6%97%85%E5%B0%91%E5%B9%B4;https://reviewne.jp/contents?query=%E6%98%9F%E6%97%85%E5%B0%91%E5%B9%B4"
"2","work-0ba3547258320bf33dc3","ラキア","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ラキア; Rakuten product=https://books.rakuten.co.jp/rb/6117000/","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","라키아 만화 리뷰;라키아 1권 리뷰","https://bookmeter.com/search?keyword=%E3%83%A9%E3%82%AD%E3%82%A2;https://reviewne.jp/contents?query=%E3%83%A9%E3%82%AD%E3%82%A2"
"3","work-0bbd8ef182853cb7845f","クールドジ男子","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for クールドジ男子; Rakuten product=https://books.rakuten.co.jp/rb/15793507/","https://sugoiweb.jp/column/4894/","2019-12-20","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","쿨하고 바보 같은 남자 만화 리뷰;쿨드지 남자 만화 리뷰","https://bookmeter.com/search?keyword=%E3%82%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B8%E7%94%B7%E5%AD%90;https://reviewne.jp/contents?query=%E3%82%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%82%B8%E7%94%B7%E5%AD%90"
"4","work-0bd2d3b52ffff3a7ded4","看護助手のナナちゃん","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 看護助手のナナちゃん; Rakuten product=https://books.rakuten.co.jp/rb/11126624/","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","간호조무사 나나짱 만화 리뷰;나나짱 간호사 만화 리뷰","https://bookmeter.com/search?keyword=%E7%9C%8B%E8%AD%B7%E5%8A%A9%E6%89%8B%E3%81%AE%E3%83%8A%E3%83%8A%E3%81%A1%E3%82%83%E3%82%93;https://reviewne.jp/contents?query=%E7%9C%8B%E8%AD%B7%E5%8A%A9%E6%89%8B%E3%81%AE%E3%83%8A%E3%83%8A%E3%81%A1%E3%82%83%E3%82%93"
"5","work-0c0301626306f5624d27","Sunny Sunny Ann!","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for Sunny Sunny Ann!; Rakuten product=https://books.rakuten.co.jp/rb/11789720/","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","써니 써니 앤 만화 리뷰;써니써니앤 만화 1권 리뷰","https://bookmeter.com/search?keyword=Sunny%20Sunny%20Ann!;https://reviewne.jp/contents?query=Sunny%20Sunny%20Ann!"
"6","work-0cf5c4d5df5b040deeba","ヴォイニッチホテル","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ヴォイニッチホテル; Rakuten product=https://books.rakuten.co.jp/rb/6797119/","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","보이니치 호텔 만화 리뷰;보이니치호텔 만화 1권 리뷰","https://bookmeter.com/search?keyword=%E3%83%B4%E3%82%A9%E3%82%A4%E3%83%8B%E3%83%83%E3%83%81%E3%83%9B%E3%83%86%E3%83%AB;https://reviewne.jp/contents?query=%E3%83%B4%E3%82%A9%E3%82%A4%E3%83%8B%E3%83%83%E3%83%81%E3%83%9B%E3%83%86%E3%83%AB"
"7","work-0d10ae56716a82f0ae4e","ほしのうえでめぐる","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ほしのうえでめぐる; Rakuten product=https://books.rakuten.co.jp/rb/11509725/","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","별 위에서 맴돌다 만화 리뷰;호시노 우에데 메구루 만화 리뷰","https://bookmeter.com/search?keyword=%E3%81%BB%E3%81%97%E3%81%AE%E3%81%86%E3%81%88%E3%81%A7%E3%82%81%E3%81%90%E3%82%8B;https://reviewne.jp/contents?query=%E3%81%BB%E3%81%97%E3%81%AE%E3%81%86%E3%81%88%E3%81%A7%E3%82%81%E3%81%90%E3%82%8B"
"8","work-0d6c496878e276979e3c","ふたり鷹","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ふたり鷹; Rakuten product=https://books.rakuten.co.jp/rb/376404/","https://shogakukan-comic.jp/shogakukan-mangasho-archives","1984","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","두 사람의 매 만화 리뷰;후타리 타카 만화 리뷰","https://bookmeter.com/search?keyword=%E3%81%B5%E3%81%9F%E3%82%8A%E9%B7%B9;https://reviewne.jp/contents?query=%E3%81%B5%E3%81%9F%E3%82%8A%E9%B7%B9"
"9","work-0d894a02becb714986db","闇金ウシジマくん","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 闇金ウシジマくん; Rakuten product=https://books.rakuten.co.jp/rb/1696747/","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2020","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","사채꾼 우시지마 만화 리뷰;우시지마군 만화 리뷰","https://bookmeter.com/search?keyword=%E9%97%87%E9%87%91%E3%82%A6%E3%82%B7%E3%82%B8%E3%83%9E%E3%81%8F%E3%82%93;https://reviewne.jp/contents?query=%E9%97%87%E9%87%91%E3%82%A6%E3%82%B7%E3%82%B8%E3%83%9E%E3%81%8F%E3%82%93"
"10","work-0dd1ceee981780c10491","誰かがカッコゥと啼く","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 誰かがカッコゥと啼く; Rakuten product=https://books.rakuten.co.jp/rb/4390191/","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-010\frozen-work-set.csv","누군가가 뻐꾸기처럼 운다 만화 리뷰;다레카가 캇코우토 나쿠 리뷰","https://bookmeter.com/search?keyword=%E8%AA%B0%E3%81%8B%E3%81%8C%E3%82%AB%E3%83%83%E3%82%B3%E3%82%A5%E3%81%A8%E5%95%BC%E3%81%8F;https://reviewne.jp/contents?query=%E8%AA%B0%E3%81%8B%E3%81%8C%E3%82%AB%E3%83%83%E3%82%B3%E3%82%A5%E3%81%A8%E5%95%BC%E3%81%8F"
