workId,canonicalTitle,officialUrl,sourceName,sourceType,publishedAt,retrievedAt,editionMapping,accessResult,readableInternalPageCount,distinctContextCount,pageRefs,staticGateAttemptable,motionGateAttemptable,stateEligibility,temporarySampleSha256,limitation
work-c7280f9dcc2754d3f864,鵺の陰陽師,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088836874,集英社 公式試し読み,officialPublisherInternalPreview,2023-10-04,2026-08-25,official product and exact ISBN reader identify the same title creator and Jump Comics volume 1 for frozen ISBN 9784088836874,accessible,6,3,reader-page-05;reader-page-06;reader-page-07;reader-page-09;reader-page-13;reader-page-14,true,false,sample-ready,reader-page-05=947711a16100920c4419dabdb725535050ecf88330a8e21b535d1ddc38adcd58;reader-page-06=df12f1b03f0d45a6932e9a7dd756769584b95937dd7b88a4a3a53d7b8382eb7c;reader-page-07=d3c18b52a287fc3bf4f90fc5a8aace35380e6754ff83838ac8fc3bbcf583341d;reader-page-09=efc1ff199decab826f036817ec035e31ba4e75513c6b1220d072a1bf3715aae1;reader-page-13=9bd8ffea180ef5ed06c104f90519c010150610fd272ca4844f0b9cc16bfd07b0;reader-page-14=4a96259337c1fd4b17387784c4347e1ca6c8e2c6a545dd38c71b2d690deaaad8,no Art values assigned; six readable body pages span supernatural forest action school conversation and hallway contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-d63a83030a8819ff553c,モテキ,https://www.kodansha.co.jp/comic/products/0000038652/trial/reader?cid=c0763b2579d9e896920219c4d854ef772bf50f7a608e6025915e1993e353c741,講談社 公式試し読み,officialPublisherInternalPreview,2009-03-23,2026-08-25,official Kodansha product 0000038652 and product-linked reader match frozen ISBN 9784063522594 and original Evening KC volume 1,accessible,6,2,reader-page-09;reader-page-10;reader-page-11;reader-page-12;reader-page-18;reader-page-19,true,false,sample-ready,reader-page-09=0c53d7d956682d02f6aa4dbf3ed0e851ab2f6f77ca848eb9013069ce64af0946;reader-page-10=c990d5ec5299ca87eb06eedc975a48efb3809afc1d049cf3bf59ae7ab95728f0;reader-page-11=9c212bfe012608f7901b1a72b818df50fec7f7db36c3c0c1375ff10ec75a5f43;reader-page-12=bc4983530f3501977605f1b7d9d986306bedfc8a0e36413cf7d20cafc34eea79;reader-page-18=39e41e7a0edc16b887868b75b56487981b97b2d07b69020e577dbf849cd8799c;reader-page-19=3fb6e7c153aee5e862f35fd7a7fa1ec6113c60a337fe0fa8127cca503259efec,no Art values assigned; six genuine body pages span domestic room/meal conversation and outdoor festival/people contexts; reader-page-06 and reader-page-07 chapter-title/frontispiece are excluded; no exact continuous start/development/impact/resolved motion sequence isolated
work-d8a87d01c1f35d58e791,八雲さんは餌づけがしたい。,https://magazine.jp.square-enix.com/yg/introduction/yakumo/,SQUARE ENIX・ヤングガンガン公式第1話試し読み,officialPublisherInternalPreview,2016-09-24,2026-08-25,official Square Enix product ISBN 9784757551107 links the same title creator and entry-volume first episode; episode image sequence is the product-linked trial,accessible,6,2,episode-01-page-005;episode-01-page-006;episode-01-page-007;episode-01-page-008;episode-01-page-009;episode-01-page-010,true,false,sample-ready,episode-01-page-005=07da429fd50180481162f8a9bdba5a9d103cf290e92591fcd86d541712e46b03;episode-01-page-006=36aa2ebe87039d3d58f4a65fe0d687d2ae54fdc031cea63ec647e7b726feb224;episode-01-page-007=9377e28da1b083682663abe3a5a8013d9ad076cdffb15cd510339916c87bffc1;episode-01-page-008=ee11fec46e8595d79539ca01c98318cb35f95a780c2b47c8c7ff361d2592a8ff;episode-01-page-009=ac210039353cb221ba2fd1b9e2b619b2f120ac9d55b78d704c179316eac3ae28;episode-01-page-010=575dc156bd28c569d5fa79e74828dfa85a2564156512bfbfb25f95f5bfe444c0,no Art values assigned; six readable body pages cover apartment entry/hallway and kitchen/dining meal interaction contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-e2f095e08fc5e08d5a2b,高嶺と花,https://www.hakusensha.co.jp/comicslist/46600/,白泉社公式商品ページ,officialPublisherProductPage,2015-03-20,2026-08-25,official product matches frozen ISBN 9784592213512 and entry volume 1; no registered Hakusensha preview route provides an exact sampling bridge,official-route-unregistered-no-sampling,0,0,,false,false,unknown-ready,,art-source-route-registry has no Hakusensha trusted preview route; no image sampling performed and all Art axes remain unknown
work-e81955a9fc5c4d84580f,ここは今から倫理です。,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088907918,集英社 公式試し読み,officialPublisherInternalPreview,2017-11-22,2026-08-25,official product and exact ISBN reader identify the same title creator and volume 1 for frozen ISBN 9784088907918,accessible,6,2,reader-page-07;reader-page-08;reader-page-09;reader-page-13;reader-page-14;reader-page-15,true,false,sample-ready,reader-page-07=3c95e75a095d1436b2d0962943dad12588acf8b559896887104d27b99411b3fe;reader-page-08=46f03b94916fd62ced9bdee1ee1797fdc8e52aac6294f0e8168cd02aefe2d089;reader-page-09=298e9ed22e60bfc24721c5d37db7fa20b559b7a13a98e79ade57f2d2b14c3c89;reader-page-13=5be6e7a38e704e65a52fa836b6828011b3730557d8100df2647e22ffb8f63c1b;reader-page-14=4e3658d09d46088048da46a58428ad96a63f8e590c5c0ba68a92fe0888a6333d;reader-page-15=d9d22145d8e384f9056ccb1428c0dbe51d2882d0581f0a6f958f7d25465e2862,no Art values assigned; six readable body pages span teacher/student classroom interaction and wider classroom group contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-eef84d07d90ba2b040cf,さよなら絵梨,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088831671,集英社 公式試し読み,officialPublisherInternalPreview,2022-07-04,2026-08-25,official product and exact ISBN reader identify the same complete one-shot for frozen ISBN 9784088831671; no volume-number substitution,accessible,6,3,reader-page-05;reader-page-06;reader-page-07;reader-page-08;reader-page-09;reader-page-13,true,false,sample-ready,reader-page-05=74e86217e6ed167c727e01b65c68a144fc0c80bdd61852288ecee35f9659e087;reader-page-06=b49e8043fbe1fe80a4492d10fdcf564746eae777eef43a9647403ceede492836;reader-page-07=55ae0caf792591326335ae4a74fbb3b73a0d92822ead715ab8406587eab0b006;reader-page-08=915c268425725d5ded88105db98abcbe493ee477bcddcd4c8fdef635b30023d1;reader-page-09=1936f47375b752e47a5e7ac72c6b6a4b5e5cbe8d03d68e87872ea95e566b40cf;reader-page-13=17e0bfc24a05cc1d0227ff57a2a412fa0d943c4e728ef9d85b0c5d8242e009c9,no Art values assigned; complete one-shot bridge verified; six readable body pages span home dining conversation and room/outdoor family contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-f8cb26831612e0c6ece5,極楽街,https://www.shueisha.co.jp/books/reader/main.php?cid=08X10000000024865900,集英社 公式試し読み,officialPublisherInternalPreview,2022-11-04,2026-08-25,official Shueisha JDCN reader 08X10000000024865900 is the same title creator and electronic volume 1 bridged to frozen paper ISBN 9784088827407,accessible,6,3,reader-page-05;reader-page-09;reader-page-13;reader-page-14;reader-page-15;reader-page-19,true,false,sample-ready,reader-page-05=3a2fb1d63e91b9dde484b90b940f7a2e2c2cda884a40a98a2f21600cd3810370;reader-page-09=564b1a0573be6f3362d9cbaf14f77845469f2c6511c7e9196c7c3a7e881201ea;reader-page-13=3053075080af2a8e106c4edad2e8d1e824c5715df9ffbffb84ec3184a27c3fc5;reader-page-14=c9851662ca425f3b936da21be0ea0d0dc4df71b1db0e9ee5a14a5cfb686bedb7;reader-page-15=7a6a289058a54bb4ea1b202b86d1872e53ace6013f915caa861d39cbe4d96fc6;reader-page-19=ced67e7a45b9da7dc1c0a09420efe04923cfd28dd43d76e48fc6a905346d3031,no Art values assigned; six readable body pages span office/urban streets and interior action contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-fc53cb5669aa4099ee4a,アオハライド,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088466477,集英社 公式試し読み,officialPublisherInternalPreview,2011-04-13,2026-08-25,official product and exact ISBN reader identify the same title creator and volume 1 for frozen ISBN 9784088466477,accessible,6,2,reader-page-07;reader-page-08;reader-page-09;reader-page-13;reader-page-14;reader-page-15,true,false,sample-ready,reader-page-07=639b189cb5f18fc2c8d43a615331848499ae0e9d5a76ea6b90ac75fda398f28c;reader-page-08=532f3a928027d0e651be2a7198849231cae94729c015df63a022a9ded90c3356;reader-page-09=f70bbbdf4a098331fe7442f044aa254b3fa1ee42db5cd3f5184f641fa1398f52;reader-page-13=8817ea796f4ccb7ffa6a2b9bf67d46cd3d70afbdd20b9fd1e9b3f4582cc421a6;reader-page-14=6c008ab2d40399ffc4c8c24d59262eaad38b532fe5a45b8c1938e92b474a8699;reader-page-15=c83a93d1b672f8f078ff78d92b9800b157182865a0757c057645b4a5174816f9,no Art values assigned; six readable body pages span school hallway/classroom and outdoor sports contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-fd2a957c501c36047ed0,青の祓魔師,https://www.shueisha.co.jp/books/reader/main.php?cid=9784088747095,集英社 公式試し読み,officialPublisherInternalPreview,2009-08-04,2026-08-25,official product and exact ISBN reader identify the same title creator and volume 1 for frozen ISBN 9784088747095,accessible,6,3,reader-page-08;reader-page-09;reader-page-13;reader-page-14;reader-page-15;reader-page-19,true,false,sample-ready,reader-page-08=10b83f292cf4fd149e35718a0cacbb239591b71017f2452f00e71de9291fe555;reader-page-09=39c603f03158ed5a95ed03f19aa7b7f855fc88ceae05ed66889dea7669232370;reader-page-13=2c2f87f97b7eff4e4f2768fe64156a63e011a4cf28dba06c51ed05ef2de334df;reader-page-14=a67ea55b7bb1e5c244a56cbbcbd8854ab8dd577ddbd8351716b71b64e9edd09d;reader-page-15=3f8f01326776b133fe8f86675a69b76d26311ec532e8b1bdb22899e3e18f4258;reader-page-19=e9294e7178a0d4acb54bc04a0cd6656873b3b6a1e0cb21a0035ed5d2f6ca872d,no Art values assigned; six readable body pages span supernatural threat and town/interior group contexts; no exact continuous start/development/impact/resolved motion sequence isolated
work-ff9b025f58d7e12f3cb1,LOVE SO LIFE,https://www.hakusensha.co.jp/comicslist/44745/,白泉社公式商品ページ,officialPublisherProductPage,2009-05-19,2026-08-25,official product matches frozen ISBN 9784592187349 and entry volume 1; no registered Hakusensha preview route provides an exact sampling bridge,official-route-unregistered-no-sampling,0,0,,false,false,unknown-ready,,art-source-route-registry has no Hakusensha trusted preview route; no image sampling performed and all Art axes remain unknown
