workId,batchId,batchType,status,selectionReason,methodPolicy,panelPolicy,lastUpdatedAt
work-060a72fe10cf6ba9cbfc,batch-005,batch,frozen,era-2000s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-076beb86f844b642beef,batch-005,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-091d231d37f037fb07e8,batch-005,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0cf463005cc77eeded8e,batch-005,batch,frozen,era-2020s;audience-shonen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0d1ad77728a44df56508,batch-005,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0dabd1d17e5fcf2992b9,batch-005,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0ebf010ac12b9b60d80e,batch-005,batch,frozen,era-unknown;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0ede6921b81169dc2dda,batch-005,batch,frozen,era-2010s;audience-shonen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-0eff8190c0c6ff604527,batch-005,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-12b484cd79bfe6852ea1,batch-005,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-151b456508f78852b002,batch-005,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-1550d4a52c3fe6d9f94c,batch-005,batch,frozen,era-2000s;audience-shojo;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-15d6508605fbd4a266fc,batch-005,batch,frozen,era-2000s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-18e08fe95968a6537773,batch-005,batch,frozen,era-2020s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-19b578d0e828242f14f3,batch-005,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-1b3afe12c434a9cf7603,batch-005,batch,frozen,era-2010s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-1b7c4ed54d7761cd242b,batch-005,batch,frozen,era-2000s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
work-1bce95b6c02673e59bcf,batch-005,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v3,official+community-bounded;art-optional-peer;muse-conditional,2026-08-25
