position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
"1","work-be54044322b24ee62dba","ドカベン ドリームトーナメント編","sports","tournament:2:0.86;sportsCompetition:2:0.86","unknown","2","2","2","unknown","2","4","4","unknown","0","4","0","2","0.88","Rakuten Books representative volume 1 product — ドカベン ドリームトーナメント編","https://books.rakuten.co.jp/rb/11842265/","2013","2026-08-26","https://ameblo.jp/ikekat/entry-12131293953.html;https://ameblo.jp/mamoani/entry-12384887886.html","","도카벤 드림 토너먼트 편 만화 후기 리뷰;도카벤 드림 토너먼트 1권 감상","Akita 공식과 두 Ameblo 직접 경기 감상은 16구단 고시엔 토너먼트에서 역대 선수 군상이 배치·구종·번트·주루를 조합해 승부하고 팀 유대와 경기 압박을 반복하는 올스타 야구물로 설명한다. 한글 제목으로 한국 검색을 수행했으나 직접 작품 본문은 없어 KR URL은 비웠다. Conservative mappings: problemSolving=2; strategy=2; pacing=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; darkness=0; mentalStress=4; romance=0; emotionalWarmth=2. progression, mysteryReveal, comedy는 unknown이다. Art is optional and not assessed."
"2","work-be6fdcb10451af4f7569","DROPS","comedy;romance","foundFamily:2:0.85","2","2","0","4","0","2","4","4","2","2","2","4","2","0.90","Rakuten Books representative volume 1 product — DROPS","https://books.rakuten.co.jp/rb/6124417/","2010","2026-08-26","https://www.chil-chil.net/goodsDetail/goods_id/25003/;https://comic-days.com/episode/10834108156636186127","","드롭스 만화 후기 리뷰;DROPS 아니야 유이지 만화 감상","Rakuten·Comic DAYS 공식 본문과 ChiruChiru 직접 리뷰는 다섯 남매가 실연·싱글 육아·삼각관계·직장 연애를 각각 겪고 관계 문제를 풀어 가는 빠른 옴니버스 러브코미디라고 설명한다. 한글 제목과 작가명으로 한국 검색을 수행했으나 직접 작품 본문은 없어 KR URL은 비웠다. Conservative mappings: progression=2; problemSolving=2; strategy=0; pacing=4; mysteryReveal=0; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=2; mentalStress=2; romance=4; emotionalWarmth=2. Art is optional and not assessed."
3,work-be718dc826c927adf274,テラフォーマーズ,action;scienceFiction,combat:2:0.90;survival:2:0.91;exploration:2:0.84,unknown,2,2,4,2,4,2,2,unknown,4,4,unknown,2,0.78,Rakuten Books representative volume 1 product — テラフォーマーズ,https://books.rakuten.co.jp/rb/11604004/,2013,2026-08-26,https://arutedomain.com/terraformars-volume1-review/,,테라포마스 만화 리뷰;테라포마스 1권 리뷰,초반 1권 범위: 공식 Shueisha(https://www.shueisha.co.jp/books/items/contents.html?jdcn=08879270879270315501)는 2599년 화성 테라포밍과 15인 버그즈2호 임무 및 진화 생물을 명시한다. 독립 1권 리뷰(https://arutedomain.com/terraformars-volume1-review/)는 각 곤충 특성 설명과 전투 연결 및 인간 사이의 책략을 관찰하고 극심한 열세와 계속되는 긴장 및 공투를 적는다. 그래서 problemSolving=2 strategy=2 pacing=4 mysteryReveal=2 worldBuilding=4 characterArcWeight=2 relationshipStructure=2 darkness=4 mentalStress=4 emotionalWarmth=2를 확정했다.
4,work-be770c8b3ea29cdbf874,空母いぶき,action,war:2:0.90;politics:2:0.90,unknown,2,4,2,unknown,4,2,4,unknown,2,2,unknown,2,0.78,Rakuten Books representative volume 1 product — 空母いぶき,https://books.rakuten.co.jp/rb/13347046/,2017,2026-08-26,https://booklive.jp/review/list/title_id/340650/vol_no/001;https://honto.jp/ebook/pd-review_0627521456.html,,항공모함 이부키 만화 리뷰;항공모함 이부키 리뷰,초반 1권 관찰: 공식 Big Comic BROS(https://bigcomicbros.net/comics/30040/)는 센카쿠 충돌과 항모 이부키 신함대 및 아키츠 함장을 명시한다. BookLive 1권 리뷰(https://booklive.jp/review/list/title_id/340650/vol_no/001)는 정치적 의도와 작전 전문용어 및 방위 탈환의 지략과 동료 유대를 관찰한다. honto 리뷰(https://honto.jp/ebook/pd-review_0627521456.html)는 억지력·국제정치 긴장을 지적한다. 이에 problemSolving=2 strategy=4 pacing=2 worldBuilding=4 characterArcWeight=2 relationshipStructure=4 darkness=2 mentalStress=2 emotionalWarmth=2를 확정했다.
5,work-be8ce654b5d7e7b3fdfb,金の国 水の国,fantasy;romance,politics:2:0.94;territoryManagement:2:0.90,4,4,4,2,2,4,4,2,unknown,2,2,4,4,0.90,Rakuten Books representative volume 1 product — 金の国 水の国,https://books.rakuten.co.jp/rb/14275097/,2017,2026-08-26,https://www.mangataisho.com/data/2017/comment2017.pdf;https://kitamanga.com/kinnokuni/,https://eseon.tistory.com/125,금의 나라 물의 나라 만화 리뷰;킨노 쿠니 미즈노 쿠니 리뷰,초반 단권 범위: 공식 Flowers(https://flowers.shogakukan.co.jp/work/326/)는 적대 두 왕국과 사라·기술자 나란바야르의 만남을 설명한다. Manga Taisho 2017 선택자 코멘트(https://www.mangataisho.com/data/2017/comment2017.pdf)는 수자원·정치·공공사업·두 나라의 화해와 인물의 친절 및 지혜와 伏線 회수를 직접 논한다. 한국어 독립 감상(https://eseon.tistory.com/125)도 두 나라와 대역 결혼 및 행복한 결말을 서술한다. 따라서 progression=4 problemSolving=4 strategy=4 pacing=2 mysteryReveal=2 worldBuilding=4 characterArcWeight=4 relationshipStructure=2 darkness=2 mentalStress=2 romance=4 emotionalWarmth=4를 확정했다.
6,work-be8d528fa1e3ae0e6d31,往生際の意味を知れ！,mystery;romance,investigation:2:0.86,2,2,2,4,2,unknown,4,2,unknown,4,4,4,unknown,0.86,Rakuten Books representative volume 1 product — 往生際の意味を知れ！,https://books.rakuten.co.jp/rb/16324706/,2021-08-24,2026-08-26,https://hyakuhon.com/manga/ouzyogiwano1/;https://kappa-restroom.com/manga-review-200,,오우죠기와노 이미오 시레 만화 리뷰;마지막 순간의 의미를 알아라 리뷰,초반 1권(1~6화) 범위: 공식 Rakuten(https://books.rakuten.co.jp/rb/16324706/)은 7년 실종 전여친의 출현과 출산기록·정자 요구 및 재결합 러브스토리를 명시한다. Hyakuhon 1권 리뷰(https://hyakuhon.com/manga/ouzyogiwano1/)는 화재·자살시도·전화·무리한 요구의 연쇄를 설명한다. Kappa 1권 리뷰(https://kappa-restroom.com/manga-review-200)는 히요리의 복수 동기 미해결과 이치마츠의 만남 전략을 확인한다. 그래서 progression=2 problemSolving=2 strategy=2 pacing=4 mysteryReveal=2 characterArcWeight=4 relationshipStructure=2 darkness=4 mentalStress=4 romance=4를 확정했다.
7,work-be90023564b36a3b0eac,ライアー×ライアー,comedy;romance,school:1:0.73,2,2,2,2,2,unknown,unknown,4,2,unknown,2,4,2,0.78,Rakuten Books representative volume 1 product — ライアー×ライアー,https://books.rakuten.co.jp/rb/6796896/,2015,2026-08-26,https://ebookstore.sony.jp/review/title/00142585/id/BT000014258500100101/;https://www.cmoa.jp/title/47202/,,라이어×라이어 만화 리뷰;라이아 라이아 리뷰,초반 1~3권 범위: 공식 CMOA 1권(https://www.cmoa.jp/title/47202/)은 고교생으로 변장한 미나토와 의제 동생의 삼각관계 및 이중연애 코미디를 설명한다. Sony 독립 사용자 리뷰(https://ebookstore.sony.jp/review/title/00142585/id/BT000014258500100101/)는 1권을 읽고 거짓 신분과 전개 템포 및 계속 궁금한 정체를 관찰한다. CMOA 리뷰 본문은 거짓에서 시작한 관계의 고생과 친구 협력을 적는다. 이에 progression=2 problemSolving=2 strategy=2 pacing=2 mysteryReveal=2 relationshipStructure=4 comedy=2 mentalStress=2 romance=4 emotionalWarmth=2를 확정했다.
8,work-bf1cc824209498660888,ＥＶＩＬ ＨＥＡＲＴ,sports;sliceOfLife,martialArts:2:0.94;school:2:0.86,4,2,unknown,2,unknown,2,4,2,unknown,2,2,unknown,4,0.84,Rakuten Books representative volume 1 product — ＥＶＩＬ ＨＥＡＲＴ,https://books.rakuten.co.jp/rb/3574871/,2011,2026-08-26,https://booklive.jp/review/list/title_id/270631/vol_no/001;https://www.taikoblog.com/aikido-evil-heart-review1/,,이블 하트 만화 리뷰;이블하트 리뷰,초반 1권 6화 범위: 공식 Shueisha(https://www.shueisha.co.jp/books/items/contents.html?jdcn=08876824876824315501)는 부모 부재의 문제아 우메가 중학 입학 후 합기도를 만나 마음을 열기 시작하는 성장담을 명시한다. BookLive 1권 리뷰(https://booklive.jp/review/list/title_id/270631/vol_no/001)는 합기도와 마음의 어둠·성장을 직접 설명한다. 합기도 경험자 Taiko 1권 감상(https://www.taikoblog.com/aikido-evil-heart-review1/)은 비폭력 질문과 사건 및 소년 변화 중심을 기술한다. 따라서 progression=4 problemSolving=2 pacing=2 worldBuilding=2 characterArcWeight=4 relationshipStructure=2 darkness=2 mentalStress=2 emotionalWarmth=4를 확정했다.
9,work-c0a4903a040d0f704d18,レストー夫人,sliceOfLife,school:2:0.95,2,2,unknown,2,unknown,2,4,2,unknown,2,2,unknown,2,0.84,Rakuten Books representative volume 1 product — レストー夫人,https://books.rakuten.co.jp/rb/12750812/,2015,2026-08-26,https://suekichi.hatenablog.jp/entry/2014/07/07/041045;https://soukodou.jp/blog/2017/1103/163846;https://altolazy.hatenablog.com/entry/2021/06/06/014012,,레스토 부인 만화 리뷰;미시마 요시하루 레스토 부인 1권 감상;레스토 부인 일본 만화 리뷰,초반 단권의 네 막 범위: 공식 S-MANGA(https://www.s-manga.net/items/contents.html?jdcn=08879838879838315501)는 학교의 2학년 7개 반이 서로 다른 대본으로 같은 연극을 준비하고 네 막 목차를 제시한다. Suekichi 리뷰(https://suekichi.hatenablog.jp/entry/2014/07/07/041045)와 Soukodou 리뷰(https://soukodou.jp/blog/2017/1103/163846)는 기록係·시노·반 친구들의 학교 일상과 질문으로 인물을 드러내는 구조를 직접 분석한다. Altolazy 글(https://altolazy.hatenablog.com/entry/2021/06/06/014012)는 네 막의 대사와 기록을 인용하며 내면의 긴장을 설명한다. 따라서 progression=2 및 problemSolving=2 및 pacing=2 및 worldBuilding=2 및 characterArcWeight=4 및 relationshipStructure=2 및 darkness=2 및 mentalStress=2 및 emotionalWarmth=2를 확정했다. mysteryReveal는 핵심 추리 보상으로 직접 확인되지 않아 unknown이다. KR 개별 본문은 없어 query만 유지했다.
10,work-c0c630ff4d186daf762d,龍とカメレオン,action,workplace:2:0.92;crafting:2:0.86,2,2,2,4,2,4,4,2,unknown,2,2,unknown,2,0.86,Rakuten Books representative volume 1 product — 龍とカメレオン,https://books.rakuten.co.jp/rb/17428162/,2023-08-31,2026-08-26,https://ciatr.jp/topics/325661;https://obscuremanga.wordpress.com/2023/07/27/ryuu-to-chameleon/;https://booklive.jp/review/list/title_id/20058820/vol_no/001;https://www.cmoa.jp/title/customer_review/title_id/266531/,,용과 카멜레온 만화 리뷰;용과 카멜레온 1권 감상;류토 카메레온 리뷰,초반 1권: 공식 Square Enix(https://magazine.jp.square-enix.com/top/comics/detail/9784757585317/)는 천재 작가와 무명 신인의 몸 교환 및 만화업계 배틀을 명시한다. BookLive 1권 리뷰(https://booklive.jp/review/list/title_id/20058820/vol_no/001)는 두 작가가 복귀를 위해 만화 승부를 제안하고 이후 수련에 들어가는 전개와 빠른 템포를 적는다. CMOA 리뷰(https://www.cmoa.jp/title/customer_review/title_id/266531/)는 몸 교환·만화 배틀·절박한 상황에서 명작이 나온다고 관찰하며 한 주인공의 인격이 주변 사람들을 행복하게 바꾼다고 적는다. 따라서 progression=2 및 problemSolving=2 및 strategy=2 및 pacing=4 및 mysteryReveal=2 및 worldBuilding=4 및 characterArcWeight=4 및 relationshipStructure=2 및 darkness=2 및 mentalStress=2 및 emotionalWarmth=2를 확정했다. comedy·romance는 직접 근거가 없어 unknown이다. KR 개별 본문은 찾아 query만 유지했다.
