workId,axisId,state,value,confidence,refs,observation,limitation
work-c7280f9dcc2754d3f864,artRealism,known,2,0.84,reader-page-05;reader-page-06;reader-page-07;reader-page-09;reader-page-13;reader-page-14,"Across supernatural room/forest, classroom, and hallway pages, anatomy and perspective use conventional manga stylization with clear but non-photoreal proportions.",Entry-volume official preview only.
work-c7280f9dcc2754d3f864,artDensity,known,3,0.87,reader-page-05;reader-page-06;reader-page-07;reader-page-09;reader-page-13;reader-page-14,"Figure detail, spirit silhouettes, classroom furnishings, and corridor perspective keep information above balanced without uniformly maximal rendering.",Entry-volume official preview only.
work-c7280f9dcc2754d3f864,visualSoftness,known,3,0.83,reader-page-05;reader-page-06;reader-page-07;reader-page-09;reader-page-13;reader-page-14,"Smooth hair contours, clean faces, and controlled tones stay polished across ordinary and supernatural contexts, though dark spirit shapes prevent a fully soft extreme.",Entry-volume official preview only.
work-c7280f9dcc2754d3f864,motionImpact,unknown,,,reader-page-05;reader-page-06;reader-page-07;reader-page-09;reader-page-13;reader-page-14,"The sampled pages contain isolated poses and discontinuous action beats.",No exact continuous start-development/impact-resolved endpoint sequence is fixed; motionImpact remains unknown.
work-d63a83030a8819ff553c,artRealism,known,4,0.91,reader-page-09;reader-page-10;reader-page-11;reader-page-12;reader-page-18;reader-page-19,"Every sampled context uses highly observed adult anatomy, facial structure, hands, clothing folds, and grounded room or workplace perspective.",Entry-volume official preview only; the excluded opening pages were not used.
work-d63a83030a8819ff553c,artDensity,known,4,0.90,reader-page-09;reader-page-10;reader-page-11;reader-page-12;reader-page-18;reader-page-19,"Every page sustains detailed tone, modeled faces and bodies, clothing texture, props, or crowded and architectural information.",Entry-volume official preview only; the excluded opening pages were not used.
work-d63a83030a8819ff553c,visualSoftness,known,2,0.79,reader-page-09;reader-page-10;reader-page-11;reader-page-12;reader-page-18;reader-page-19,"Polished modeling alternates with coarse hatching, sharp shadows, and emphatic comic distortion, producing a neutral rather than consistently soft surface.",Entry-volume official preview only; the excluded opening pages were not used.
work-d63a83030a8819ff553c,motionImpact,unknown,,,reader-page-09;reader-page-10;reader-page-11;reader-page-12;reader-page-18;reader-page-19,"The sampled pages contain isolated gestures and a single imagined crowd image rather than a bounded action sequence.",No exact continuous start-development/impact-resolved endpoint sequence is fixed; motionImpact remains unknown.
work-d8a87d01c1f35d58e791,artRealism,known,1,0.88,episode-01-page-005;episode-01-page-006;episode-01-page-007;episode-01-page-008;episode-01-page-009;episode-01-page-010,"Rounded enlarged eyes and simplified face and body construction dominate both entry and kitchen contexts, with enough proportion and object structure to sit above the strongest deformation anchor.",Product-linked entry episode only.
work-d8a87d01c1f35d58e791,artDensity,known,1,0.86,episode-01-page-005;episode-01-page-006;episode-01-page-007;episode-01-page-008;episode-01-page-009;episode-01-page-010,"Large white fields and economical backgrounds dominate, while kitchen and food details keep the pages above uniformly minimal rendering.",Product-linked entry episode only.
