workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
dungeon-meshi,bridge,,14,4.34,212
kingdom,anchor,,79,4.43,160
fullmetal-alchemist,bridge,,27,4.57,570
death-note,anchor,,12,4.44,677
spy-family,bridge,,17,4.49,188
frieren,bridge,,15,4.55,169
chainsaw-man,bridge,,24,4.19,96
blue-lock,anchor,,39,4.32,44
monster,discovery,,18,4.48,181
yotsuba-to,anchor,,16,4.37,31
blame,discovery,,10,4.30,41
one-piece,anchor,,115,4.67,756
naruto,bridge,,72,4.67,50
dragon-ball,anchor,,42,4.56,126
attack-on-titan,anchor,,34,4.03,613
demon-slayer,bridge,,23,4.43,292
jujutsu-kaisen,bridge,,30,4.25,135
my-hero-academia,bridge,,42,4.27,96
hunter-x-hunter,anchor,,39,4.42,219
jojo-bizarre-adventure,discovery,,63,4.61,132
berserk,anchor,,43,4.37,112
vinland-saga,bridge,,29,4.31,101
vagabond,anchor,,37,4.28,133
golden-kamuy,discovery,,31,4.33,136
made-in-abyss,anchor,,15,4.08,44
land-of-the-lustrous,bridge,,13,3.98,144
mushishi,discovery,,10,4.52,316
dr-stone,anchor,,27,4.41,61
promised-neverland,anchor,,20,4.25,102
erased,bridge,,9,4.14,103
20th-century-boys,bridge,,22,4.38,249
pluto,bridge,,8,4.40,298
ghost-in-the-shell,bridge,,3,4.50,152
akira,bridge,,6,4.58,140
witch-hat-atelier,discovery,,16,4.42,64
mob-psycho-100,anchor,,16,4.34,36
natsumes-book-of-friends,anchor,,33,4.55,457
march-comes-in-like-a-lion,discovery,,18,4.42,771
a-silent-voice,anchor,,7,4.14,139
your-lie-in-april,bridge,,11,4.19,133
kaguya-sama,anchor,,28,4.44,31
horimiya,discovery,,17,4.32,97
kimi-ni-todoke,discovery,,30,4.59,693
nana,discovery,,21,4.33,312
skip-and-loafer,bridge,,13,4.60,73
bocchi-the-rock,bridge,,8,4.17,12
haikyu,discovery,,45,4.53,245
hajime-no-ippo,bridge,,145,4.25,62
beyond-the-clouds,discovery,,5,,0
noragami-stray-god,anchor,,27,3.82,76
