position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-6e3e033ba6c1bdffe565,ひばりの朝,sliceOfLife,school:1:0.76,2,0,0,2,0,2,4,4,0,4,4,0,0,0.82,Rakuten Books product + direct JP reviews — ひばりの朝,https://books.rakuten.co.jp/rb/11771655/,2013,2026-08-26,https://www.ele-king.net/review/comic/003457/;https://www.cmoa.jp/title/customer_review/title_id/66251/?site_kbn=1,,히바리의 아침 만화 리뷰;히바리노 아사 리뷰,초반 1~2권 관찰: 공식 상품과 ele-king 비평 및 Cmoa 직접 독자 리뷰를 함께 확인했다. 세 여성과 14세 주인공을 둘러싼 학교 및 가정의 사회적 압박이 누적되고 시점이 바뀌며 마지막에 도피로 귀결된다. 갈등을 해결하는 지략이나 장기 계획은 거의 없고 수수께끼 구조도 중심이 아니다. Conservative mappings: progression=2;problemSolving=0;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=4;relationshipStructure=4;comedy=0;darkness=4;mentalStress=4;romance=0;emotionalWarmth=0; Genre=sliceOfLife; Theme=school centrality1. 한국어 작품명 검색(히바리의 아침 만화 리뷰;히바리노 아사 리뷰)은 수행했으나 직접 커뮤니티 본문을 찾지 못했다. Art optional.
2,work-6f6aca43ab3d6d0d8bc4,ラブ・ミー・ぽんぽこ！,comedy;romance,school:1:0.78;survival:1:0.72,2,unknown,unknown,2,0,2,2,2,4,0,unknown,2,4,0.78,Rakuten Books product + BookLive 1巻 review — ラブ・ミー・ぽんぽこ！,https://books.rakuten.co.jp/rb/16024091/,2020-08-19,2026-08-26,https://booklive.jp/review/list/title_id/660243/vol_no/001,,러브 미 폰포코 만화 리뷰;러브미 폰포코 리뷰,초반 1권 관찰: BookLive 1巻 리뷰 본문은 종 생존을 위한 혼활과 세레브 학교 입학 및 쌍둥이의 조건부 도움을 적고 독립 독자들이 압도적이고 지속적인 개그와 밝고 훈훈한 분위기를 반복한다. 정체가 즉시 드러나는 설정도 본문에 있다. 출처-축 매핑: progression=2;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=4;darkness=0;romance=2;emotionalWarmth=4. strategy/problemSolving/mentalStress는 unsupported unknown. Genre/Theme는 라브코메디 및 학교·종 생존 premise에 한정했다. 한국어 query 수행했으나 직접 본문 없음. Art optional.
3,work-6f7d6db34f5c70f3d2a7,地上はポケットの中の庭,fantasy,exploration:1:0.68,0,0,0,2,0,2,4,2,0,2,2,2,4,0.78,Rakuten Books product + Cmoa/Manba direct reviews — 地上はポケットの中の庭,https://books.rakuten.co.jp/rb/11229311/,2012,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/47204/;https://manba.co.jp/topics/40205,,지상은 주머니 속 정원 만화 리뷰;치조와 포켓토노 나카노 니와 리뷰,초반 1권 관찰: 공식 상품과 Cmoa 및 Manba의 직접 독자 평가를 확인했다. 서로 다른 정원 다섯 편을 무대로 생명과 연결의 순간을 그리는 완결 단편집이며 장기 성장 보상이나 추리 구조는 없다. 여러 정원을 오가는 구성은 반복되는 탐색형 배경으로만 보수 매핑했다. Conservative mappings: progression=0;problemSolving=0;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=4;relationshipStructure=2;comedy=0;darkness=2;mentalStress=2;romance=2;emotionalWarmth=4; Genre=fantasy; Theme=exploration centrality1. 한국어 작품명 검색(지상은 주머니 속 정원 만화 리뷰;치조와 포켓토노 나카노 니와 리뷰)은 수행했으나 직접 커뮤니티 본문을 찾지 못했다. Art optional.
4,work-6fa158bf21c1a2e92b09,青みゆく雪,comedy;romance,school:1:0.70,2,2,2,0,0,2,2,2,2,0,0,4,4,0.80,Rakuten Books product + Reviewne/BookLive direct reviews — 青みゆく雪,https://books.rakuten.co.jp/rb/11322112/,2012,2026-08-26,https://reviewne.jp/contents/8530;https://booklive.jp/review/list/title_id/264935/vol_no/001,,푸르게 지는 눈 만화 리뷰;아오미유쿠 유키 리뷰,초반 1권 관찰: Reviewne와 BookLive 직접 리뷰는 중국인 유학생 青이 같은 대학과 아파트의 雪子에게 서툰 언어와 요리로 반복 접근하고 친구에게 연애 상담하며 천천히 거리를 좁힌다고 설명한다. 언어 장벽과 식사 준비를 해결하려는 시도는 단기 문제 해결과 전술로만 매핑하고 느린 일상 연애라 수수께끼는 없다. Conservative mappings: progression=2;problemSolving=2;strategy=2;pacing=0;mysteryReveal=0;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=2;darkness=0;mentalStress=0;romance=4;emotionalWarmth=4; Genre=comedy;romance; Theme=school centrality1. 한국어 작품명 검색(푸르게 지는 눈 만화 리뷰;아오미유쿠 유키 리뷰)은 수행했으나 직접 커뮤니티 본문을 찾지 못했다. Art optional.
5,work-6fc940c8e254550c8f98,ヴァニタスの手記,action;fantasy,combat:2:0.86;investigation:2:0.82,unknown,2,2,4,4,4,2,4,2,2,2,2,2,0.82,Rakuten Books product + JP/KR direct 1巻 reviews — ヴァニタスの手記,https://books.rakuten.co.jp/rb/13854944/,2017,2026-08-26,https://i-interest.com/2458/,https://gall.dcinside.com/mgallery/board/view/?id=comics&no=394030,바니타스의 수기 만화 리뷰;바니타스노 쇼키 리뷰,초반 1권 관찰: i-interest 독립 리뷰는 19세기 파리·흡혈귀·스팀펑크 설정과 비행선 사건을 시작으로 저주받은 흡혈귀 사건을 쫓아 아멜리아를 구하려는 협력·단서·전투가 Mémoire 1〜4에서 반복된다고 서술한다. 한국 DCInside 직접 1권 글도 흡혈귀 판타지와 파리 분위기 및 빠른 사건 전개를 확인한다. 출처-축 매핑: problemSolving=2;strategy=2;pacing=4;mysteryReveal=4;worldBuilding=4;characterArcWeight=2;relationshipStructure=4;comedy=2;darkness=2;mentalStress=2;romance=2;emotionalWarmth=2. progression은 반복 성장 근거 부족으로 unknown. Genre/Theme는 action;fantasy와 combat/investigation 반복만 채택. Art optional.
6,work-6ff41232cf163c16653b,社長と酒と星,comedy;romance,workplace:2:0.86,2,unknown,unknown,2,2,2,4,2,2,2,4,4,4,0.82,Rakuten Books product + Note/Cmoa direct reviews — 社長と酒と星,https://books.rakuten.co.jp/rb/18234578/,2026-06-26,2026-08-26,https://note.com/kind_prawn823/n/n1cf4f7a6a355;https://www.cmoa.jp/title/customer_review/title_id/330491/,,사장과 술과 별 만화 리뷰;샤초토 사케토 호시 리뷰,초반 1권 관찰: Note의 1권 리뷰는 24세 인쇄회사 사장이 회사의 책임과 실패 압박 때문에 밤 공원에서 술로 약해지고 부하가 익명 상담자로 지지하는 이중 관계를 설명한다. 본문은 회사 문제·직원 관계·경영 고민과 두 사람의 성장 및 정체 비밀을 반복 구조로 적고 오피스 라브코메디라고 명시한다. Cmoa 직접 독자 리뷰도 젊은 사장과 술자리의 코미디·따뜻함을 확인한다. 출처-축 매핑: progression=2;pacing=2;mysteryReveal=2;worldBuilding=2;characterArcWeight=4;relationshipStructure=2;comedy=2;darkness=2;mentalStress=4;romance=4;emotionalWarmth=4. problemSolving/strategy unknown. Genre/Theme는 comedy;romance와 workplace만 채택. 한국어 query 수행했으나 직접 본문 없음. Art optional.
7,work-7094c349d7bbcc40129b,同人王,comedy,crafting:2:0.82,4,2,2,2,unknown,2,4,4,2,4,4,unknown,4,0.82,Rakuten Books product + Hatena direct one-volume review — 同人王,https://books.rakuten.co.jp/rb/12346439/,2014,2026-08-26,https://m-kikuchi.hatenablog.com/entry/20130720/1374254273,,동인왕 만화 리뷰;도진오 리뷰,초반 1권 관찰: 독립 Hatena 리뷰는 무능감으로 만화가 꿈에서 좌절한 타케오가 동인왕이 되기로 정하고 친구와 제작·첫 판매회·실패·자살 시도 뒤 재개와 기쁨 및 실력 향상으로 나아간다고 구체적으로 적는다. 육체적·심리적 고통과 절망에서 희망으로의 과정 및 육제 선생과의 상호 구원이 한 권의 반복 중심이다. 출처-축 매핑: progression=4;problemSolving=2;strategy=2;pacing=2;worldBuilding=2;characterArcWeight=4;relationshipStructure=4;comedy=2;darkness=4;mentalStress=4;emotionalWarmth=4. mysteryReveal/romance unknown. Genre/Theme는 comedy와 crafting만 채택. 한국어 query 수행했으나 직접 본문 없음. Art optional.
8,work-70d0fe9965dc9cb5e5c6,12歳。,romance,school:2:0.82,2,0,0,2,0,2,4,2,2,0,2,4,4,0.80,Rakuten Books product + direct JP community review + official Ciao promo — 12歳。,https://books.rakuten.co.jp/rb/12199858/,2018,2026-08-26,https://ameblo.jp/kishioaddict704/entry-11840486035.html,,12세 만화 리뷰;쥬니사이 리뷰,초반 1권 및 첫 에피소드 범위: 공식 ちゃおプラス 홍보문구는 초등학생의 첫사랑을 전면에 둔다. Ameblo 직접 일본 커뮤니티 리뷰는 첫사랑의 花日와 高尾가 학교에서 마음을 확인하는 과정과 소통의 몸짓을 다루며 녹음기 장면의 개그도 언급한다. Conservative mappings: progression=2;problemSolving=0;strategy=0;pacing=2;mysteryReveal=0;worldBuilding=2;characterArcWeight=4;relationshipStructure=2;comedy=2;darkness=0;mentalStress=2;romance=4;emotionalWarmth=4; Genre=romance; Theme=school centrality2. 한국어 작품명 검색(12세 만화 리뷰;쥬니사이 리뷰)은 수행했으나 직접 커뮤니티 본문을 찾지 못했다. Art optional. Official promo: https://ciao.shogakukan.co.jp/topics/135654/
9,work-70d47c2956fa70767164,有害無罪玩具,scienceFiction,timeTravel:1:0.84,0,0,0,2,2,2,2,2,unknown,2,2,2,2,0.84,Rakuten Books product + direct JP community reviews — 有害無罪玩具,https://books.rakuten.co.jp/rb/15768146/,2019-12-20,2026-08-26,https://zakkizaki.com/yuugaimuzaigangu-review/;https://www.konjikiblog.com/entry/2019/02/19/060000;https://honkuimusi.hatenablog.com/entry/2021/05/11/080000,,유해무죄 완구 만화 리뷰;유가이 무자이 간구 리뷰,초반 1권의 네 단편 범위: Zakkizaki 독립 리뷰는 박물관의 이상한 장난감·평행세계 거울·다른 시점을 보는 인형·시간 정지와 불사 및 시간 여행 사랑을 설명한다. 금색노히루와 Bookworm 직접 고찰은 SF 장치가 생명·자아·정체성 질문을 던지고 전편이 애틋한 여운을 남긴다고 확인한다. 단편 앤솔러지라 장기 성장이나 실용적 해결 계획은 없다. Conservative mappings: progression=0;problemSolving=0;strategy=0;pacing=2;mysteryReveal=2;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;darkness=2;mentalStress=2;romance=2;emotionalWarmth=2. comedy는 직접 근거가 부족해 unknown. Genre=scienceFiction; Theme=timeTravel centrality1. 한국어 작품명 검색(유해무죄 완구 만화 리뷰;유가이 무자이 간구 리뷰)은 수행했으나 직접 커뮤니티 본문을 찾지 못했다. Art optional.
10,work-70dbc5b693fc3fccbb6b,カイタン,action,workplace:2:0.82,2,2,2,4,2,2,2,2,0,2,2,0,2,0.84,Rakuten Books product with direct customer review + official Kodansha synopsis — カイタン,https://books.rakuten.co.jp/rb/6272576/,2011,2026-08-26,https://books.rakuten.co.jp/rb/6272576/,,카이탄 만화 리뷰;카이탄 리뷰,초반 1권 범위: Kodansha 공식 소개는 매출이 오르지 않던 호스트클럽에서 朝倉仁이 실패 압박 속에 No.1을 목표로 새 회복 임무를 받는다고 설명한다. Rakuten Books 상품 페이지의 직접 고객 리뷰 본문은 “すっごく面白かった”라며 다음 전개를 기대하게 만든다. 목표 달성을 위한 매출 회복 임무와 호스트클럽이라는 업무 환경에서만 보수 매핑했다. Conservative mappings: progression=2;problemSolving=2;strategy=2;pacing=4;mysteryReveal=2;worldBuilding=2;characterArcWeight=2;relationshipStructure=2;comedy=0;darkness=2;mentalStress=2;romance=0;emotionalWarmth=2. Genre=action; Theme=workplace centrality2. 한국어 작품명 검색(카이탄 만화 리뷰;카이탄 리뷰)은 수행했으나 직접 커뮤니티 본문을 찾지 못했다. 후속 조폭 항쟁 정보는 범위 밖이라 제외했다. Official source: https://cstation.kodansha.co.jp/mangaip/database/0000011207
