position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-b2e1ad54e15dd95a1f6e","架カル空ノ音","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 架カル空ノ音; Rakuten product=https://books.rakuten.co.jp/rb/4348855/","https://www.mangataisho.com/archives/2010.html","2010","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","걸리는 하늘의 소리 만화 리뷰;카카루 소라노 오토 리뷰","https://bookmeter.com/search?keyword=%E6%9E%B6%E3%82%AB%E3%83%AB%E7%A9%BA%E3%83%8E%E9%9F%B3;https://reviewne.jp/contents?query=%E6%9E%B6%E3%82%AB%E3%83%AB%E7%A9%BA%E3%83%8E%E9%9F%B3"
"2","work-b3038bdbf0c923d2df63","推しが武道館いってくれたら死ぬ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 推しが武道館いってくれたら死ぬ; Rakuten product=https://books.rakuten.co.jp/rb/13593250/","https://tsugimanga.jp/winner/2017/comics","2017-08-23","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","최애가 부도칸에 가 준다면 난 죽어도 좋아 만화 리뷰;오시가 부도칸 잇테쿠레타라 시누 리뷰","https://bookmeter.com/search?keyword=%E6%8E%A8%E3%81%97%E3%81%8C%E6%AD%A6%E9%81%93%E9%A4%A8%E3%81%84%E3%81%A3%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%9F%E3%82%89%E6%AD%BB%E3%81%AC;https://reviewne.jp/contents?query=%E6%8E%A8%E3%81%97%E3%81%8C%E6%AD%A6%E9%81%93%E9%A4%A8%E3%81%84%E3%81%A3%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%9F%E3%82%89%E6%AD%BB%E3%81%AC"
"3","work-b30deb01be407f4874d5","少女終末旅行","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 少女終末旅行; Rakuten product=https://books.rakuten.co.jp/rb/12961540/","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","소녀 종말 여행 만화 리뷰;쇼조 슈마츠 료코 리뷰","https://bookmeter.com/search?keyword=%E5%B0%91%E5%A5%B3%E7%B5%82%E6%9C%AB%E6%97%85%E8%A1%8C;https://reviewne.jp/contents?query=%E5%B0%91%E5%A5%B3%E7%B5%82%E6%9C%AB%E6%97%85%E8%A1%8C"
"4","work-b34f17cb8b7a2c8347ae","草子ブックガイド","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 草子ブックガイド; Rakuten product=https://books.rakuten.co.jp/rb/12166147/","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","소시 북 가이드 만화 리뷰;소우시 북가이드 리뷰","https://bookmeter.com/search?keyword=%E8%8D%89%E5%AD%90%E3%83%96%E3%83%83%E3%82%AF%E3%82%AC%E3%82%A4%E3%83%89;https://reviewne.jp/contents?query=%E8%8D%89%E5%AD%90%E3%83%96%E3%83%83%E3%82%AF%E3%82%AC%E3%82%A4%E3%83%89"
"5","work-b36492e3489351868c3a","さきくさの咲く頃","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for さきくさの咲く頃; Rakuten product=https://books.rakuten.co.jp/rb/11914060/","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","사키쿠사의 필 무렵 만화 리뷰;사키쿠사노 사쿠코로 리뷰","https://bookmeter.com/search?keyword=%E3%81%95%E3%81%8D%E3%81%8F%E3%81%95%E3%81%AE%E5%92%B2%E3%81%8F%E9%A0%83;https://reviewne.jp/contents?query=%E3%81%95%E3%81%8D%E3%81%8F%E3%81%95%E3%81%AE%E5%92%B2%E3%81%8F%E9%A0%83"
"6","work-b42c82a6d81e74f36393","ママさん","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ママさん; Rakuten product=https://books.rakuten.co.jp/rb/5033771/","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","엄마 씨 만화 리뷰;마마상 리뷰","https://bookmeter.com/search?keyword=%E3%83%9E%E3%83%9E%E3%81%95%E3%82%93;https://reviewne.jp/contents?query=%E3%83%9E%E3%83%9E%E3%81%95%E3%82%93"
"7","work-b43179510f04ed7ad247","ワイルドマウンテン","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ワイルドマウンテン; Rakuten product=https://books.rakuten.co.jp/rb/1686961/","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","와일드 마운틴 만화 리뷰;와일드마운틴 리뷰","https://bookmeter.com/search?keyword=%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3;https://reviewne.jp/contents?query=%E3%83%AF%E3%82%A4%E3%83%AB%E3%83%89%E3%83%9E%E3%82%A6%E3%83%B3%E3%83%86%E3%83%B3"
"8","work-b4959f8ba3d80eab7fdc","人造人間100","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 人造人間100; Rakuten product=https://books.rakuten.co.jp/rb/17435896/","https://tsugimanga.jp/winner/2023/comics","2023-08-31","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","인조인간 100 만화 리뷰;진조닌겐 햐쿠 리뷰","https://bookmeter.com/search?keyword=%E4%BA%BA%E9%80%A0%E4%BA%BA%E9%96%93100;https://reviewne.jp/contents?query=%E4%BA%BA%E9%80%A0%E4%BA%BA%E9%96%93100"
"9","work-b4ba31a2137661c5d9b7","ダンジョンの幼なじみ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ダンジョンの幼なじみ; Rakuten product=https://books.rakuten.co.jp/rb/17158540/","https://tsugimanga.jp/winner/2024/comics","2024-08-28","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","던전의 소꿉친구 만화 리뷰;단전노 오사나나지미 리뷰","https://bookmeter.com/search?keyword=%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3%E3%81%AE%E5%B9%BC%E3%81%AA%E3%81%98%E3%81%BF;https://reviewne.jp/contents?query=%E3%83%80%E3%83%B3%E3%82%B8%E3%83%A7%E3%83%B3%E3%81%AE%E5%B9%BC%E3%81%AA%E3%81%98%E3%81%BF"
"10","work-b5a9398b10375ab5e34a","麻宮さんの妹","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 麻宮さんの妹; Rakuten product=https://books.rakuten.co.jp/rb/11322386/","https://www.mangataisho.com/archives/2012.html","2012","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-024\frozen-work-set.csv","아사미야 씨의 여동생 만화 리뷰;아사미야상노 이모토 리뷰","https://bookmeter.com/search?keyword=%E9%BA%BB%E5%AE%AE%E3%81%95%E3%82%93%E3%81%AE%E5%A6%B9;https://reviewne.jp/contents?query=%E9%BA%BB%E5%AE%AE%E3%81%95%E3%82%93%E3%81%AE%E5%A6%B9"
