position,workId,canonicalTitle
1,work-b2e1ad54e15dd95a1f6e,架カル空ノ音
2,work-b3038bdbf0c923d2df63,推しが武道館いってくれたら死ぬ
3,work-b30deb01be407f4874d5,少女終末旅行
4,work-b34f17cb8b7a2c8347ae,草子ブックガイド
5,work-b36492e3489351868c3a,さきくさの咲く頃
6,work-b42c82a6d81e74f36393,ママさん
7,work-b43179510f04ed7ad247,ワイルドマウンテン
8,work-b4959f8ba3d80eab7fdc,人造人間100
9,work-b4ba31a2137661c5d9b7,ダンジョンの幼なじみ
10,work-b5a9398b10375ab5e34a,麻宮さんの妹
11,work-b5c4007fad3d7bbd88e6,干物妹！うまるちゃん
12,work-b65fc340da602aa6a002,ちちゃこい日記
13,work-b6650814d94e1cfd8df0,でり研
14,work-b6b8409e88b672767bf5,パンク・ポンク
15,work-b73dec44c4920042dcae,B・B
16,work-b7a1b40d29931c830f36,ベツ×バラ
17,work-b7a7f8c204d15a5c0543,人間交差点
18,work-b8092c99183fc1709aa5,初恋モンスター
19,work-b82f0f93fdd068ab5ade,オンノジ
20,work-b837e5e17b849ba1f16c,霧の中のラプンツェル
21,work-b870bc0a8766298e959d,チーズの時間
22,work-b878ac041b9c56fdedee,空と原
23,work-b8e8677c1cf0600ba9ae,ハル×キヨ
24,work-b8f6b96bf69d3054f73d,スーパーマリオくん
25,work-b96bf77bd21ed120dbb9,好きっていいなよ。
26,work-b96ddda6b8c1e557a1aa,AIの遺電子
27,work-b986b14ce64ba5081a4c,1122
28,work-b9b5c17e13ccb24f624c,K-9 警視庁公安部公安第9課異能対策係
29,work-b9d10a19087fe9608c87,おかみさん
30,work-ba25b1e7c446ec3c01b7,やがて絵筆を映ろし君は
31,work-ba268cddc64ed3a4cf32,ギャルと恐竜
32,work-ba9a377f97f53eb2a746,はちみつの花
33,work-bab766aa49cd922c0b11,千歳ヲチコチ
34,work-baf3c9c7f657242aa194,青春兵器ナンバーワン
35,work-bb69c71a844a88a47969,椿町ロンリープラネット
36,work-bb7c2a4f63ef8e781606,一度だけでも、後悔してます。
37,work-bb7f73d695b719a6adbf,ぷるるんワンダーランド
38,work-bb8ed9d87c9da1591e4c,信長の忍び
39,work-bb9ee891b6fcd3ddf2db,しょぼにゃん
40,work-bbac2743f6c44efda949,アサギロ
41,work-bc2998e79453ac2113e7,総理倶楽部
42,work-bc3adc5541bc8e96c5fd,たいようのいえ
43,work-bc50d9b0573bc07a986d,魔街の坂
44,work-bc7561b3680492d55be9,あそびあそばせ
45,work-bc8093205bdb1ae22eb2,焔の眼
46,work-bcd43d3188c2533e1068,イルミナシオン
47,work-bcf6814e2f138e3d4b6e,モトカノ☆食堂
48,work-bd5bdc4150f30a07971b,センセイの鞄
49,work-bdd1eac9ae8471a4dbbc,モテるマンガ
50,work-be1ed2eccb1bdce989bd,人形の国
