position,workId,canonicalTitle
1,work-efe3b9b2fc6373ae767a,夢から覚めたあの子とはきっと上手く喋れない
2,work-f026e913432b49d70ef0,白馬のお嫁さん
3,work-f09840faaea9207deb5b,宮本から君へ
4,work-f0f53d813f709aedec1d,ホークウッド
5,work-f117d1a9a377b05fa84d,我らコンタクティ
6,work-f133bdd6bef70b7542de,先生の白い嘘
7,work-f148f0c5d7cf61a97c73,柚木さんちの四兄弟。
8,work-f15ae7745759a254a587,鉄道少女漫画
9,work-f1a075d36aa7783f1f64,補助隊モズクス
10,work-f1a4b39804a85f91fc1e,マイぼーる!
11,work-f1c85d1691e352350511,この世は戦う価値がある
12,work-f2352e76ccf92709ca6e,魔法使いロゼの佐渡ライフ
13,work-f24f4ffab61f77de3ae3,青のオーケストラ
14,work-f314b1776534e2f35462,あの日からのマンガ
15,work-f31e6caa07e2253b3443,ひとりぼっちの地球侵略
16,work-f3410d49b9b10b35b42d,戦隊大失格
17,work-f3ec9e796f983f6c5b17,パチスロバカップル
18,work-f3f2a5f99ad7e2c9d829,清々と
19,work-f4085acccd1c37fc1783,海月と私
20,work-f4520aa01b9f5d1b357a,不完全で不衛生でふしだら
21,work-f46cb127cfc8553644ba,魍魎少女
22,work-f46d92f042fd61982ea3,あげくの果てのカノン
23,work-f541db4a39d7d757c0b4,テンカイチ　日本最強武芸者決定戦
24,work-f564a856e052f345ea54,はなうた散歩道
25,work-f5e145476399c2145323,87CLOCKERS
26,work-f67b1bdb544a914684ce,手品先輩
27,work-f6bd6e031ac086266cd8,くノ一ツバキの胸の内
28,work-f6e3d44392f62cce9b80,まんが親
29,work-f710745756d55f2d1e07,圏外プリンセス
30,work-f78989e37b02423445e7,吉田家のちすじ
31,work-f790f97e451eb4a1a893,period
32,work-f7a54aee2a05deb32185,ストレッチ
33,work-f8ba46fc19e6fbdda110,うみべのストーブ 大白小蟹短編集
34,work-f8e6e860c6374d222d99,君と悪いことがしたい
35,work-f95d6610fc2fbda8e8cb,クジマ歌えば家ほろろ
36,work-f98c044c5e5e97027806,ジャストミート
37,work-f9b25a35dc3a8e6c9657,999号室
38,work-fa3d033d13d68a06537d,赤灯えれじい
39,work-fa4b7e822d57992e2342,チナミの風景
40,work-fa5f7e6238a0d3247a8c,レビウス
41,work-fa738018edf898e49958,ぴんとこな
42,work-fa77bfdba2ca19a57d9a,イナズマイレブン
43,work-fb33d4d688782332c203,ぼくらのフンカ祭
44,work-fb4fde98bbcda04c21eb,ちいさこべえ
45,work-fb53bae7bc355ba77b94,兄の嫁と暮らしています。
46,work-fb53fcb2b3746d0cd03d,30婚
47,work-fb5e29014d45e0ee12cf,あやかし古書庫と少女の魅宝
48,work-fb80625ae19a58485d35,未必の恋
49,work-fbc2ca1b58e5ac9be00a,リンドバーグ
50,work-fc544c9e011fe4f04ec6,べるぜバブ
