position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-efe3b9b2fc6373ae767a,夢から覚めたあの子とはきっと上手く喋れない,sliceOfLife,,0,0,0,4,2,2,4,4,2,4,4,2,2,0.96,Rakuten Books representative volume 1 product — 夢から覚めたあの子とはきっと上手く喋れない,https://books.rakuten.co.jp/rb/12748529/,2015,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/146275/;https://booklive.jp/review/list/title_id/60009065/vol_no/001;https://ameblo.jp/oharahenri/entry-12758919718.html,,꿈에서 깨어난 그 아이와는 분명 잘 말할 수 없어 만화 리뷰;꿈에서 깨어난 그 아이와는 분명 잘 말할 수 없어 후기;유메카라 사메타 아노 코 만화,Direct Japanese reader bodies describe nine self-contained stories about loneliness; ruptured communication; family harm; surreal incidents; and brief human connection. Conservative mappings: progression=0; problemSolving=0; strategy=0; pacing=4; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=4; mentalStress=4; romance=2; emotionalWarmth=2. No legal Theme recurs centrally across the anthology so the factor model cannot represent it without invention. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
2,work-f026e913432b49d70ef0,白馬のお嫁さん,scienceFiction;comedy;romance,school:2:0.99,2,2,2,4,2,4,4,4,4,2,4,4,2,0.98,Rakuten Books representative volume 1 product — 白馬のお嫁さん,https://books.rakuten.co.jp/rb/12984872/,2015,2026-08-26,https://www.cmoa.jp/title/87525/;https://booklive.jp/review/list/title_id/289561/vol_no/003;https://newwavemanga.com/archives/41552129.html;https://www.kodansha.co.jp/comic/products/0000047447,,백마의 신부 만화 리뷰;백마의 신부 만화 후기;하쿠바노 오요메상 리뷰,Direct Japanese reader and long-form review bodies describe a 2063 society with genetically designed men who can become pregnant; four high-school housemates jointly search for spouses; and debates over marriage; sexuality; identity; and social expectations. Conservative mappings: progression=2; problemSolving=2; strategy=2; pacing=4; mysteryReveal=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=2; mentalStress=4; romance=4; emotionalWarmth=2. School life and the shared spouse-search structure are central. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
3,work-f09840faaea9207deb5b,宮本から君へ,sliceOfLife;romance,workplace:2:0.99,4,2,2,4,0,2,4,4,2,4,4,4,2,0.99,Rakuten Books representative volume 1 product — 宮本から君へ,https://books.rakuten.co.jp/rb/5955871/,1992,2026-08-26,https://raxsasnku.com/miyamotokarakimie/;https://www.cmoa.jp/title/customer_review/title_id/280327/;https://note.com/moonmusicroom/n/n0bab220d3209,,미야모토에서 너에게 만화 리뷰;미야모토가 너에게 만화 후기;미야모토 카라 키미에 리뷰,Direct Japanese full-series and reader bodies describe an awkward new stationery salesman whose pursuit of love expands into sales competition; workplace conflict; violent confrontation; pregnancy; and an uncompromising adult growth arc. Conservative mappings: progression=4; problemSolving=2; strategy=2; pacing=4; mysteryReveal=0; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=4; mentalStress=4; romance=4; emotionalWarmth=2. Sales work and workplace relationships repeatedly drive the story. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
4,work-f0f53d813f709aedec1d,ホークウッド,action;historical,combat:2:0.99;war:2:0.99;politics:1:0.96;survival:2:0.98;historicalReconstruction:2:0.99,4,4,4,4,2,4,4,4,0,4,4,0,0,0.99,Rakuten Books representative volume 1 product — ホークウッド,https://books.rakuten.co.jp/rb/12727239/,2015,2026-08-26,https://ncode.syosetu.com/n3357bb/113/;https://www.mangataisho.com/data/2015/comment2015.pdf,,호크우드 중세 용병 만화 리뷰;호크우드 백년전쟁 만화 후기;토미 오츠카 호크우드,Direct Japanese long-form and bookseller bodies describe a historically grounded Hundred Years War mercenary captain who builds and finances his company; survives battlefield politics; and wins through tactics; traps; resources; and ruthless command decisions. Conservative mappings: progression=4; problemSolving=4; strategy=4; pacing=4; mysteryReveal=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=4; comedy=0; darkness=4; mentalStress=4; romance=0; emotionalWarmth=0. Combat; war; survival; politics; and historical reconstruction are recurring core structures. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
5,work-f117d1a9a377b05fa84d,我らコンタクティ,scienceFiction;comedy;sliceOfLife,crafting:2:0.99,4,4,4,4,2,2,4,4,4,2,4,2,4,0.99,Rakuten Books representative volume 1 product — 我らコンタクティ,https://books.rakuten.co.jp/rb/15207929/,2018,2026-08-26,https://manga-blog.net/warera-contactee/;https://realkyoto.jp/blog/wareracontacte/;https://creative-seeker.com/warera-contactee-kanso-3028;https://www.mangataisho.com/data/2018/comment2018.pdf,,우리 콘택티 만화 리뷰;우리 컨택티 만화 후기;와레라 콘타쿠티 리뷰,Direct Japanese long-form review bodies describe a dissatisfied office worker reuniting with a childhood friend who builds a rocket; gathering money and collaborators; solving launch problems; and transforming a stagnant local life into a tense but warm one-volume mission. Conservative mappings: progression=4; problemSolving=4; strategy=4; pacing=4; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=2; mentalStress=4; romance=2; emotionalWarmth=4. Building and launching the handmade rocket is central crafting. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
6,work-f133bdd6bef70b7542de,先生の白い嘘,sliceOfLife;romance,school:2:0.99,4,2,2,2,2,2,4,4,0,4,4,4,0,0.99,Rakuten Books representative volume 1 product — 先生の白い嘘,https://books.rakuten.co.jp/rb/12653103/,2015-02-06,2026-08-26,https://reviewne.jp/contents/10038;https://www.mangataisho.com/data/2016/comment2016.pdf,https://todayis-abeautifulday.tistory.com/1982,선생님의 하얀 거짓말 만화 리뷰;선생님의 하얀 거짓말 원작 후기;센세이노 시로이 우소 만화,Direct Japanese reader and Korean Hangul-title body evidence describe a high-school teacher living with sexual violence and gender inequality; her abusive connection to a friend's fiancé; a male student's disclosed trauma; and intertwined relationships driven by shame; anger; and recovery. Conservative mappings: progression=4; problemSolving=2; strategy=2; pacing=2; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=0; darkness=4; mentalStress=4; romance=4; emotionalWarmth=0. The school and teacher-student setting repeatedly drive the narrative. Art is optional and unassessed.
7,work-f148f0c5d7cf61a97c73,柚木さんちの四兄弟。,comedy;sliceOfLife,school:2:0.98,2,2,0,2,0,0,4,4,4,2,2,2,4,0.99,Rakuten Books representative volume 1 product — 柚木さんちの四兄弟。,https://books.rakuten.co.jp/rb/15700616/,2020,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/166752/;https://comirepo.net/entry/9784098728879;https://honto.jp/ebook/pdseries-review_06C-MBJ-20005-0-314240X.html,https://m.yes24.com/Goods/Review/120510673,유즈키네 사 형제 만화 리뷰;유즈키네 사형제 만화 후기;유즈키상치노 욘쿄다이 리뷰,Direct Japanese and Korean reader bodies describe four orphaned brothers supporting one another; the eldest balancing teaching and parenting; and the younger brothers repeatedly facing school; friendship; grief; conflict; and reconciliation with warmth and humor. Conservative mappings: progression=2; problemSolving=2; strategy=0; pacing=2; mysteryReveal=0; worldBuilding=0; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=2; mentalStress=2; romance=2; emotionalWarmth=4. School life is a recurring central structure for the brothers. Art is optional and unassessed.
8,work-f15ae7745759a254a587,鉄道少女漫画,sliceOfLife;romance,exploration:1:0.94,0,0,0,4,0,2,4,4,2,2,2,4,4,0.97,Rakuten Books representative volume 1 product — 鉄道少女漫画,https://books.rakuten.co.jp/rb/6925862/,2012,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/0000073440/;https://booklive.jp/review/list/title_id/249323/vol_no/001;https://www.mangataisho.com/data/2012/mantai_comment2012.pdf,,철도 소녀 만화 리뷰;철도소녀만화 후기;테츠도 쇼죠 만화 리뷰,Direct Japanese reader bodies describe interlinked short stories about girls; romance; separation; reunion; station workers; and strangers around Odakyu trains and stations. Conservative mappings: progression=0; problemSolving=0; strategy=0; pacing=4; mysteryReveal=0; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=2; mentalStress=2; romance=4; emotionalWarmth=4. Railway journeys and movement between distinct stations support a recurring but secondary exploration theme. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
9,work-f1a075d36aa7783f1f64,補助隊モズクス,action;fantasy;horror,combat:2:0.99;survival:2:0.99,4,4,2,4,2,4,4,4,2,4,4,2,2,0.99,Rakuten Books representative volume 1 product — 補助隊モズクス,https://books.rakuten.co.jp/rb/12127524/,2014,2026-08-26,https://manba.co.jp/boards/14351;https://www.cmoa.jp/title/83475/;https://booklive.jp/review/list/title_id/224265/vol_no/001;https://www.kadokawa.co.jp/product/201211000246/,,보조대 모즈쿠스 만화 리뷰;보조대 모즈쿠스 만화 후기;호조타이 모즈쿠스 리뷰,Direct Japanese reader bodies describe an ordinary salaryman forced to contract with three childlike helpers and fight body-possessing monsters; using limited resources; suffering casualties; gathering other users; and growing from passive civilian to determined combatant. Conservative mappings: progression=4; problemSolving=4; strategy=2; pacing=4; mysteryReveal=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=4; mentalStress=4; romance=2; emotionalWarmth=2. Combat and survival against spreading parasites are central. Korean Hangul-title searches found no qualifying direct Korean body. Art is optional and unassessed.
10,work-f1a4b39804a85f91fc1e,マイぼーる!,sports;comedy;romance,tournament:2:0.98;school:2:0.99;sportsCompetition:2:0.99,4,4,4,4,0,2,4,4,4,0,2,4,4,0.99,Rakuten Books representative volume 1 product — マイぼーる!,https://books.rakuten.co.jp/rb/12127877/,2015,2026-08-26,https://manba.co.jp/topics/13687;https://www.cmoa.jp/title/70099/;https://ebookstore.sony.jp/review/title/10096417/id/LT000040006000474975;https://www.mangataisho.com/data/2016/comment2016.pdf,https://m.yes24.com/Goods/Review/23819097,마이 볼 만화 리뷰;마이 볼 여자 축구 만화 후기;마이보루 축구 만화,Direct Japanese reviews and Korean Hangul-title reader pages describe a gifted schoolgirl joining a newly formed girls football team; learning structured play; facing distinctive rivals; training through repeated matches and tournaments; and pursuing her childhood crush amid constant erotic comedy. Conservative mappings: progression=4; problemSolving=4; strategy=4; pacing=4; mysteryReveal=0; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=0; mentalStress=2; romance=4; emotionalWarmth=4. Tournament; school; and sports competition are central recurring structures. Art is optional and unassessed.
