workId,axisId,state,value,confidence,refs,observation,limitation
work-79c18b26dfde8a532f73,artRealism,known,3,0.88,reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-10;reader-trg-11,"Observed adult proportions, hands, clothing, firearms, architecture, and furniture stay grounded while polished faces and hair retain clear manga stylization.",Judgment is limited to six readable volume-1 BODY pages across the exact two admitted contexts; value 4 was rejected because facial construction remains persistently stylized.
work-79c18b26dfde8a532f73,artDensity,known,3,0.90,reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-10;reader-trg-11,"Architecture, weapons, blood texture, clothing, furniture, food, and screentone keep information above balanced across action and conversation pages.",Judgment is limited to the exact six-page entry sample; open portrait and dialogue fields prevent a uniform value 4.
work-79c18b26dfde8a532f73,visualSoftness,known,1,0.88,reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-10;reader-trg-11,"Hard black masses, angular faces, sharp weapons, blood spatter, and forceful tonal contrast dominate despite clean contours and polished hair.",Judgment is limited to the exact six-page entry sample; clean character rendering prevents the fully rough value 0.
work-79c18b26dfde8a532f73,motionImpact,unknown,,,reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-10;reader-trg-11,The admitted pages contain isolated violent aftermath and ordinary gestures but no bounded continuous action sequence.,motionGateAttemptable=false; no exact start-development-impact-resolved sequence; unknown is not low.
work-7b6eb2b48ac06ffa26eb,artRealism,known,2,0.89,reader-trg-04;reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-09,"Plausible bodies, clothing, village structures, and landscapes coexist with large luminous eyes, idealized faces, and conventional shoujo anatomy.",Judgment is limited to six readable volume-1 BODY pages across the exact admitted contexts; detailed scenery does not displace the persistent general stylization anchor.
work-7b6eb2b48ac06ffa26eb,artDensity,known,3,0.88,reader-trg-04;reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-09,"Village panoramas, vegetation, buildings, garments, screentone, and multi-panel staging sustain above-balanced detail across landscape and interior scenes.",Judgment is limited to the exact six-page entry sample; large white portrait and narration fields prevent a uniform value 4.
work-7b6eb2b48ac06ffa26eb,visualSoftness,known,4,0.92,reader-trg-04;reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-09,"Flowing hair, large rounded eyes, fine clean contours, delicate facial modeling, pale tones, and elegant costume treatment remain soft across both contexts.",Judgment is limited to the exact six-page entry sample; the value describes repeated rendering rather than genre or reputation.
work-7b6eb2b48ac06ffa26eb,motionImpact,unknown,,,reader-trg-04;reader-trg-05;reader-trg-06;reader-trg-07;reader-trg-08;reader-trg-09,The admitted pages include a dramatic disturbance but do not bind one continuous action sequence through a resolved endpoint.,motionGateAttemptable=false; no exact start-development-impact-resolved sequence; unknown is not low.
work-8037856e7703fdaf4324,artRealism,unknown,,,reader-page-07;reader-page-08;reader-page-09;reader-page-10;reader-page-11,Five readable internal BODY pages were opened but cannot support a static Art value.,The static gate fails at five pages and one distinct context; unknown is not low.
work-8037856e7703fdaf4324,artDensity,unknown,,,reader-page-07;reader-page-08;reader-page-09;reader-page-10;reader-page-11,Five readable internal BODY pages were opened but cannot support a static Art value.,The static gate fails at five pages and one distinct context; unknown is not low.
work-8037856e7703fdaf4324,visualSoftness,unknown,,,reader-page-07;reader-page-08;reader-page-09;reader-page-10;reader-page-11,Five readable internal BODY pages were opened but cannot support a static Art value.,The static gate fails at five pages and one distinct context; unknown is not low.
work-8037856e7703fdaf4324,motionImpact,unknown,,,reader-page-07;reader-page-08;reader-page-09;reader-page-10;reader-page-11,The admitted pages do not isolate a bounded continuous action sequence with a resolved endpoint.,motionGateAttemptable=false; unknown is not low.
work-88cb26a0229ad7b83263,artRealism,known,2,0.88,reader-trg-05;reader-trg-06;reader-trg-08;reader-trg-09;reader-trg-10;reader-trg-11,"Coherent hands, bodies, houses, streets, rooms, and shop structures are repeatedly simplified through rounded faces, economical features, and comic proportions.",Judgment is limited to six readable volume-1 BODY pages across the exact admitted contexts; general stylization is the stable anchor.
work-88cb26a0229ad7b83263,artDensity,known,2,0.88,reader-trg-05;reader-trg-06;reader-trg-08;reader-trg-09;reader-trg-10;reader-trg-11,"Observed buildings, room clutter, shop equipment, clothing, and neighborhood details balance broad white fields and minimally rendered portrait panels.",Judgment is limited to the exact six-page entry sample; density varies around balanced rather than staying sparse or highly worked.
work-88cb26a0229ad7b83263,visualSoftness,known,3,0.89,reader-trg-05;reader-trg-06;reader-trg-08;reader-trg-09;reader-trg-10;reader-trg-11,"Rounded faces, gentle expressions, clean contours, light tones, and soft everyday shapes recur while firm architecture and black hair provide counterweight.",Judgment is limited to the exact six-page entry sample; environmental linework prevents the strongest soft anchor.
work-88cb26a0229ad7b83263,motionImpact,unknown,,,reader-trg-05;reader-trg-06;reader-trg-08;reader-trg-09;reader-trg-10;reader-trg-11,The admitted pages contain ordinary movement but no exact continuous action endpoint.,motionGateAttemptable=false; no exact start-development-impact-resolved sequence; unknown is not low.
work-8a7846af8ead1797e6a2,artRealism,unknown,,,reader-page-002;reader-page-003;reader-page-004;reader-page-005;reader-page-006;reader-page-007,Six readable BODY pages were opened but cannot support a static Art value.,The six pages cover only one distinct context; the static gate fails and unknown is not low.
work-8a7846af8ead1797e6a2,artDensity,unknown,,,reader-page-002;reader-page-003;reader-page-004;reader-page-005;reader-page-006;reader-page-007,Six readable BODY pages were opened but cannot support a static Art value.,The six pages cover only one distinct context; the static gate fails and unknown is not low.
