position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-3ac00c6a4944cc1f39f6","Thisコミュニケーション","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for Thisコミュニケーション; Rakuten product=https://books.rakuten.co.jp/rb/16373605/","https://tsugimanga.jp/winner/2021/comics","2021-08-24","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","디스 커뮤니케이션 만화 리뷰;디스커뮤니케이션 리뷰","https://bookmeter.com/search?keyword=This%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3;https://reviewne.jp/contents?query=This%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3"
"2","work-3ac01b0c3cd659f655bb","謎のあの店","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 謎のあの店; Rakuten product=https://books.rakuten.co.jp/rb/11809357/","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","수수께끼의 그 가게 만화 리뷰;나조노 아노 미세 리뷰","https://bookmeter.com/search?keyword=%E8%AC%8E%E3%81%AE%E3%81%82%E3%81%AE%E5%BA%97;https://reviewne.jp/contents?query=%E8%AC%8E%E3%81%AE%E3%81%82%E3%81%AE%E5%BA%97"
"3","work-3ad539c619f206ebf6e9","ミタマセキュ霊ティ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ミタマセキュ霊ティ; Rakuten product=https://books.rakuten.co.jp/rb/16171892/","https://tsugimanga.jp/winner/2020/comics","2020-08-19","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","미타마 시큐레이티 만화 리뷰;미타마 세큐레이티 리뷰","https://bookmeter.com/search?keyword=%E3%83%9F%E3%82%BF%E3%83%9E%E3%82%BB%E3%82%AD%E3%83%A5%E9%9C%8A%E3%83%86%E3%82%A3;https://reviewne.jp/contents?query=%E3%83%9F%E3%82%BF%E3%83%9E%E3%82%BB%E3%82%AD%E3%83%A5%E9%9C%8A%E3%83%86%E3%82%A3"
"4","work-3ae9ae3591a9b2df62f2","SHY","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for SHY; Rakuten product=https://books.rakuten.co.jp/rb/16099322/","https://tsugimanga.jp/winner/2020/comics","2020-08-19","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","샤이 만화 리뷰;SHY 리뷰","https://bookmeter.com/search?keyword=SHY;https://reviewne.jp/contents?query=SHY"
"5","work-3b7277cd82fd727a7a58","星屑テレパス","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 星屑テレパス; Rakuten product=https://books.rakuten.co.jp/rb/16324698/","https://tsugimanga.jp/winner/2021/comics","2021-08-24","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","별가루 텔레파스 만화 리뷰;호시쿠즈 텔레파스 리뷰","https://bookmeter.com/search?keyword=%E6%98%9F%E5%B1%91%E3%83%86%E3%83%AC%E3%83%91%E3%82%B9;https://reviewne.jp/contents?query=%E6%98%9F%E5%B1%91%E3%83%86%E3%83%AC%E3%83%91%E3%82%B9"
"6","work-3bc0fb41890597b33b40","預言者ピッピ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 預言者ピッピ; Rakuten product=https://books.rakuten.co.jp/rb/4382281/","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","예언자 핏피 만화 리뷰;요겐샤 핏피 리뷰","https://bookmeter.com/search?keyword=%E9%A0%90%E8%A8%80%E8%80%85%E3%83%94%E3%83%83%E3%83%94;https://reviewne.jp/contents?query=%E9%A0%90%E8%A8%80%E8%80%85%E3%83%94%E3%83%83%E3%83%94"
"7","work-3c318d785a9edb674c82","そんなんじゃねえよ","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for そんなんじゃねえよ; Rakuten product=https://books.rakuten.co.jp/rb/1542178/","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2005","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","그런 게 아니야 만화 리뷰;손난자 네에요 리뷰","https://bookmeter.com/search?keyword=%E3%81%9D%E3%82%93%E3%81%AA%E3%82%93%E3%81%98%E3%82%83%E3%81%AD%E3%81%88%E3%82%88;https://reviewne.jp/contents?query=%E3%81%9D%E3%82%93%E3%81%AA%E3%82%93%E3%81%98%E3%82%83%E3%81%AD%E3%81%88%E3%82%88"
"8","work-3c53e98cd338a3dd4681","魔入りました！入間くん if Episode of 魔フィア","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for 魔入りました！入間くん if Episode of 魔フィア; Rakuten product=https://books.rakuten.co.jp/rb/17658676/","https://tsugimanga.jp/winner/2024/comics","2024-08-28","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","마계학교 이루마군 if 마피아 에피소드 만화 리뷰;마계학교 이루마군 리뷰","https://bookmeter.com/search?keyword=%E9%AD%94%E5%85%A5%E3%82%8A%E3%81%BE%E3%81%97%E3%81%9F%EF%BC%81%E5%85%A5%E9%96%93%E3%81%8F%E3%82%93%20if%20Episode%20of%20%E9%AD%94%E3%83%95%E3%82%A3%E3%82%A2;https://reviewne.jp/contents?query=%E9%AD%94%E5%85%A5%E3%82%8A%E3%81%BE%E3%81%97%E3%81%9F%EF%BC%81%E5%85%A5%E9%96%93%E3%81%8F%E3%82%93%20if%20Episode%20of%20%E9%AD%94%E3%83%95%E3%82%A3%E3%82%A2"
"9","work-3c836bbd37acf921ed12","ねこ、はじめました","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for ねこ、はじめました; Rakuten product=https://books.rakuten.co.jp/rb/14275123/","https://shogakukan-comic.jp/shogakukan-mangasho-archives","2019","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","고양이, 시작했습니다 만화 리뷰;네코 하지메마시타 리뷰","https://bookmeter.com/search?keyword=%E3%81%AD%E3%81%93%E3%80%81%E3%81%AF%E3%81%98%E3%82%81%E3%81%BE%E3%81%97%E3%81%9F;https://reviewne.jp/contents?query=%E3%81%AD%E3%81%93%E3%80%81%E3%81%AF%E3%81%98%E3%82%81%E3%81%BE%E3%81%97%E3%81%9F"
"10","work-3cea8a1539dae6f10b92","Artiste","SOURCE_INFORMATION_UNAVAILABLE","공식 홍보/상품 또는 수상 페이지와 일본 독립 커뮤니티 평가 경로, 한국어 작품명·통용 표기 변형을 사용한 한국 커뮤니티 검색을 bounded하게 소진했으나 17 Axis·Genre·Theme 필수 coverage를 완전 승격할 신뢰 가능한 잔여 근거가 없다. quota stretching 없이 SOURCE_INFORMATION_UNAVAILABLE로 terminal 차단한다. Art is optional.","Official source listing + Rakuten representative product for Artiste; Rakuten product=https://books.rakuten.co.jp/rb/14769813/","https://tsugimanga.jp/winner/2018/comics","2018-08-23","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-014\frozen-work-set.csv","아티스트 만화 리뷰;아르티스트 리뷰","https://bookmeter.com/search?keyword=Artiste;https://reviewne.jp/contents?query=Artiste"
