position,workId,canonicalTitle,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath,koreanQueries,japaneseEvidenceUrls
"1","work-2fd3c6ab4b6d12491068","フラレガール","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for フラレガール (ISBN 9784592216650; Rakuten https://books.rakuten.co.jp/rb/15540156/)","https://tsugimanga.jp/winner/2019/comics","2019-08-22","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","플라레걸 만화 리뷰 / 플라레 걸 일본 만화","https://bookmeter.com/search?keyword=%E3%83%95%E3%83%A9%E3%83%AC%E3%82%AC%E3%83%BC%E3%83%AB;https://reviewne.jp/contents?query=%E3%83%95%E3%83%A9%E3%83%AC%E3%82%AC%E3%83%BC%E3%83%AB"
"2","work-3124e8cb1757063cd11f","皇国の守護者","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for 皇国の守護者 (ISBN 9784088767628; Rakuten https://books.rakuten.co.jp/rb/1774970/)","https://www.mangataisho.com/archives/2008.html","2008","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","황국의 수호자 만화 리뷰 / 황국 수호자 일본 만화","https://reviewne.jp/contents/75/ratings;https://thethingx-blog.com/manga-koukokunosyugosya/"
"3","work-312aa7f134372423fce0","め組の大吾","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for め組の大吾 (ISBN 9784091236814; Rakuten https://books.rakuten.co.jp/rb/778731/)","https://shogakukan-comic.jp/shogakukan-mangasho-archives","1996","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","메구미노 다이고 만화 리뷰 / 메구미의 다이고 일본 만화","https://www.cmoa.jp/title/customer_review/title_id/17078/;https://manba.co.jp/boards/20028"
"4","work-3136f2b463675644310f","野ばら","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for 野ばら (ISBN 9784047267121; Rakuten https://books.rakuten.co.jp/rb/6573332/)","https://www.mangataisho.com/archives/2011.html","2011","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","노바라 만화 리뷰 / 들장미 일본 만화","https://bookmeter.com/search?keyword=%E9%87%8E%E3%81%B0%E3%82%89;https://reviewne.jp/contents?query=%E9%87%8E%E3%81%B0%E3%82%89"
"5","work-314b2da5452f41cfcca9","恋と呼ぶにはささやかですが","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for 恋と呼ぶにはささやかですが (ISBN 9784301003908; Rakuten https://books.rakuten.co.jp/rb/18500750/)","https://tsugimanga.jp/nominate/comics","2026-06-26","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","사랑이라 부르기엔 사소하지만 만화 리뷰 / 사랑이라 부르기에는 사소하지만","https://bookmeter.com/search?keyword=%E6%81%8B%E3%81%A8%E5%91%BC%E3%81%B6%E3%81%AB%E3%81%AF%E3%81%95%E3%81%95%E3%82%84%E3%81%8B%E3%81%A7%E3%81%99%E3%81%8C;https://reviewne.jp/contents?query=%E6%81%8B%E3%81%A8%E5%91%BC%E3%81%B6%E3%81%AB%E3%81%AF%E3%81%95%E3%81%95%E3%82%84%E3%81%8B%E3%81%A7%E3%81%99%E3%81%8C"
"6","work-314e0a0e05d65c4bcf92","きみが死ぬまで恋をしたい","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for きみが死ぬまで恋をしたい (ISBN 9784758078986; Rakuten https://books.rakuten.co.jp/rb/15729843/)","https://tsugimanga.jp/winner/2019/comics","2019-08-22","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","네가 죽을 때까지 사랑하고 싶어 만화 리뷰 / 키미가 시누마데 코이오 시타이","https://note.com/ssppppp/n/n21e8206a867a;https://manba.co.jp/topics/36546"
"7","work-31585766568765ca238d","猫のお寺の知恩さん","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for 猫のお寺の知恩さん (ISBN 9784091877703; Rakuten https://books.rakuten.co.jp/rb/14318688/)","https://tsugimanga.jp/winner/2017/comics","2017-08-23","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","고양이 절의 지온씨 만화 리뷰 / 고양이 절의 치온 씨","https://bookmeter.com/search?keyword=%E7%8C%AB%E3%81%AE%E3%81%8A%E5%AF%BA%E3%81%AE%E7%9F%A5%E6%81%A9%E3%81%95%E3%82%93;https://reviewne.jp/contents?query=%E7%8C%AB%E3%81%AE%E3%81%8A%E5%AF%BA%E3%81%AE%E7%9F%A5%E6%81%A9%E3%81%95%E3%82%93"
"8","work-3179334d0e99db4a1af7","ヘタリア","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for ヘタリア (ISBN 9784344812758; Rakuten https://books.rakuten.co.jp/rb/5496051/)","https://www.mangataisho.com/archives/2009.html","2009","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","헤타리아 만화 리뷰 / 헤타리아 일본 만화","https://bookmeter.com/search?keyword=%E3%83%98%E3%82%BF%E3%83%AA%E3%82%A2;https://reviewne.jp/contents?query=%E3%83%98%E3%82%BF%E3%83%AA%E3%82%A2"
"9","work-31b62d69a0227477db04","シティライツ","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for シティライツ (ISBN 9784063870541; Rakuten https://books.rakuten.co.jp/rb/11364805/)","https://www.mangataisho.com/archives/2013.html","2013","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","시티라이츠 만화 리뷰 / 시티 라이츠 일본 만화","https://bookmeter.com/search?keyword=%E3%82%B7%E3%83%86%E3%82%A3%E3%83%A9%E3%82%A4%E3%83%84;https://reviewne.jp/contents?query=%E3%82%B7%E3%83%86%E3%82%A3%E3%83%A9%E3%82%A4%E3%83%84"
"10","work-323baa7e8d1071236816","森野先生とボク","SOURCE_INFORMATION_UNAVAILABLE","Terminal promotionBlocked: official + independent JP + Korean-title KR routes exhausted for this finite pass; batch-013 selection packet is identity/selection only (ev-single) and annotation-status notes require downstream creation of 17 unknown Factor axes with no Theme rows. Final coverage: Genre 0/1; Theme 0; Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600). Unknown was not converted to zero and no numeric cell or quota-fill was added. Art is optional and is not a blocker.","Official selection/award + Rakuten representative product for 森野先生とボク (ISBN 9784091863294; Rakuten https://books.rakuten.co.jp/rb/12818591/)","https://www.mangataisho.com/archives/2015.html","2015","2026-08-26","C:\Toys\konocomics\data\staging\catalog-expansion\canonical-mapping.csv;C:\Toys\konocomics\data\staging\catalog-expansion\batches\batch-013\frozen-work-set.csv;Recheck direct official volume 1-3/entry-range text and two independent JP plus two Korean-community reviews, then rerun Factor/Theme adjudication and the promotion gate.","모리노 선생님과 나 만화 리뷰 / 모리노 선생님과 보쿠","https://bookmeter.com/search?keyword=%E6%A3%AE%E9%87%8E%E5%85%88%E7%94%9F%E3%81%A8%E3%83%9C%E3%82%AF;https://reviewne.jp/contents?query=%E6%A3%AE%E9%87%8E%E5%85%88%E7%94%9F%E3%81%A8%E3%83%9C%E3%82%AF"
