workId,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath
work-060a72fe10cf6ba9cbfc,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600); Tone 1/7=0.143 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社 공식 상품 페이지 — チェーザレ 破壊の創造者 1,https://www.kodansha.co.jp/comic/products/0000013469,2006-10-23,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-076beb86f844b642beef,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館 eコミックストア 공식 페이지 — くーねるまるた 1,https://e-comi.shogakukan.co.jp/books/091848470000d0000000,2014-04-02,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-091d231d37f037fb07e8,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route checks are exhausted; unchanged promotion coverage fails Genre 0/1 and Tone 0/7. Kodansha volumes 1–3 and the bounded review corpus establish the investment-school premise and Narrative structure, but do not supply a legal Genre or five residual Tone anchors. The exact Kodansha products expose no internal trial. Unknown was not converted to zero and finance or school labels were not copied into the product Genre taxonomy. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",講談社公式商品ページ — インベスターZ 1,https://www.kodansha.co.jp/comic/products/0000018461,2013-09-20,2026-08-25,"Reopen only if Kodansha product IDs 0000018461, 0000018483, or 0000018518 gain an edition-bound internal trial/content route, or an entry-range official source supplies a legal Genre or concrete residual Tone mechanism. A review route qualifies only when two new independent non-syndicated entry-range reviews repeat the same concrete Tone observation. Rerun the required gates."
work-0d1ad77728a44df56508,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 0/6=0.000 (<0.600); Tone 0/7=0.000 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Evidence source is explicitly undated; evidencePublishedAt uses canonical work firstPublishedYear 2014 only as a fallback, not as the source publication date. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",フジテレビ 공식 프로모션 페이지 — ラーメン大好き小泉さん,https://www.fujitv.co.jp/ramen_koizumi/2019/topics_01.html,2014,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-0dabd1d17e5fcf2992b9,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Tone 4/7=0.571 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館 공식 상품 페이지 — 忘却のサチコ 1,https://shogakukan-comic.jp/book?isbn=9784091866707&lang=en,2014-12-26,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-0ebf010ac12b9b60d80e,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, edition, and reader-route checks are exhausted; unchanged promotion coverage fails Narrative 2/6 and Tone 2/7. Official KADOKAWA volumes 1–3 and bounded corroboration establish the war, combat-machine, eight-person, world, pacing, relationship, and darkness observations but not two further Narrative anchors or three further Tone anchors. The exact BOOK WALKER volume-2/3 shells yielded no deterministic body payload. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",KADOKAWA公式商品ページ — 機動旅団八福神 1巻,https://www.kadokawa.co.jp/product/200700002796/,2004-12-25,2026-08-25,"Reopen if a KADOKAWA-linked volume-1–3 BOOK WALKER trial yields a deterministic body payload and the official series records establish the frozen representative-volume bridge, or two new independent non-syndicated entry-range reviews repeat one concrete residual Tone mechanism. Review only progression/problemSolving/strategy/mysteryReveal and characterArcWeight/comedy/mentalStress/romance/emotionalWarmth; rerun Narrative and Tone gates."
work-0eff8190c0c6ff604527,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 2/6=0.333 (<0.600); Tone 4/7=0.571 (<0.600); Theme 0. Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館 eコミックストア 공식 페이지 — よるくも 1,https://shogakukan-comic.jp/book?jdcn=091885380000d0000000,2013-01-01,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold; Provide direct official evidence for at least one central Theme
work-12b484cd79bfe6852ea1,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 1/6=0.167 (<0.600); Tone 2/7=0.286 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Evidence source is explicitly undated; evidencePublishedAt uses canonical work firstPublishedYear 2009 only as a fallback, not as the source publication date. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館 eコミックストア 공식 페이지 — 高校球児 ザワさん 1,https://e-comi.shogakukan.co.jp/books/091825370000d0000000,2009,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-151b456508f78852b002,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600); Tone 3/7=0.429 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",小学館コミック — ヨルムンガンド 1,https://shogakukan-comic.jp/book?isbn=9784091570697,2006-11-17,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold; Provide direct entry-range evidence for enough remaining Tone axes to reach the frozen coverage threshold
work-1550d4a52c3fe6d9f94c,SOURCE_INFORMATION_UNAVAILABLE,"Finite official-first, Japanese-community, and Korean-title community routes exhausted; unchanged promotion coverage fails: Narrative 3/6=0.500 (<0.600). Unknown is not a low value and no value was filled to meet a quota. Art is optional and was not used as a blocker. Combined input/review packet binding: SHA-256=539e91ac8a38b3abf2c207fb6a842bf8be3026a51d177c54a0a9e87149f4846a; see final-overlay-validation.json inputBindings.",一迅社 — ボクラノキセキ 1,https://data.ichijinsha.co.jp/detail/75805394,2009-02-25,2026-08-25,Provide direct entry-range evidence for enough remaining Narrative axes to reach the frozen coverage threshold
