position,workId,canonicalTitle,narrativeKnown,toneKnown,artKnown,genreCount,themeCount,outcome,blockerCode,blockerDetails
1,work-060a72fe10cf6ba9cbfc,チェーザレ 破壊の創造者,3,1,0,1,2,pending,,
2,work-076beb86f844b642beef,くーねるまるた,3,4,3,1,1,pending,,
3,work-091d231d37f037fb07e8,インベスターZ,4,0,0,0,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route checks are exhausted; unchanged promotion coverage fails Genre 0/1 and Tone 0/7. Kodansha volumes 1–3 and the bounded review corpus establish the investment-school premise and Narrative structure, but do not supply a legal Genre or five residual Tone anchors. The exact Kodansha products expose no internal trial. Unknown was not converted to zero and finance or school labels were not copied into the product Genre taxonomy."
4,work-0cf463005cc77eeded8e,黄泉のツガイ,4,5,3,2,2,recommendationVerified,,
5,work-0d1ad77728a44df56508,ラーメン大好き小泉さん,0,0,0,1,0,pending,,
6,work-0dabd1d17e5fcf2992b9,忘却のサチコ,1,4,0,1,1,pending,,
7,work-0ebf010ac12b9b60d80e,機動旅団八福神,2,2,0,2,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, edition, and reader-route checks are exhausted; unchanged promotion coverage fails Narrative 2/6 and Tone 2/7. Official KADOKAWA volumes 1–3 and bounded corroboration establish the war, combat-machine, eight-person, world, pacing, relationship, and darkness observations but not two further Narrative anchors or three further Tone anchors. The exact BOOK WALKER volume-2/3 shells yielded no deterministic body payload."
8,work-0ede6921b81169dc2dda,不滅のあなたへ,4,5,3,1,1,recommendationVerified,,
9,work-0eff8190c0c6ff604527,よるくも,2,4,0,2,0,pending,,
10,work-12b484cd79bfe6852ea1,高校球児 ザワさん,1,2,0,2,1,pending,,
11,work-151b456508f78852b002,ヨルムンガンド,3,3,0,1,4,pending,,
12,work-1550d4a52c3fe6d9f94c,ボクラノキセキ,3,5,0,2,3,pending,,
13,work-15d6508605fbd4a266fc,おまかせ精霊,2,1,0,2,1,pending,,
14,work-18e08fe95968a6537773,ニラメッコ,0,5,0,1,1,pending,,
15,work-19b578d0e828242f14f3,恋愛ラボ,1,5,0,2,1,pending,,
16,work-1b3afe12c434a9cf7603,銀のスプーン,3,5,0,1,1,pending,,
17,work-1b7c4ed54d7761cd242b,おかめ日和,3,5,0,2,1,pending,,
18,work-1bce95b6c02673e59bcf,新黒沢 最強伝説,1,3,0,1,1,pending,,
19,work-1d5a3158e78e639f1973,カレチ,4,2,0,2,2,pending,,
20,work-1e9c4852863a22bba058,GREEN WORLDZ,2,4,0,3,3,pending,,
21,work-1ec3d48e64b228bb8a92,娚の一生,1,5,3,1,0,pending,,
22,work-238c04ae3a3a61451078,リューシカ・リューシカ,1,3,0,1,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route-registry checks are exhausted; unchanged promotion coverage fails Theme 0/1, Narrative 1/6, and Tone 3/7. The official entry material supports slice-of-life, pacing, comedy, brightness, and low pressure, but does not supply a legal Theme, three further Narrative anchors, or two further Tone anchors. Unknown was not converted to zero and no adventure/exploration taxonomy leakage was used."
23,work-43ebf010a490cfd4bb50,千年万年りんごの子,4,5,3,2,1,recommendationVerified,,
24,work-4b4bbe8c10859c46e726,百舌谷さん逆上する,2,5,3,1,1,pending,,
25,work-5ad62e6413f67d351f1d,天にひびき,2,2,0,1,0,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route-registry checks are exhausted; unchanged promotion coverage fails Theme 0/1, Narrative 2/6, and Tone 2/7. Official volumes 1–3 and bounded reviews establish orchestra activity, reunion, renewed effort, and character focus, but not a legal Theme, two further Narrative anchors, or three further Tone anchors. Music, university identity, and synopsis silence were not converted to Theme or numeric values."
26,work-5b7cf2105a4bc6f6b46c,クジラの子らは砂上に歌う,4,5,4,1,2,recommendationVerified,,
27,work-5e30ab3c7e3fb43e51f2,女王の花,4,6,4,1,1,recommendationVerified,,
28,work-62fb5d8e9f6c6bbbeba9,血潜り林檎と金魚鉢男,2,3,0,3,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Finite enumerated official-first, independent-review, and publisher-route-registry checks are exhausted; unchanged promotion coverage fails Narrative 2/6 and Tone 3/7. The bounded material establishes combat, horror, darkness, and intermittent comedy but not two further Narrative anchors or two further Tone anchors. The official KADOKAWA product reports no trial and does not link an exact BOOK WALKER edition."
29,work-6c6341781c12b590864f,鉄楽レトラ,2,3,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Exact Shogakukan volumes 1–3 product and reader routes, the official Manga Taisho volume-1 commentary, and the enumerated independent review systems are exhausted; unchanged promotion coverage passes Genre 1/1 and Theme 1/1 but fails Narrative 2/6 and Tone 3/7. The available entry evidence directly supports progression, pacing, character change, recurring relationships, warmth, and school life but does not responsibly establish two additional Narrative and two additional Tone cells. Syndicated reviews were not double-counted, whole-series commentary was not treated as entry-bounded, synopsis silence was not converted to known zero."
30,work-77008e04537e3fd889e2,ジョジョリオン,5,5,4,3,2,recommendationVerified,,
31,work-79c18b26dfde8a532f73,デストロ２４６,4,2,3,1,3,pending,,
32,work-7b6eb2b48ac06ffa26eb,夢の雫、黄金の鳥籠,2,5,3,2,3,pending,,
33,work-8037856e7703fdaf4324,日常,1,2,0,2,1,pending,,
34,work-88cb26a0229ad7b83263,ひらやすみ,1,5,3,1,0,pending,,
35,work-8a7846af8ead1797e6a2,ハイスコアガール,4,5,4,2,1,recommendationVerified,,
36,work-8ff141505b0a27f8d630,WOMBS,5,4,3,2,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Exact Shogakukan WOMBS volumes 1–3 products and the title/JDCN-bound volume-3 reader, the publisher award article, licensed Kinokuniya products, independent Cmoa/DokushoMeter routes, and the honto/BookLive/Sony review provenance were rechecked on 2026-08-25. The exposed volume-3 body pages directly repeat suicidal war pressure, transplant-driven loss of control, and madness, while the products and reviews repeat combat, bodily/reproductive stakes, motherhood, and already-known relationship/character material. They do not directly establish intermittent comedy, a recurring romance subplot, or bonds/care/healing/warmth as reward. Bklog-syndicated passages were counted as one provenance family; broad series remarks, chapter titles, genre labels, source silence, and averages were not converted into values. Unchanged coverage passes Genre 2/1, Theme 2/1, and Narrative 5/6 but fails Tone 4/7 by one cell."
37,work-982bb79e03193ebbafcd,ママはテンパリスト,1,5,3,2,0,pending,,
38,work-9e98119539f60465ce66,僕らはみんな河合荘,1,5,0,2,0,pending,,
39,work-aa6018249b7fe7e92d95,かよちゃんの荷物,0,6,0,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Current promotion coverage passes Genre 1/1, Theme 1/1, and Tone 6/7 but fails Narrative 0/6. Official BookLive upper/lower descriptions and trials, Comic Natalie edition/history records, Maruzen original-volume metadata, official Manga Taisho commentary, and the enumerated eligible independent review routes were re-opened and exhausted. They do not responsibly establish four Narrative axes. The six readable BookLive lower BODY pages remain rejected because the lower new edition expressly contains added material and no official record maps manifest chapter baggage22 to original volumes 1–3; the round-3 packet also declared a stale prior-adjudication hash, whose actual canonical value is 4bfc8cad06750e19d32f41ff58e4e1f9e0229fc9ddf5c0db301ad0c45d9e1018. Unknown cells were not converted to zero, and the decision is not based on time or priority."
40,work-ab9331f7fed1990f7dc6,脳内ポイズンベリー,2,5,3,1,0,pending,,
41,work-c50ea94bb66f72c679a2,機械仕掛けの愛,2,4,3,1,1,pending,,
42,work-c7e065f61bb7a176ee56,臨死!!江古田ちゃん,1,3,0,1,1,pending,,
43,work-c8243866b7c8a6d9a2f8,町でうわさの天狗の子,2,5,0,3,1,pending,,
44,work-db4a0ec451d7f4ffd8b8,万福児,1,3,0,2,0,pending,,
45,work-e658d3aee2e33c17aa38,スピリットサークル,4,5,3,1,2,recommendationVerified,,
46,work-e906b3eaa9ef9eafe23c,トリリオンゲーム,4,5,3,0,1,promotionBlocked,FACTOR_MODEL_INCOMPATIBLE,"The frozen promotion contract requires at least one legal Dictionary Genre, but the exhausted official Shogakukan volume 1–3 route and exact volume-1 reader establish a startup/business human drama classified by the first-party storefront as ヒューマンドラマ. That publisher Genre and the separate 少年・青年マンガ demographic category are outside the ten-tag union. The bounded assault is not a recurring action genre, and comedy=2 or workplace:2 cannot be copied from Axis or Theme to fill the Genre quota. After the accepted darkness=2 row, unchanged coverage is Genre 0/1, Theme 1/1, Narrative 4/6, Tone 5/7; every required gate except mandatory Genre passes."
47,work-f31a42ea4ad724acefa5,デッドデッドデーモンズデデデデデストラクション,4,7,3,2,2,recommendationVerified,,
48,work-f4bfc29a5e0a9b5148d0,月に吠えらんねえ,3,4,0,1,1,pending,,
49,work-fb89f119251610cf1648,1/11 じゅういちぶんのいち,1,5,0,2,2,pending,,
50,work-fe35a5f01946f5153eb4,シュトヘル,2,5,3,3,5,pending,,
