workId,catalogRole,seriesGroupId,volumeCount,reviewAverage,reviewCount
work-02d5d329c9ef85e481cb,discovery,,36,,
work-089947c5303024841fef,bridge,,12,,
work-0e036724913c69bb937a,anchor,,8,,
work-1088a1dc00a3b0d22201,anchor,,1,,
work-207bb1ca28b7472fbe1d,anchor,,24,,
work-23851cd7ccf1d0c676cc,bridge,,16,,
work-3dfaf6231e21133620c6,anchor,,17,,
work-3e725951eb9c49771087,bridge,,10,,
work-4c784fc78dfd9b139c3f,anchor,,8,,
work-53e54c95f637b66c4fb2,anchor,,28,,
work-5915d6d7601377fcc75f,bridge,,27,,
work-5b9a3ec60ac5fc90f444,bridge,,24,,
work-5e20323e014d6d390aaf,anchor,,34,,
work-6f849a8e785deee3d5dc,bridge,,25,,
work-71e824df2e6bc2125294,anchor,,28,,
work-7975d62582a89492a35f,bridge,,10,,
work-8147aefccc365b0ecb4d,anchor,,35,,
work-838a6f0ad2d1ef487588,bridge,,23,,
work-9072892a767332254f00,discovery,,8,,
work-98b7d2ef065bde405972,bridge,,9,,
work-a8349445836546a82934,discovery,,9,,
work-ab95f4d4997113e0687a,anchor,,18,,
work-ad32c71b07fd13c65a79,bridge,,12,,
work-bbeeaad9e37ab267dc29,anchor,,27,,
work-c221a17d6b962b17c9f4,anchor,,11,,
work-c55467873ec70e670484,discovery,,9,,
work-ccf0ddff9c6410c4de14,bridge,,6,,
work-cdef8cfd678998a51447,bridge,,10,,
work-ced7a8e6d9c3b8147702,bridge,,3,,
work-daf65c6f2cce3e076dfa,bridge,,12,,
work-db80d94709b62aa8823f,bridge,,26,,
work-ef1bdac46a0956a87f7f,anchor,,2,,
work-fabc7f5d853e361acaf3,anchor,,24,,
