position,workId,canonicalTitle,narrativeKnown,toneKnown,artKnown,genreCount,themeCount,outcome,blockerCode,blockerDetails
1,work-025c8ab93483a39c9330,ホストと社畜,1,5,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; the host and office-worker relationship material supports Tone but does not establish three additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
2,work-098b1781e14365eea667,うるわしの宵の月,2,5,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the school-romance setting and relationship movement do not establish two additional progression, problem-solving, strategy, or mystery anchors. Unknown was not converted to zero and optional Art was not treated as a blocker."
3,work-0f3a44f5dcab9623d1be,応天の門,4,5,3,2,3,recommendationVerified,,
4,work-11d23966f22f777e95d0,のらみみ,2,5,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and the linked reader plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 4/7; the resident-character world and episodic setup do not establish two additional Narrative and one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker.
5,work-132ce7172750a3b1fa53,ヒナまつり,3,6,3,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community reviews support problemSolving=2, raising Narrative to 3/6, but no bounded source establishes progression, strategy, or mysteryReveal. Unknown was not converted to zero and optional Art was not treated as a blocker."
6,work-15dba4fdb46308ab45d7,駅から5分,2,4,0,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volume and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 4/7; the linked-place ensemble premise does not establish two additional Narrative and one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker.
7,work-188ba092c6195603bb3f,つらつらわらじ,4,5,0,1,3,recommendationVerified,,
8,work-19c2017b33c07f48634e,ふうらい姉妹,0,4,0,2,0,promotionBlocked,FACTOR_MODEL_INCOMPATIBLE;SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community searches establish sibling-family comedy but no supported Factor Dictionary Theme. Adding an unrelated Theme would fill a quota, so the mandatory Theme gate cannot be satisfied responsibly. Optional Art was not treated as a blocker. | Official volumes 1–3 and the linked trial plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 0/6 and Tone 4/7; no repeated Narrative anchor is established. Unknown was not converted to zero and optional Art was not treated as a blocker."
9,work-1a6ad6771865b43c8516,それでも町は廻っている,4,5,0,2,1,recommendationVerified,,
10,work-1cdc6c5cca7c33fafe51,青空にとおく酒浸り,1,2,0,2,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Publisher and ISBN routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 2/7; series-wide commentary is not entry-bounded evidence for three Narrative and three Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
11,work-23077ad33a2066bef5a6,Sunny,2,5,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the orphanage ensemble and character material do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
12,work-2356050c72240569e1c5,すみれファンファーレ,2,5,3,1,1,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,"Official volume routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the girl's daily life and relationships do not establish two additional acquisition, mastery, tactical, or reveal anchors. Unknown was not converted to zero and optional Art was not treated as a blocker."
13,work-2c4fe00df5255fc082f9,ヒーローカンパニー,3,3,3,2,2,promotionBlocked,SOURCE_INFORMATION_UNAVAILABLE,Official episode and publisher routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 3/6 and Tone 3/7; strategy alone does not establish one additional Narrative and two additional Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker.
14,work-2d385ad0525742330e70,ねずみの初恋,4,6,3,2,1,recommendationVerified,,
