workId,blockerCode,blockerDetails,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,recheckPath
work-025c8ab93483a39c9330,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6; the host and office-worker relationship material supports Tone but does not establish three additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,双葉社 ホストと社畜 第1巻,https://www.futabasha.co.jp/book/97845758600160000000?type=2,2024,2026-08-26,Reopen only if direct entry-range evidence establishes at least three remaining Narrative cells.
work-098b1781e14365eea667,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and trial routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the school-romance setting and relationship movement do not establish two additional progression, problem-solving, strategy, or mystery anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",講談社 うるわしの宵の月 第1巻,https://www.kodansha.co.jp/comic/products/0000347553,2020-12-11,2026-08-26,Reopen only if direct volume 1–3 evidence establishes at least two remaining Narrative cells.
work-11d23966f22f777e95d0,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and the linked reader plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 4/7; the resident-character world and episodic setup do not establish two additional Narrative and one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,小学館 のらみみ 第1巻,https://e-comi.shogakukan.co.jp/books/091884110000d0000000,2003,2026-08-26,Reopen only if direct volume 1–3 evidence establishes at least two remaining Narrative and one remaining Tone cell.
work-132ce7172750a3b1fa53,SOURCE_INFORMATION_UNAVAILABLE,"Official volumes 1–3 and independent Japanese and Korean-title community reviews support problemSolving=2, raising Narrative to 3/6, but no bounded source establishes progression, strategy, or mysteryReveal. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",KADOKAWA ヒナまつり 第1巻,https://www.kadokawa.co.jp/product/301306000979/,2011-07-15,2026-08-26,"Reopen only if direct entry-range evidence establishes at least one of progression, strategy, or mysteryReveal."
work-15dba4fdb46308ab45d7,SOURCE_INFORMATION_UNAVAILABLE,Official volume and reader routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6 and Tone 4/7; the linked-place ensemble premise does not establish two additional Narrative and one additional Tone anchor. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,集英社 駅から5分 第1巻,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08865439865439315501,2007-11-19,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative and one remaining Tone cell.
work-19c2017b33c07f48634e,FACTOR_MODEL_INCOMPATIBLE,"Official volumes 1–3 and independent Japanese and Korean-title community searches establish sibling-family comedy but no supported Factor Dictionary Theme. Adding an unrelated Theme would fill a quota, so the mandatory Theme gate cannot be satisfied responsibly. Optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",KADOKAWA ふうらい姉妹 第1巻,https://www.kadokawa.co.jp/product/201008000188/,2010-11-15,2026-08-26,Recheck only if the Factor Dictionary gains a directly supported Theme or the mandatory Theme gate changes.
work-19c2017b33c07f48634e,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and the linked trial plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 0/6 and Tone 4/7; no repeated Narrative anchor is established. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,KADOKAWA ふうらい姉妹 第1巻,https://www.kadokawa.co.jp/product/201008000188/,2010-11-15,2026-08-26,Reopen only if direct entry-range evidence establishes at least four Narrative cells and one additional Tone cell.
work-1cdc6c5cca7c33fafe51,SOURCE_INFORMATION_UNAVAILABLE,Publisher and ISBN routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 1/6 and Tone 2/7; series-wide commentary is not entry-bounded evidence for three Narrative and three Tone anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,マンガ大賞2012 選考員コメント,https://www.mangataisho.com/data/2012/mantai_comment2012.pdf,2012,2026-08-26,Reopen only if direct volume 1–3 evidence establishes at least three Narrative and three Tone cells.
work-23077ad33a2066bef5a6,SOURCE_INFORMATION_UNAVAILABLE,Official volumes 1–3 and independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the orphanage ensemble and character material do not establish two additional Narrative anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.,小学館 Sunny 第1巻,https://e-comi.shogakukan.co.jp/books/091885570000d0000000,2011-08-30,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative cells.
work-2356050c72240569e1c5,SOURCE_INFORMATION_UNAVAILABLE,"Official volume routes plus independent Japanese and Korean-title community searches were exhausted. Coverage remains Narrative 2/6; the girl's daily life and relationships do not establish two additional acquisition, mastery, tactical, or reveal anchors. Unknown was not converted to zero and optional Art was not treated as a blocker. Combined input/review packet binding: SHA-256=5ec2b05f096ecb5662ad8d8cfa207cb3ede6e101bc8902a8c015c04a72496a22; see final-overlay-validation.json inputBindings.",小学館 すみれファンファーレ 第1巻,https://shogakukan-comic.jp/book?jdcn=091885790000d0000000,2015-01-26,2026-08-26,Reopen only if direct entry-range evidence establishes at least two remaining Narrative cells.
