position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-a724b1e9c5ce4de26fa5,ないしょのつぼみ,romance,school:1:0.82,2,unknown,unknown,2,2,2,4,2,unknown,2,unknown,2,2,0.84,Rakuten Books representative volume 1 product — ないしょのつぼみ,https://books.rakuten.co.jp/rb/1790382/,2008,2026-08-26,https://maplesikou.seesaa.net/article/475479490.html,,내숭 없는 꽃봉오리 만화 리뷰 / 나이쇼노 츠보미 일본 만화,"초반 1~3권 범위에서 공식 Rakuten 1권 상품(https://books.rakuten.co.jp/rb/1790382/)과 일본 독립 리뷰(https://maplesikou.seesaa.net/article/475479490.html)를 대조했다. 공식 소개는 11세 초등학교 5학년의 임신 상담·초경·브라·체모와 성 관련 질문, 연애·우정 에피소드를 제시하고, 리뷰는 소녀가 여성으로 가는 과정과 수수께끼 인물의 등장·소멸을 확인한다. 이 한 권의 학교·또래 사춘기 사건 배치에서 progression=2; pacing=2; 수수께끼 인물의 단서·소멸에서 mysteryReveal=2; 반복되는 학교·사춘기 사회 맥락은 기능적 설정으로 worldBuilding=2. 인물·관계·어두움·연애·따뜻함은 각각 characterArcWeight=4; relationshipStructure=2; darkness=2; romance=2; emotionalWarmth=2. Theme school:1:0.82는 초등학교 5학년·또래 중심성에만 부여했다. 한국어 제목 query(내숭 없는 꽃봉오리 만화 리뷰 / 나이쇼노 츠보미 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
2,work-a77cc716088d067bec08,こんちわハム子,comedy,school:1:0.75,2,2,0,0,0,unknown,2,2,4,2,unknown,unknown,4,0.84,Rakuten Books representative volume 1 product — こんちわハム子,https://books.rakuten.co.jp/rb/11842026/,2013,2026-08-26,https://booklive.jp/review/list/title_id/219636/vol_no/001;https://www.cmoa.jp/title/67631/,,안녕 하무코 만화 리뷰 / 콘치와 하무코 일본 만화,"초반 1권 범위에서 공식 Rakuten 상품(https://books.rakuten.co.jp/rb/11842026/)과 일본 직접 리뷰(https://booklive.jp/review/list/title_id/219636/vol_no/001; https://www.cmoa.jp/title/67631/) 및 BOOK☆WALKER 1권 소개(https://bookwalker.jp/de550a9c79-9d9b-48f2-b780-0c7c75260b92/)를 대조했다. BOOK☆WALKER 소개는 지구를 내려다보려는 목표, 판코의 격려, 시험 중 커닝 장면을 적고, Cmoa 직원 리뷰는 슈르하고 때로 잔혹하며 기본 1화 완결인 동물 개그라고 평한다. 목표의 느린 성장과 시험 커닝이라는 짧은 직접 대응에서 progression=2; problemSolving=2; 1화 완결·즉흥 개그 구조에서 strategy=0; pacing=0; mysteryReveal=0. 반복 주인공·친구는 characterArcWeight=2; relationshipStructure=2; comedy=4; darkness=2; emotionalWarmth=4. Theme school:1:0.75는 1권의 시험 에피소드에만 부여했으며 worldBuilding, mentalStress, romance는 unknown으로 유지했다. 한국어 제목 query(안녕 하무코 만화 리뷰 / 콘치와 하무코 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
3,work-a7c0f3d7b865ce623311,幸腹グラフィティ,sliceOfLife,cooking:2:0.95,2,2,unknown,2,0,2,4,2,2,unknown,2,unknown,4,0.88,Rakuten Books representative volume 1 product — 幸腹グラフィティ,https://books.rakuten.co.jp/rb/12128100/,2015-02-06,2026-08-26,https://www.hidamarie.net/entry/2014/08/09/233701;https://limeline.hatenablog.com/entry/2015/01/24/212149,,행복 그래피티 만화 리뷰 / 코후쿠 그래피티 일본 만화,"초반 1~3권 범위에서 공식 Rakuten 1권 상품(https://books.rakuten.co.jp/rb/12128100/)과 두 일본 독립 리뷰(https://www.hidamarie.net/entry/2014/08/09/233701; https://limeline.hatenablog.com/entry/2015/01/24/212149)를 확인했다. 리ョウ·きりん·椎名 세 명과 1권 1·2화의 寄せ鍋·飴ちゃん, 식사에서 관계로 이어지는 구조를 리뷰가 구체적으로 설명한다. progression=2; problemSolving=2 (감정 갈등을 함께 먹고 답으로 연결하는 직접 행동); pacing=2 (1권 에피소드 단위 변화); mysteryReveal=0 (식사·관계 에피소드 구조로 추리 보상이 없음); worldBuilding=2 (반복되는 식탁·자취 공간과 세 인물 설정); characterArcWeight=4; relationshipStructure=2; comedy=2; mentalStress=2; emotionalWarmth=4. cooking:2:0.95는 반복되는 요리·식사 중심성에 부여했다. 한국어 제목 query(행복 그래피티 만화 리뷰 / 코후쿠 그래피티 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
4,work-a80cf875bfcd0d31e579,彼女のひとりぐらし,sliceOfLife;comedy,workplace:1:0.75,0,unknown,unknown,0,0,0,4,2,2,2,4,2,2,0.86,Rakuten Books representative volume 1 product — 彼女のひとりぐらし,https://books.rakuten.co.jp/rb/6516678/,2012,2026-08-26,https://booklive.jp/review/list/title_id/202415/vol_no/001;https://tunabook03.hatenablog.com/entry/2022/02/16/225716,,그녀의 혼자살기 만화 리뷰 / 카노조노 히토리구라시 일본 만화,"초반 1권 범위에서 공식 Rakuten 상품(https://books.rakuten.co.jp/rb/6516678/), BookLive 직접 1권 리뷰(https://booklive.jp/review/list/title_id/202415/vol_no/001), Tunabook 직접 리뷰(https://tunabook03.hatenablog.com/entry/2022/02/16/225716)를 대조했다. Tunabook은 프리랜서 애니메이터 26세의 독신 자취를 1~5화(혼자 크리스마스·혼자 라면 등)로 열거하고, 현실적인 외로움과 생활의 독백을 관찰한다. 이 첫 권의 반복 일상에는 성장 보상이나 장기 목표가 없어 progression=0, 단서·진실 공개 구조가 없어 mysteryReveal=0이다. 기존 직접 관찰인 pacing=0; worldBuilding=0; characterArcWeight=4; relationshipStructure=2; comedy=2; darkness=2; mentalStress=4; romance=2; emotionalWarmth=2도 유지한다. workplace:1은 프리랜서 일상 배경에만 부여했다. 한국어 제목 query(그녀의 혼자살기 만화 리뷰 / 카노조노 히토리구라시 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
5,work-a81bc17e65a038de3181,青に、ふれる。,romance,school:2:0.95,2,2,unknown,2,2,unknown,4,2,unknown,2,4,4,4,0.89,Rakuten Books representative volume 1 product — 青に、ふれる。,https://books.rakuten.co.jp/rb/15917449/,2020-08-19,2026-08-26,https://booklive.jp/review/list/title_id/632331/vol_no/001;https://www.cmoa.jp/title/176199/,,푸른색에 닿다 만화 리뷰 / 아오니 후레루 일본 만화,"초반 1권 범위에서 공식 Rakuten 상품(https://books.rakuten.co.jp/rb/15917449/)과 직접 리뷰 본문(https://booklive.jp/review/list/title_id/632331/vol_no/001; https://www.cmoa.jp/title/176199/)을 확인했다. 여주인공의 얼굴 청색모반과 교사의 상모실인증, 빈 수첩에서 드러나는 비밀, 대면과 상호 지지, 낙인·자책과 관계를 구체적으로 다룬다. progression=2; problemSolving=2; pacing=2; mysteryReveal=2; characterArcWeight=4; relationshipStructure=2; darkness=2; mentalStress=4; romance=4; emotionalWarmth=4. 학교가 지속 배경(school:2)이며 한국어 query(푸른색에 닿다 만화 리뷰 / 아오니 후레루 일본 만화)는 직접 본문 URL을 찾지 못했다. Art와 후속 권수는 평가하지 않았다."
6,work-a82a20ac5a887ca519e4,ヤコとポコ,sliceOfLife;scienceFiction,workplace:1:0.75,2,unknown,unknown,0,2,2,2,2,unknown,2,2,unknown,4,0.86,Rakuten Books representative volume 1 product — ヤコとポコ,https://books.rakuten.co.jp/rb/12724745/,2015,2026-08-26,https://booklive.jp/review/list/title_id/258408/vol_no/001;https://www.cmoa.jp/title/76694/,,야코와 포코 만화 리뷰 / 야코 포코 일본 만화,"초반 1~3권 범위에서 공식 Rakuten 1권 상품(https://books.rakuten.co.jp/rb/12724745/), BookLive 직접 1권 리뷰(https://booklive.jp/review/list/title_id/258408/vol_no/001), Cmoa 직접 리뷰(https://www.cmoa.jp/title/76694/)를 대조했다. 만화가 야코와 로봇 조수 포코의 느린 일상 및 미래 도시 설정은 기존처럼 progression=2; pacing=0; worldBuilding=2; characterArcWeight=2; relationshipStructure=2; darkness=2; mentalStress=2; emotionalWarmth=4를 지지한다. Cmoa 1권 페이지의 직접 리뷰는 세계의 수수께끼가 점차 밝혀지고 3권에서 과거 비극의 단서가 나온다고 명시하므로 초반 1~3권의 mysteryReveal=2를 추가했다. workplace:1은 만화가·어시스턴트 일에만 부여했다. 한국어 제목 query(야코와 포코 만화 리뷰 / 야코 포코 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
7,work-a82ab0cc2c3fb340283e,かわいいひと,romance;comedy,workplace:1:0.75,2,unknown,unknown,2,2,0,4,2,2,2,2,4,4,0.88,Rakuten Books representative volume 1 product — かわいいひと,https://books.rakuten.co.jp/rb/13202275/,2016-02-04,2026-08-26,https://honto.jp/ebook/pd-review_0627188332.html;https://www.cmoa.jp/title/97150/,,귀여운 사람 만화 리뷰 / 카와이이 히토 일본 만화,"초반 1권 범위에서 공식 Rakuten 1권 상품(https://books.rakuten.co.jp/rb/13202275/)과 Honto·Cmoa 직접 리뷰 본문(https://honto.jp/ebook/pd-review_0627188332.html; https://www.cmoa.jp/title/97150/)을 대조했다. Cmoa의 1권 작품 설명은 무서운 얼굴 때문에 오해받던 꽃집 직원이 고백을 받아 연인이 되고, ‘日和だけが知ってる素顔’이라는 미지의 면을 제시한다. Honto 리뷰들은 두 사람의 선한 성격·꽃집 배경·네 에피소드의 치유와 어머니 개그를 반복한다. 따라서 progression=2; pacing=2; mysteryReveal=2 (겉모습과 실제 성격의 대비를 1권에서 풀어가는 소규모 비밀); worldBuilding=0; characterArcWeight=4; relationshipStructure=2; comedy=2; darkness=2; mentalStress=2; romance=4; emotionalWarmth=4. workplace:1은 꽃집 배경에만 부여했다. 한국어 제목 query(귀여운 사람 만화 리뷰 / 카와이이 히토 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
8,work-a83fea90f846cb4acd9d,みどりのマキバオー,sports;comedy,sportsCompetition:2:0.95,4,unknown,unknown,4,0,2,4,4,4,2,2,unknown,4,0.88,Rakuten Books representative volume 1 product — みどりのマキバオー,https://books.rakuten.co.jp/rb/1554793/,1996,2026-08-26,https://booklive.jp/review/list/title_id/192946/vol_no/001;https://natsume-sketch.com/comic/midori-no-makibao/,https://m.namu.moe/w/%ED%91%B8%EB%A5%B8%EB%82%A0%EC%9D%98%20%EB%A7%88%EB%81%BC%EB%B0%94%EC%98%A4,푸른날의 마끼바오 만화 리뷰 / 미도리의 마키바오 일본 만화 / 마키바오 한국 만화,"초반 1~3권 범위(나츠메 리뷰는 1~2권의 탄생·카스케이드 등장·데뷔전으로 범위를 명시)에서 공식 Rakuten 상품(https://books.rakuten.co.jp/rb/1554793/)과 일본 직접 리뷰(https://booklive.jp/review/list/title_id/192946/vol_no/001; https://natsume-sketch.com/comic/midori-no-makibao/)를 대조했다. 출생에서 신마전으로 이어지는 성장, 반복되는 패배와 재기, 레이스·라이벌 확대, 초반 개그, 사람과 말이 대화하는 설정, 어머니·츄헤이·동료 관계가 본문에 있다. 한국어 나무 커뮤니티의 ‘푸른날의 마끼바오’ 페이지는 국내명 왕바우와 혈통·훈련·경주마 성장 개요를 확인해 일본 관찰을 보강한다. progression=4; pacing=4; mysteryReveal=0(경주·성장 중심으로 추리 보상 없음); worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=2; mentalStress=2; emotionalWarmth=4. sportsCompetition:2가 반복 경기 구조를 반영했다. 한국어 query(푸른날의 마끼바오 만화 리뷰 / 미도리의 마키바오 일본 만화 / 마키바오 한국 만화)를 수행했고 직접 본문은 https://m.namu.moe/w/%ED%91%B8%EB%A5%B8%EB%82%A0%EC%9D%98%20%EB%A7%88%EB%81%BC%EB%B0%94%EC%98%A4 하나를 확인했다. Art와 후속 권수는 평가하지 않았다."
9,work-a85b2872b13e76305087,土佐の一本釣り,sliceOfLife;romance,workplace:2:0.90,2,unknown,unknown,2,0,4,4,4,unknown,2,2,4,4,0.87,Rakuten Books representative volume 1 product — 土佐の一本釣り,https://books.rakuten.co.jp/rb/376883/,1979,2026-08-26,https://www.cmoa.jp/title/51099/;https://ebookstore.sony.jp/review/title/00177690/id/BT000017769000100101/,,토사의 한 줄 낚시 만화 리뷰 / 토사노 잇폰즈리 일본 만화,"초반 1권 범위에서 공식 Rakuten 상품(https://books.rakuten.co.jp/rb/376883/), Cmoa 직접 1권 본문·리뷰(https://www.cmoa.jp/title/51099/), Sony Reader 직접 리뷰(https://ebookstore.sony.jp/review/title/00177690/id/BT000017769000100101/)를 대조했다. Cmoa 공식 설명은 토사 어촌의 15세 준페이와 연상 연인 야치요의 청춘연애 및 어촌 사람들의 삶을 한 권의 인간 드라마로 규정하고, 리뷰는 쇼와 어촌의 상호부조를 관찰한다. 이 현실 어촌·연애 드라마의 초반 구조에는 추리 단서나 진실 공개 보상이 없어 mysteryReveal=0이며, 기존 직접 관찰인 progression=2; pacing=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=4; darkness=2; mentalStress=2; romance=4; emotionalWarmth=4를 유지한다. workplace:2는 가쓰오 어업과 어촌 노동의 중심성에 부여했다. 한국어 제목 query(토사의 한 줄 낚시 만화 리뷰 / 토사노 잇폰즈리 일본 만화)는 수행했으나 직접 본문 URL은 없어 koreanEvidenceUrls는 비워 두었다. Art는 optional이라 분석하지 않았다."
10,work-a86074a0fe7023187fa0,はじめちゃんが一番！,comedy;romance,workplace:1:0.80,2,2,unknown,2,unknown,2,4,4,4,2,2,2,4,0.86,Rakuten Books representative volume 1 product — はじめちゃんが一番！,https://books.rakuten.co.jp/rb/569259/,1990,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/831/;https://honto.jp/ebook/pd-series_C-MDO-285548-S9784091331816.html?cid=ip_eb_srs_ttl,,하지메짱이 제일 만화 리뷰 / 하지메짱가 이치방 일본 만화,"초반 1권 범위에서 공식 Rakuten 상품(https://books.rakuten.co.jp/rb/569259/)과 직접 Cmoa/Honto 리뷰(https://www.cmoa.jp/title/customer_review/title_id/831/; https://honto.jp/ebook/pd-series_C-MDO-285548-S9784091331816.html?cid=ip_eb_srs_ttl)를 확인했다. 가난한 고교생 하지메의 집안일과 다섯 쌍둥이의 CM을 계기로 한 소속사 스카우트, 아이돌계와 홈 코미디·로맨틱 코미디, 가족애와 인물 성장·다중 관계가 직접 요약·평가된다. progression=2; problemSolving=2; pacing=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=2; mentalStress=2; romance=2; emotionalWarmth=4. 아이돌 일을 workplace:1로 기록했다. 한국어 query(하지메짱이 제일 만화 리뷰 / 하지메짱가 이치방 일본 만화)는 직접 본문 URL이 없어 비워 두며 후속 권수와 Art는 평가하지 않았다."
