workId,batchId,batchType,status,selectionReason,methodPolicy,panelPolicy,lastUpdatedAt
work-0029e59a039dce3f6e74,batch-003,batch,frozen,era-2020s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-048a39f42bd18cb0823e,batch-003,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-04f35b4c99514d50231d,batch-003,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-064c0062e7a8e29cfbed,batch-003,batch,frozen,era-2020s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-07faf4019b12de5e877d,batch-003,batch,frozen,era-2010s;audience-unknown;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-131ba7a362fa9e38a10a,batch-003,batch,frozen,era-2020s;audience-shonen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-171b262b7ad72871f795,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-174e7603bb0e71bb62ab,batch-003,batch,frozen,era-2010s;audience-unknown;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-197089286d30de82f9e9,batch-003,batch,frozen,era-2020s;audience-shojo;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-1d447cc9026b530fb53d,batch-003,batch,frozen,era-2010s;audience-shonen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-29806fe5f9633b940747,batch-003,batch,frozen,era-2010s;audience-shonen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-319e39a597d16251efc9,batch-003,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-3ba6e8e3cfdec674eae3,batch-003,batch,frozen,era-2020s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-40ea287aae6305289cf6,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-550854424fc9cc94d585,batch-003,batch,frozen,era-2010s;audience-unknown;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-5baea1ce0e7e74df34b9,batch-003,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-672862529a341488245b,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-680837b0db4ec9d2932c,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-724c064d491faf4c7414,batch-003,batch,frozen,era-2000s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-78d44d381562e37dd94a,batch-003,batch,frozen,era-2010s;audience-shojo;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-7a4e7ba45413e1b8af34,batch-003,batch,frozen,era-2000s;audience-shojo;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-7abb6e8396c5e1252173,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-81c561ca6bb74a301cf8,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-83510afea8d961aec880,batch-003,batch,frozen,era-2000s;audience-unknown;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-84a6a139c55f2760544e,batch-003,batch,frozen,era-2010s;audience-shonen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-88e75622b83b794c03ac,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-rich,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-9036a98c069b5ef8cd54,batch-003,batch,frozen,era-2010s;audience-shonen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
work-98637340992f2f50107d,batch-003,batch,frozen,era-2010s;audience-seinen;genre-unknown;ev-multi,promotion-evidence-v2,art-local-codex+gemini-3.7-flash-high;grok-art-abstain;muse-conditional,2026-08-23
