workId,axisId,state,value,confidence,refs,observation,limitation
work-ccf0ddff9c6410c4de14,artRealism,known,3,0.91,p010-p011;p024-p025;p038-p039,Grounded athletic anatomy equipment and classroom perspective exceed ordinary stylization while manga facial construction keeps the sample below realistic anchor 4,The six-page entry sample supports a between-anchor value rather than the realistic extreme
work-ccf0ddff9c6410c4de14,artDensity,known,3,0.90,p010-p011;p024-p025;p038-p039,Pitching effects detailed bodies classroom furniture and batting panels keep information above balanced density without sustaining anchor 4 in every context,The complete sample sits between balanced and high-density anchors
work-ccf0ddff9c6410c4de14,visualSoftness,known,1,0.89,p010-p011;p024-p025;p038-p039,Hard contours dry hatching abrupt blacks and forceful speed marks dominate despite clean character rendering,The sample lies between rough-angular and neutral anchors
work-ccf0ddff9c6410c4de14,motionImpact,known,4,0.95,p010-p011,The bounded sequence preserves wind-up release ball travel and a catcher-reception endpoint with converging speed lines and forceful impact emphasis,The exact p010-p011 sequence supports the high-impact extreme without generalizing to every scene
work-cdef8cfd678998a51447,artRealism,known,2,0.88,p008-p009;p014-p015;p022-p023,Natural adult and child proportions plus recognizable domestic and memorial spaces coexist with simplified faces and comic expressions,The six first-episode pages repeatedly match ordinary manga stylization anchor 2
work-cdef8cfd678998a51447,artDensity,known,2,0.85,p008-p009;p014-p015;p022-p023,Kitchen memorial and family-room details balance open close-ups broad white fields and selective backgrounds,The complete three-context sample matches balanced density anchor 2
work-cdef8cfd678998a51447,visualSoftness,known,3,0.85,p008-p009;p014-p015;p022-p023,Thin restrained contours and gently modeled faces lean soft while pointed hair solid blacks and angular adult profiles keep the sample below anchor 4,The complete sample supports a between-anchor value rather than the soft-polished extreme
work-cdef8cfd678998a51447,motionImpact,unknown,,,p008-p009;p014-p015;p022-p023,Walking and small gestures appear but no selected refs preserve one exact continuous start-development-impact-end action sequence,Unknown records the unmet sequence gate and is not a low value or blocker
work-ced7a8e6d9c3b8147702,artRealism,known,2,0.87,p010-p011;p016-p017;p024-p025,Natural body proportions and recognizable rooms coexist with simplified faces light anatomy and visibly stylized expressions,The six volume-one pages support ordinary manga stylization anchor 2
work-ced7a8e6d9c3b8147702,artDensity,known,2,0.86,p010-p011;p016-p017;p024-p025,Rainy exterior room architecture clothing texture and household objects balance open dialogue panels and unrendered fields,The complete sample matches balanced density rather than either extreme
work-ced7a8e6d9c3b8147702,visualSoftness,known,3,0.88,p010-p011;p016-p017;p024-p025,Thin gentle contours rounded facial construction and light hatching recur while firmer black hair and panel accents keep the sample below anchor 4,The sample consistently lies between neutral and soft-polished anchors
work-ced7a8e6d9c3b8147702,motionImpact,unknown,,,p010-p011;p016-p017;p024-p025,Arrival walking and small domestic gestures are visible but the refs do not preserve an exact bounded continuous action sequence,Unknown is not a restrained-motion score or promotion blocker
work-daf65c6f2cce3e076dfa,artRealism,known,2,0.85,reader-screen-04;reader-screen-09;reader-screen-14,Recognizable adult proportions offices and apartments coexist with simplified faces exaggerated reactions and schematic comic figures,The digital reader refs cover six chapter-one pages and support ordinary stylization anchor 2
work-daf65c6f2cce3e076dfa,artDensity,known,2,0.86,reader-screen-04;reader-screen-09;reader-screen-14,Workplace equipment household objects architecture and patterned tone balance open portraits and large dark or white fields,The three-context sample supports balanced density anchor 2
work-daf65c6f2cce3e076dfa,visualSoftness,known,3,0.87,reader-screen-04;reader-screen-09;reader-screen-14,Thin smooth contours rounded curls and lightly rendered faces lean soft while sharp comic expressions and dark blocks prevent anchor 4,The complete sample supports a between-anchor value rather than the soft extreme
work-daf65c6f2cce3e076dfa,motionImpact,unknown,,,reader-screen-04;reader-screen-09;reader-screen-14,Office handling domestic stillness and arrival gestures do not form one exact continuous start-development-impact-end sequence,Unknown records a failed motion sequence gate and is not low
work-db80d94709b62aa8823f,artRealism,known,2,0.87,p010-p011;p024-p025;p038-p039,Observed armor clothing and historical settings coexist with large eyes chibi reactions and deliberate comic deformation,The sample repeatedly matches ordinary manga stylization rather than either realism extreme
work-db80d94709b62aa8823f,artDensity,known,4,0.93,p010-p011;p024-p025;p038-p039,Ornate armor patterned clothing crowds compact panels flame rendering and repeated hatching sustain high visual information across all three contexts,Anchor 4 is supported by repeated density rather than one isolated historical costume panel
work-db80d94709b62aa8823f,visualSoftness,known,1,0.88,p010-p011;p024-p025;p038-p039,Crisp angular contours hard black forms aggressive effect marks and dense hatching dominate despite polished faces,The complete sample lies between rough-angular and neutral anchors
work-db80d94709b62aa8823f,motionImpact,unknown,,,p010-p011;p024-p025;p038-p039,Gestures peril and burning aftermath are energetic but no selected refs preserve one exact bounded continuous action sequence,Unknown is not a low motion value and Art sequence shortage is not a blocker
work-ef1bdac46a0956a87f7f,artRealism,known,1,0.89,p010-p011;p024-p025;p038-p039,Large child heads simplified facial anatomy and the strongly deformed alien sit between strong simplification and ordinary stylization despite observed environments,The value reflects repeated figure construction across all contexts rather than the alien design alone
work-ef1bdac46a0956a87f7f,artDensity,known,2,0.84,p010-p011;p024-p025;p038-p039,Detailed foliage dog texture homes and outdoor settings balance broad black or white fields and highly simplified character panels,The three-context sample supports balanced density anchor 2
work-ef1bdac46a0956a87f7f,visualSoftness,known,2,0.82,p010-p011;p024-p025;p038-p039,Rounded child and alien forms plus clean contours are offset by coarse stress hatching hard black fields and rough dog rendering,Competing soft and hard treatments leave the complete sample at neutral anchor 2
work-ef1bdac46a0956a87f7f,motionImpact,unknown,,,p010-p011;p024-p025;p038-p039,Meeting dog interaction and solitary movement do not preserve an exact continuous action from a declared start through a resolved endpoint,Unknown records the unmet motion gate and is not low
work-f5847c45d30753150364,artRealism,known,2,0.86,p008-p009;p022-p023;p026-p027,Proportionate bodies recognizable rooms and observed hands coexist with idealized faces and classic expressive shojo construction,The complete sample supports ordinary stylization anchor 2
work-f5847c45d30753150364,artDensity,known,1,0.87,p008-p009;p022-p023;p026-p027,Broad white or black fields and face-led panels dominate while rooftop domestic and bedroom detail remains selective,The sample lies between sparse and balanced density anchors
work-f5847c45d30753150364,visualSoftness,known,3,0.88,p008-p009;p022-p023;p026-p027,Flowing hair delicate facial lines and smooth figure contours lean soft while horror blacks and sharper effect marks keep the sample below anchor 4,The value reflects the complete sample rather than treating the horror contrast as roughness alone
work-f5847c45d30753150364,motionImpact,unknown,,,p008-p009;p022-p023;p026-p027,Injury and transformation moments are shown but the selected refs do not preserve one exact bounded continuous action sequence,Unknown is not a restrained-motion value or blocker
work-fabc7f5d853e361acaf3,artRealism,known,0,0.94,p008-p009;p022-p023;p036-p037,Oversized child heads simplified limbs cartoon animals and repeated caricature consistently match the strong-deformation anchor 0,The extreme is supported across jungle comedy and sparring contexts rather than one gag panel
work-fabc7f5d853e361acaf3,artDensity,known,2,0.85,p008-p009;p022-p023;p036-p037,Detailed animal action compact gag panels and sword-speed effects balance broad white fields and omitted environmental backgrounds,The complete sample supports balanced density anchor 2
work-fabc7f5d853e361acaf3,visualSoftness,known,1,0.88,p008-p009;p022-p023;p036-p037,Thick hard contours angular hair explosive marks and forceful speed lines dominate despite rounded comic faces,The sample lies between rough-angular and neutral anchors
work-fabc7f5d853e361acaf3,motionImpact,known,4,0.94,p036-p037,The bounded sparring sequence preserves the declared attack repeated exchanges a parry and a separated endpoint with strong speed and impact emphasis,The exact p036-p037 sequence supports anchor 4 without extending the value beyond that sequence
work-fb7a0ed6a88db7d7bc71,artRealism,unknown,,,,No pixels were inspected because the official current collection is not bridged to the frozen Petit Flower Comics edition,Edition prerequisite failed before sampling; unknown is terminal for this Art pass and is not a low value or blocker
work-fb7a0ed6a88db7d7bc71,artDensity,unknown,,,,No pixels were inspected because the official current collection is not bridged to the frozen Petit Flower Comics edition,Edition prerequisite failed before sampling; unknown is terminal for this Art pass and is not a low value or blocker
work-fb7a0ed6a88db7d7bc71,visualSoftness,unknown,,,,No pixels were inspected because the official current collection is not bridged to the frozen Petit Flower Comics edition,Edition prerequisite failed before sampling; unknown is terminal for this Art pass and is not a low value or blocker
work-fb7a0ed6a88db7d7bc71,motionImpact,unknown,,,,No pixels were inspected because the official current collection is not bridged to the frozen Petit Flower Comics edition,Edition prerequisite failed before sampling; unknown is terminal for this Art pass and is not a low value or blocker
work-fd88144bf7334c4aae39,artRealism,unknown,,,,No pixels were inspected because the exact official volume page exposes no internal preview or reader,The sample prerequisite failed at zero internal pages; unknown is terminal for this Art pass and is not a low value or blocker
work-fd88144bf7334c4aae39,artDensity,unknown,,,,No pixels were inspected because the exact official volume page exposes no internal preview or reader,The sample prerequisite failed at zero internal pages; unknown is terminal for this Art pass and is not a low value or blocker
work-fd88144bf7334c4aae39,visualSoftness,unknown,,,,No pixels were inspected because the exact official volume page exposes no internal preview or reader,The sample prerequisite failed at zero internal pages; unknown is terminal for this Art pass and is not a low value or blocker
work-fd88144bf7334c4aae39,motionImpact,unknown,,,,No pixels were inspected because the exact official volume page exposes no internal preview or reader,The sample prerequisite failed at zero internal pages; unknown is terminal for this Art pass and is not a low value or blocker
