sourceId,sourceKind,organization,title,url,publishedAt,retrievedAt,listNature,registryStatus,snapshotUrl,snapshotSha256,originalItemCount,japaneseMangaItemCount,excludedWebtoonCount,excludedAdultCount,excludedNonJapaneseCount,excludedNonMangaCount,duplicateCount,canonicalMappingCount,unresolvedCount,notes
mangataisho-2008,award,マンガ大賞実行委員会,マンガ大賞2008,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2008.html,240cb616d62797f3f58b443da86a052becf4212640ea8c607df88e1539c6baf4,170,,0,0,0,0,1,121,49,공식 HTML 추출; 大賞 1건·二次ノミネート 11건·一次選考作品リスト 158건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2009,award,マンガ大賞実行委員会,マンガ大賞2009,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2009.html,18b6f5054a9bfb0e48dd9572cf38424af4fc0b6a617d101c9ae21e776aa89607,177,,0,0,0,0,38,123,54,공식 HTML 추출; 大賞 1건·二次ノミネート 9건·一次選考作品リスト 167건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2010,award,マンガ大賞実行委員会,マンガ大賞2010,https://www.mangataisho.com/archives/2010.html,2010,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2010.html,57e093fc1612b1e3612585e0af0e01ef15faaacb407fcbed35cf80b15f276e5f,200,,0,0,0,0,40,138,62,공식 HTML 추출; 大賞 1건·二次ノミネート 9건·一次選考作品リスト 190건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2011,award,マンガ大賞実行委員会,マンガ大賞2011,https://www.mangataisho.com/archives/2011.html,2011,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2011.html,e3c8292c53d198e507eded1a8b70dcded4c3619b01ab19426855cce4dedb1fb8,210,,0,0,0,0,33,130,80,공식 HTML 추출; 大賞 1건·二次ノミネート 12건·一次選考作品リスト 197건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2012,award,マンガ大賞実行委員会,マンガ大賞2012,https://www.mangataisho.com/archives/2012.html,2012,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2012.html,c6f9c3f5d96ef63ec13109105ed640439264f0701ecd80f04f24bbdd66205e0f,202,,0,0,0,0,39,150,52,공식 HTML 추출; 大賞 1건·二次ノミネート 14건·一次選考作品リスト 187건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2013,award,マンガ大賞実行委員会,マンガ大賞2013,https://www.mangataisho.com/archives/2013.html,2013,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2013.html,87d8f03b2d44ee8c1457fd0995ee0f95f1b78106c75364f3a69120b9fc3c7428,233,,0,0,0,0,53,176,57,공식 HTML 추출; 大賞 1건·二次ノミネート 10건·一次選考作品リスト 222건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2014,award,マンガ大賞実行委員会,マンガ大賞2014,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2014.html,67736b796ceff45b77463db1c5ae0f603a91ab4fc41cff9a54dab069aa759bab,223,,0,0,0,0,70,170,53,공식 HTML 추출; 大賞 1건·二次ノミネート 9건·一次選考作品リスト 213건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2015,award,マンガ大賞実行委員会,マンガ大賞2015,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2015.html,5bdc5d85c90418570d8d6acdb2661a2f4eff84768087d582422b77e35152fdf8,233,,0,0,0,0,76,173,60,공식 HTML 추출; 大賞 1건·二次ノミネート 13건·一次選考作品リスト 219건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2017,award,マンガ大賞実行委員会,マンガ大賞2017,https://www.mangataisho.com/archives/2017.html,2017,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2017.html,4ef4b5f15af410c1f7c8b6950aff0692b4b52091c52b4c5c76ece9974f72a20e,248,,0,0,0,0,7,10,238,공식 HTML 추출; 大賞 1건·二次ノミネート 12건·一次選考作品リスト 235건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
mangataisho-2018,award,マンガ大賞実行委員会,マンガ大賞2018,https://www.mangataisho.com/archives/2018.html,2018,2026-08-22,공식 大賞·二次ノミネート·一次選考 작품 목록,adjudicating,https://www.mangataisho.com/archives/2018.html,209427277e32de8a602579dcc5111bd253684e35df27a0cbb99ac57c1b66adbc,251,,0,0,0,0,9,11,240,공식 HTML 추출; 大賞 1건·二次ノミネート 11건·一次選考作品リスト 239건; hash 범위는 official year/url과 section/rank/rawText/title/creator/detailUrl; 원문 중복을 합치지 않고 모두 unresolved 유지.
