rakutenMatchId,candidateId,matchStatus,isbn,matchedTitle,editionKind,isRepresentative,sourceUrl,checkedAt,notes
rakuten-match-0029e59a039dce3f6e74,candidate-0029e59a039dce3f6e74,matched,9784088916507,【推しの子】 1,standard,true,https://books.rakuten.co.jp/rb/16373626/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003005."
rakuten-match-048a39f42bd18cb0823e,candidate-048a39f42bd18cb0823e,matched,9784344809437,大東京トイボックス（1）,standard,true,https://books.rakuten.co.jp/rb/4290644/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003020."
rakuten-match-04f35b4c99514d50231d,candidate-04f35b4c99514d50231d,matched,9784592143512,デトロイト・メタル・シティ（1）,standard,true,https://books.rakuten.co.jp/rb/4021813/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003010."
rakuten-match-064c0062e7a8e29cfbed,candidate-064c0062e7a8e29cfbed,matched,9784091577849,COSMOS（1）,standard,true,https://books.rakuten.co.jp/rb/17655999/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003039."
rakuten-match-07faf4019b12de5e877d,candidate-07faf4019b12de5e877d,matched,9784575848106,私の少年（1）,standard,true,https://books.rakuten.co.jp/rb/14161248/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-131ba7a362fa9e38a10a,candidate-131ba7a362fa9e38a10a,matched,9784088841083,超巡！ 超条先輩 1,standard,true,https://books.rakuten.co.jp/rb/17856922/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001001008."
rakuten-match-171b262b7ad72871f795,candidate-171b262b7ad72871f795,matched,9784785934071,ドリフターズ（1）,standard,true,https://books.rakuten.co.jp/rb/6484005/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003049/001001003040/001001003017."
rakuten-match-174e7603bb0e71bb62ab,candidate-174e7603bb0e71bb62ab,matched,9784091250155,からかい上手の高木さん 1,standard,true,https://books.rakuten.co.jp/rb/12753325/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003048/001001001009."
rakuten-match-197089286d30de82f9e9,candidate-197089286d30de82f9e9,matched,9784592224266,多聞くん今どっち!? 1,standard,true,https://books.rakuten.co.jp/rb/16995781/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001002009."
rakuten-match-1d447cc9026b530fb53d,candidate-1d447cc9026b530fb53d,matched,9784091251251,だがしかし 1,standard,true,https://books.rakuten.co.jp/rb/12866156/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001001009."
rakuten-match-29806fe5f9633b940747,candidate-29806fe5f9633b940747,matched,9784088705965,暗殺教室 1,standard,true,https://books.rakuten.co.jp/rb/11941886/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001001008."
rakuten-match-319e39a597d16251efc9,candidate-319e39a597d16251efc9,matched,9784047261457,乱と灰色の世界（1巻）,standard,true,https://books.rakuten.co.jp/rb/6219401/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003023."
rakuten-match-3ba6e8e3cfdec674eae3,candidate-3ba6e8e3cfdec674eae3,matched,9784098613632,劇光仮面（1）,standard,true,https://books.rakuten.co.jp/rb/17114814/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003009."
rakuten-match-40ea287aae6305289cf6,candidate-40ea287aae6305289cf6,matched,9784757559202,その着せ替え人形は恋をする（1）,standard,true,https://books.rakuten.co.jp/rb/15658806/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003018."
rakuten-match-550854424fc9cc94d585,candidate-550854424fc9cc94d585,matched,9784040661001,高杉さん家のおべんとう　1,standard,true,https://books.rakuten.co.jp/rb/17971343/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-5baea1ce0e7e74df34b9,candidate-5baea1ce0e7e74df34b9,matched,9784063728224,刻刻（1）,standard,true,https://books.rakuten.co.jp/rb/6144821/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003004."
rakuten-match-672862529a341488245b,candidate-672862529a341488245b,matched,9784063106824,BUTTER！！！（1）,standard,true,https://books.rakuten.co.jp/rb/6508769/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003015."
rakuten-match-680837b0db4ec9d2932c,candidate-680837b0db4ec9d2932c,matched,9784091866066,トクサツガガガ（1),standard,true,https://books.rakuten.co.jp/rb/12961494/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003009."
rakuten-match-724c064d491faf4c7414,candidate-724c064d491faf4c7414,matched,9784063521061,もやしもん（1）,standard,true,https://books.rakuten.co.jp/rb/3566736/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003021."
rakuten-match-78d44d381562e37dd94a,candidate-78d44d381562e37dd94a,matched,9784088467696,きょうは会社休みます。（1）,standard,true,https://books.rakuten.co.jp/rb/11603974/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001002006."
rakuten-match-7a4e7ba45413e1b8af34,candidate-7a4e7ba45413e1b8af34,matched,9784088463667,青空エール（1）,standard,true,https://books.rakuten.co.jp/rb/5922968/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001002006."
rakuten-match-7abb6e8396c5e1252173,candidate-7abb6e8396c5e1252173,matched,9784063879179,甘々と稲妻（1）,standard,true,https://books.rakuten.co.jp/rb/12417050/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003015."
rakuten-match-81c561ca6bb74a301cf8,candidate-81c561ca6bb74a301cf8,matched,9784065142103,ライドンキング（1）,standard,true,https://books.rakuten.co.jp/rb/15740016/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003047."
rakuten-match-83510afea8d961aec880,candidate-83510afea8d961aec880,matched,9784091883773,俺はまだ本気出してないだけ（1）,standard,true,https://books.rakuten.co.jp/rb/4512345/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001012."
rakuten-match-84a6a139c55f2760544e,candidate-84a6a139c55f2760544e,matched,9784253226158,僕の心のヤバイやつ　1,standard,true,https://books.rakuten.co.jp/rb/15700939/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001001001."
rakuten-match-88e75622b83b794c03ac,candidate-88e75622b83b794c03ac,matched,9784063523911,山賊ダイアリー（1）,standard,true,https://books.rakuten.co.jp/rb/11467757/,2026-08-22,"Exact normalized title, creator overlap, valid ISBN, standard edition, and Rakuten manga genre 001001003021."
