position,workId,canonicalTitle,narrativeKnown,toneKnown,narrativeNeeded,toneNeeded,searchRoute,status,hardBlocker
31,work-84b7c7d7720447075c25,軍靴のバルツァー,3,2,1,3,"official entry previews or military-history editorial for repeated Narrative method and recurring tone; then multiple independent scoped reviews",evidence-search,false
32,work-9072892a767332254f00,flat,0,1,4,4,"official entry preview and creator/editor interview for recurring structure and tone; identify one dictionary Theme without treating high-school demographics as school mechanics; then multiple independent scoped reviews",evidence-search,false
33,work-98b7d2ef065bde405972,スーパーの裏でヤニ吸うふたり,1,3,3,2,"official internal preview or editorial for entry event structure and recurring tone; then multiple independent scoped reviews, excluding popularity and smoking-based inference",evidence-search,false
34,work-a59481c00155de21d75f,ケロロ軍曹,2,2,2,3,"official volume 1–3 preview or editorial for recurring gag structure, solving method, and tone; then multiple independent scoped reviews",evidence-search,false
35,work-a8349445836546a82934,百姓貴族,2,0,2,5,"official preview, creator interview, or official serial feature for essay structure and recurring tone; then multiple independent scoped reviews",evidence-search,false
36,work-ab95f4d4997113e0687a,月刊少女野崎くん,2,3,2,2,"official preview or editorial for recurring creation/gag mechanics and tone; then multiple independent scoped reviews",evidence-search,false
37,work-ad32c71b07fd13c65a79,私の推しは悪役令嬢。,4,3,0,2,"official manga preview or editorial for two sustained tone observations beyond romance labels; then multiple independent scoped reviews",evidence-search,false
38,work-bbeeaad9e37ab267dc29,僕とロボコ,1,2,3,3,"official episode previews or editorial for recurring gag/narrative mechanics and tone; then multiple independent scoped reviews",evidence-search,false
39,work-c221a17d6b962b17c9f4,屍鬼,4,4,0,1,"official entry preview or editorial for one additional sustained tone observation; then multiple independent scoped reviews; original ISBN identity is already closed",evidence-search,false
40,work-c55467873ec70e670484,大ダーク,2,2,2,3,"official internal preview or editorial for recurring narrative methods and tone distinct from violent premise; then multiple independent scoped reviews",evidence-search,false
