position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-7b585d506d99db4d83cb,７０億の針,scienceFiction,investigation:1:0.72,2,2,unknown,2,2,2,4,2,unknown,2,2,unknown,2,0.75,Official KADOKAWA/Rakuten volume 1 + direct Japanese community reviews — ７０億の針,https://books.rakuten.co.jp/rb/5904245/,2010,2026-08-26,https://www.cmoa.jp/title/15317/;https://booklive.jp/review/list/title_id/146246/vol_no/001;https://minor.hatenablog.com/entry/20110515/1305465792,,70억개의 침 만화 리뷰;70억 개의 바늘 만화 리뷰;나나쥬오쿠노 하리 리뷰,"초반 1~3권 범위에서 Rakuten/KADOKAWA 공식 1권 소개는 고립된 여고생 히카루와 플라즈마 생명체 텐가이의 공생 및 인류를 멸망시킬 살인 존재 메일스트롬 추적을 제시한다. BookLive 1권 직접 리뷰는 1~2권을 서장으로 보고 적과 공존하며 힘을 제어하고 친구가 깊어지는 흐름을 관찰하고, CMOA 작품 본문과 minor 독립 글은 히카루의 성장과 지구 규모 위기를 확인한다. Conservative mappings: progression=2; problemSolving=2; pacing=2; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=2; darkness=2; mentalStress=2; emotionalWarmth=2. 문제 해결은 적 추적과 힘 제어가 직접 행동과 지략을 섞는 수준으로, pacing은 초반 서장형 arc로 2, mysteryReveal은 정체·적의 비밀이 일부 드러나는 수준으로 보수적으로 매핑했다. investigation:1은 메일스트롬 탐색이 반복 목표임을 뜻한다. 한국어 제목 query(70억개의 침 만화 리뷰;70억 개의 바늘 만화 리뷰;나나쥬오쿠노 하리 리뷰)를 수행했으나 직접 한국 커뮤니티 본문은 확보하지 못했다. Art는 선택 축이라 분석하지 않았다."
2,work-7b68ef4142fd6b797629,ダメな私に恋してください,comedy;romance,workplace:2:0.80,2,2,unknown,2,2,unknown,4,2,4,2,2,4,2,0.78,Official Shueisha/Rakuten volume 1 + direct Japanese community reviews — ダメな私に恋してください,https://books.rakuten.co.jp/rb/12382643/,2014,2026-08-26,https://www.cmoa.jp/title/69256/;https://booklive.jp/review/list/title_id/229183/vol_no/001;https://idukidiary.blog6.fc2.com/blog-entry-1848.html,,못난 나에게 사랑을 주세요 만화 리뷰;다메나 와타시니 코이시테 쿠다사이 리뷰;못난 나에게 사랑을 주세요 1권 리뷰,"초반 1~3권 범위에서 Rakuten/Shueisha 공식 소개와 CMOA 1권 본문은 회사 파산·구직 실패·15엔 상태의 미치코가 전 상사 흑沢와 재회해 카페에서 일하며 생활과 연애를 다시 세우는 과정을 제시한다. CMOA와 BookLive 직접 리뷰는 두 사람의 대화가 웃기고 미치코가 일을 하며 사람들과 가까워진다고 평가하고, idukidiary 독립 글도 실직 후 재시작을 확인한다. Conservative mappings: progression=2; problemSolving=2; mysteryReveal=2; pacing=2; characterArcWeight=4; relationshipStructure=2; comedy=4; darkness=2; mentalStress=2; romance=4; emotionalWarmth=2. problemSolving=2는 구직·생활비·카페 업무를 직접 해결하는 흐름, mysteryReveal=2는 흑沢의 의도와 주변 인물의 사정이 일부 비밀로 남는 구조에 한정했다. workplace:2는 카페 근무와 직장 관계가 반복되는 핵심 구조다. 한국어 제목 query(못난 나에게 사랑을 주세요 만화 리뷰;다메나 와타시니 코이시테 쿠다사이 리뷰;못난 나에게 사랑을 주세요 1권 리뷰)를 수행했으나 직접 한국 커뮤니티 본문은 확보하지 못했다. Art는 선택 축이라 분석하지 않았다."
3,work-7b903ecc2ff94b465cf9,ブスに花束を。,comedy;romance,school:2:0.82,2,2,unknown,2,unknown,2,4,2,4,unknown,2,4,2,0.78,Official KADOKAWA/Rakuten volume 1 + direct Japanese community reviews — ブスに花束を。,https://books.rakuten.co.jp/rb/14427600/,2019-08-22,2026-08-26,https://booklive.jp/review/list/title_id/407634/vol_no/001?spoiler=1;https://www.cmoa.jp/title/0000122219/,https://www.yes24.com/Product/communityModules/GoodsReviewList/89326497?PageNumber=7&Sort=1&Type=ALL&_=1759968000000&goodsSetYn=N,못난이에게 꽃다발을 만화 리뷰;부스니 하나타바오 리뷰;못난이에게 꽃다발을 1권 리뷰,"초반 1~3권 범위에서 KADOKAWA 공식 1권 소개는 자학적인 고교생 하나가 교실에서 인기남 요스케에게 들키며 시작하는 코미디 연애를 명시한다. BookLive 1권과 CMOA 직접 리뷰는 평범한 외모의 주인공, 친구들의 보조, 웃음과 따뜻함을 확인하고, YES24 한국어 1권 리뷰 본문도 두 사람이 그 사건을 계기로 가까워지는 빌드업과 고교생 이야기를 설명한다. Conservative mappings: progression=2; problemSolving=2; worldBuilding=2; pacing=2; characterArcWeight=4; relationshipStructure=2; comedy=4; mentalStress=2; romance=4; emotionalWarmth=2. problemSolving=2는 자존감·오해·교우관계를 직접 행동으로 풀어 가는 수준이고 worldBuilding=2는 교실·친구 집단이라는 기능적 학교 설정에 한정했다. school:2는 교내 생활과 학급 관계가 반복되는 핵심 구조다. 후반권 검색목록 평점은 배제했고 Art는 선택 축이라 분석하지 않았다. 한국어 제목 query(못난이에게 꽃다발을 만화 리뷰;부스니 하나타바오 리뷰;못난이에게 꽃다발을 1권 리뷰)로 직접 한국 커뮤니티 본문을 확보했다."
4,work-7bb576492f3b9329e6ee,創世のタイガ,action;scienceFiction,adventure:2:0.86;survival:2:0.90;timeTravel:2:0.92;historicalReconstruction:2:0.84,4,2,2,2,2,4,4,2,unknown,2,2,unknown,2,0.86,Official Kodansha/Rakuten volume 1 + direct Japanese community reviews — 創世のタイガ,https://books.rakuten.co.jp/rb/15065240/,2019-08-22,2026-08-26,https://www.cmoa.jp/title/270452/;https://booklive.jp/review/list/title_id/20061394/vol_no/001,,창세의 타이가 만화 리뷰;소세이노 타이가 리뷰,초반 1~3권 범위에서 CMOA 직접 커뮤니티 리뷰가 명시적으로 3권까지를 두고 동굴 붕괴 후 원시 세계에서 생존 지식과 전공으로 생활하며 네안데르탈인과 호모 사피엔스 시대를 알아가고 주인공이 대응하며 성장하고 생존 집착이 강해진다고 썼다. 같은 페이지의 다른 리뷰는 현대 지식과 전략으로 적과 싸우고 동료를 지켜야 한다고 관찰한다. BookLive 1권 리뷰는 물과 먹을 것 확보 및 거북이 포획·불·거처 마련을 설명하며 화려한 전개가 아니라고 평가한다. Kodansha 공식 1권 소개는 호주 졸업여행과 벽화·동굴 붕괴·고대 세계를 확인한다. 따라서 progression=4;problemSolving=2;strategy=2;pacing=2;mysteryReveal=2;worldBuilding=4;characterArcWeight=4;relationshipStructure=2;darkness=2;mentalStress=2;emotionalWarmth=2를 매핑했다. adventure:2;survival:2;timeTravel:2;historicalReconstruction:2는 같은 초반 관찰의 반복 구조이며 comedy와 romance는 unknown이다. 검색목록 평점 후반권은 제외했고 Art는 선택 축이라 분석하지 않았다. Conservative mappings: progression=4;problemSolving=2;strategy=2;pacing=2;mysteryReveal=2;worldBuilding=4;characterArcWeight=4;relationshipStructure=2;comedy=unknown;darkness=2;mentalStress=2;romance=unknown;emotionalWarmth=2.
5,work-7bc312490676870399a5,前略・ミルクハウス,comedy;romance;sliceOfLife,foundFamily:2:0.74,2,2,unknown,2,2,2,2,2,2,unknown,unknown,2,4,0.75,Official Rakuten volume 1 + direct Japanese community reviews — 前略・ミルクハウス,https://books.rakuten.co.jp/rb/379860/,1985,2026-08-26,https://www.cmoa.jp/title/96131/;https://booklive.jp/review/list/title_id/249106/vol_no/001;https://ameblo.jp/happiness3cha2/entry-12597130797.html,,전략 밀크하우스 만화 리뷰;전략☆밀크하우스 리뷰;젠랴쿠 밀크하우스 리뷰,"초반 1~3권 범위에서 Rakuten 공식과 CMOA/BookLive 1권 본문은 하코다테 출신 미대생 세리카가 도쿄의 하숙관 밀크하우스에 입주해 개성적인 주민들과 사건 많은 공동생활을 시작한다고 설명한다. 직접 리뷰는 한 지붕 아래 주민들의 동거, 한 화 완결 에피소드, 서로의 가정 사정과 연애가 이어지고 해결된다고 관찰하며 Ameblo 독립 글도 초반 입주와 주민 관계를 구체화한다. Conservative mappings: progression=2; problemSolving=2; pacing=2; mysteryReveal=2; worldBuilding=2; characterArcWeight=2; relationshipStructure=2; comedy=2; romance=2; emotionalWarmth=4. progression=2는 새 생활과 관계가 서서히 변하는 수준, problemSolving=2는 주민 사건·가정 사정을 직접 해결하는 수준, mysteryReveal=2는 주민들의 숨은 사정이 일부 밝혀지는 수준이다. foundFamily:2는 공동생활과 반복되는 주민 유대가 중심이기 때문이다. 한국어 제목 query(전략 밀크하우스 만화 리뷰;전략☆밀크하우스 리뷰;젠랴쿠 밀크하우스 리뷰)를 수행했으나 직접 한국 커뮤니티 본문은 확보하지 못했다. Art는 선택 축이라 분석하지 않았다."
6,work-7bc72d4f5ffcc9630504,ＫＡＴＡＮＡ,fantasy;horror,workplace:1:0.78,2,2,unknown,unknown,2,2,4,2,2,2,unknown,unknown,4,0.76,Official KADOKAWA/Rakuten volume 1 + direct Japanese community reviews — ＫＡＴＡＮＡ,https://books.rakuten.co.jp/rb/4125329/,2010,2026-08-26,https://www.kadokawa.co.jp/product/321308000036/;https://www.cmoa.jp/title/2483/;https://booklive.jp/review/list/title_id/245189/vol_no/001,,카타나 만화 리뷰;카타나 칼의 혼백 리뷰;KATANA 만화 후기,"초반 1~3권 범위에서 KADOKAWA 공식 1권과 BookLive/CMOA 직접 리뷰는 칼의 혼백을 보는 고교생 아키라가 칼에 얽힌 불가사의한 사건에 휘말리고, 영혼과 사람을 구하며 가업과 자기 능력을 알아 가는 내용을 확인한다. CMOA 리뷰는 칼의 재앙에 붙잡힌 사람을 구하고 여러 트러블을 해결하며 시리어스한 장면 속 웃음과 따뜻함이 섞인다고 관찰한다. Conservative mappings: progression=2; problemSolving=2; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=2; comedy=2; darkness=2; emotionalWarmth=4. progression=2는 아키라가 능력·가업과 자기 자신에 서서히 대응하는 성장으로 한정했고 problemSolving=2는 사건과 칼의 재앙을 직접 해결하는 수준이다. mysteryReveal=2는 칼의 혼백과 사건 원인이 일부 드러나는 구조, worldBuilding=2는 도검 장인 가문과 혼백 규칙이라는 기능적 설정에 한정했다. workplace:1은 칼 제작 가업이 반복 배경인 일부 소재다. 한국어 제목 query(카타나 만화 리뷰;카타나 칼의 혼백 리뷰;KATANA 만화 후기)를 수행했으나 직접 한국 커뮤니티 본문은 확보하지 못했다. Art는 선택 축이라 분석하지 않았다."
7,work-7bd1f7da470021b08956,パティスリーMON,romance;sliceOfLife,cooking:2:0.82;workplace:2:0.84,2,2,unknown,2,unknown,2,4,2,unknown,unknown,2,4,2,0.78,Official S-MANGA/Rakuten volume 1 + direct Japanese community reviews — パティスリーMON,https://books.rakuten.co.jp/rb/4173056/,2008,2026-08-26,https://booklive.jp/review/list/title_id/173371/vol_no/001;https://www.cmoa.jp/title/37144/,https://ridibooks.com/books/1019003072,파티스리 몽 만화 리뷰;파티스리 MON 리뷰;파티스리 몽 1권 리뷰,"초반 1~3권 범위에서 S-MANGA/Rakuten 공식 소개와 BookLive/CMOA 직접 리뷰는 과자 만들기를 좋아하는 오토메가 전 가정교사의 제안으로 케이크 가게 파티스리MON에서 일하기 시작하고 동료·연애를 함께 겪는다고 설명한다. BookLive 1권 리뷰는 케이크 가게의 업무와 연애, 주인공이 일을 해내는 과정을 확인하고 CMOA 작품 리뷰도 직장과 사랑의 균형을 언급한다. 한국어 Ridi 직접 작품·구매자 리뷰는 베이커리·제과제빵 소재와 감정선·성장을 긍정적으로 평가한다. Conservative mappings: progression=2; problemSolving=2; pacing=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=2; mentalStress=2; romance=4; emotionalWarmth=2. progression=2는 새 직장에서 능력과 감정이 서서히 변하는 수준, problemSolving=2는 제과 업무를 직접 수행하고 갈등을 조율하는 수준, pacing=2는 일과 연애가 일반적인 arc로 병행되는 수준이다. cooking:2;workplace:2는 케이크 가게와 제과 업무가 반복되는 핵심 구조다. 한국어 제목 query(파티스리 몽 만화 리뷰;파티스리 MON 리뷰;파티스리 몽 1권 리뷰)로 직접 한국어 Ridi 본문을 확보했다. Art는 선택 축이라 분석하지 않았다."
8,work-7c5bcbd3edfb1772b18c,31歳BLマンガ家が婚活するとこうなる,comedy;romance;sliceOfLife,,4,4,2,4,unknown,unknown,4,2,4,unknown,2,4,2,0.82,Official Shinshokan/Rakuten one-volume + direct Japanese community reviews — 31歳BLマンガ家が婚活するとこうなる,https://books.rakuten.co.jp/rb/11914160/,2013,2026-08-26,https://www.cmoa.jp/title/75937/;https://booklive.jp/review/list/title_id/253638/vol_no/001?spoiler=1,https://ridibooks.com/books/806018347,31세 BL 만화가가 결혼활동하면 이렇게 된다 만화 리뷰;31세 BL 만화가 혼활 리뷰;31세 BL 만화가 결혼활동 리뷰,"신서관 공식 단권 소개와 CMOA 1권 본문은 31세 BL 만화가 나오코가 1년 안 결혼을 목표로 프로필을 만들고 하루 300통 메일과 데이트를 처리하는 웃기는 혼활 에세이라고 명시한다. 직접 CMOA와 BookLive 리뷰는 프로필·온라인 만남·후보 관리·예산을 반복하는 실제 경험담으로 설명하고, 한국어 Ridi 직접 작품·구매자 리뷰도 결혼활동 에세이와 가벼운 웃음을 확인한다. Conservative mappings: progression=4; problemSolving=4; strategy=2; pacing=4; characterArcWeight=4; relationshipStructure=2; comedy=4; mentalStress=2; romance=4; emotionalWarmth=2. 22개 Theme Dictionary에는 dating·marriage·혼활에 대응하는 태그가 없어 themes는 공란으로 보존하고 schema-incompatibility를 기록한다. workplace를 억지로 붙이지 않았으며 후반권·검색목록·평점은 배제했고 darkness·mysteryReveal·worldBuilding은 unknown이다. 한국어 제목 query(31세 BL 만화가가 결혼활동하면 이렇게 된다 만화 리뷰;31세 BL 만화가 혼활 리뷰;31세 BL 만화가 결혼활동 리뷰)로 직접 한국어 Ridi 본문을 확보했다. Art는 선택 축이라 분석하지 않았다."
9,work-7c72ec74e8e6d188177a,最近雇ったメイドが怪しい,comedy;romance;sliceOfLife,workplace:1:0.68,2,unknown,unknown,2,2,2,4,2,4,unknown,2,4,4,0.82,Official Square Enix/Rakuten volume 1 + direct Japanese community reviews — 最近雇ったメイドが怪しい,https://books.rakuten.co.jp/rb/16254228/,2020-08-19,2026-08-26,https://kappa-restroom.com/manga-review-198;https://booklive.jp/review/list/title_id/744265/vol_no/001,https://m.yes24.com/Goods/Review/104687914,최근 고용한 메이드가 수상하다 만화 리뷰;사이킨 얏타 메이도가 아야시이 리뷰;최근 고용한 메이드가 수상하다 1권 리뷰,초반 1~3권 범위에서 Square Enix 공식 1권 제품은 아름다운 메이드와 솔직한 소년의 공수 역전 러브코미디를 내세운다. Kappa 독립 1권과 BookLive 직접 리뷰는 메이드가 장난치다 칭찬에 두근거리고 소년이 그녀를 더 알고 싶어 하며 메이드의 정체·고용 이유와 부모가 수수께끼라고 설명한다. YES24 한국어 3권 직접 리뷰도 두 주인공이 저택에서 함께 사는 잔잔한 일상과 메이드의 캐릭터성을 평가한다. Conservative mappings: progression=2; pacing=2; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=2; comedy=4; mentalStress=2; romance=4; emotionalWarmth=4. worldBuilding=2는 저택·주종관계·가사라는 기능적 배경이 반복되는 수준으로만 부여했다. workplace:1은 메이드 고용과 가사 직무가 배경에 반복되기 때문이다. 후속권 검색목록 평점은 배제했고 problemSolving·strategy·darkness는 unknown이며 Art는 선택 축이라 분석하지 않았다. 한국어 제목 query(최근 고용한 메이드가 수상하다 만화 리뷰;사이킨 얏타 메이도가 아야시이 리뷰;최근 고용한 메이드가 수상하다 1권 리뷰)로 직접 한국어 YES24 본문을 확보했다.
10,work-7c9fcfd8776115f6154c,となりの８０１ちゃん,comedy;romance;sliceOfLife,workplace:1:0.66,2,2,unknown,2,unknown,2,2,2,4,unknown,unknown,4,2,0.78,Official Rakuten volume 1 + direct Japanese community review — となりの８０１ちゃん,https://books.rakuten.co.jp/rb/5440279/,2011,2026-08-26,https://www.cmoa.jp/title/3204/;https://booklive.jp/review/list/title_id/716745/vol_no/001,,옆자리 801짱 만화 리뷰;토나리노 801짱 리뷰;옆자리 801짱 1권 리뷰,"초반 1~3권 범위에서 Rakuten 공식과 CMOA 1권 본문은 28세 오타쿠 회사원이 부녀자 여자친구와 사귀며 블로그 일상을 4컷으로 그린 연애 생활 러브코미디라고 명시한다. CMOA 직접 사용자 리뷰는 오타쿠 커플의 일상에서 공감 가능한 あるある 개그와 호노보노함이 반복된다고 평가하고, BookLive 분책 1화 리뷰도 오타쿠 남자와 부녀자 여자친구의 설정을 확인한다. Conservative mappings: progression=2; problemSolving=2; pacing=2; worldBuilding=2; characterArcWeight=2; relationshipStructure=2; comedy=4; romance=4; emotionalWarmth=2. progression=2는 연애·블로그 생활이 이어지며 관계가 변하는 수준, problemSolving=2는 오타쿠 취향 차이와 동거 일상을 직접 조율하는 수준, worldBuilding=2는 오타쿠 문화와 회사원 생활이라는 기능적 배경에 한정했다. workplace:1은 회사원 주인공의 직장 배경이 반복되는 일부 소재다. 한국어 제목 query(옆자리 801짱 만화 리뷰;토나리노 801짱 리뷰;옆자리 801짱 1권 리뷰)를 수행했으나 직접 한국 커뮤니티 본문은 확보하지 못했다. Art는 선택 축이라 분석하지 않았다."
