position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-fca82c83835eeacce10c,KAPPEI,action;comedy;romance,combat:2:0.98,2,2,0,4,0,2,2,2,4,2,2,4,2,0.96,Hakusensha press release for KAPPEI,https://www.dreamnews.jp/press/0000050277,2012-04-25,2026-08-26,https://www.cmoa.jp/title/58147/,,캇페이 만화 리뷰;캇페이 리뷰;캇페이 카페 후기,Official promotion frames KAPPEI as an overpowered end-times warrior comedy and a love comedy. Japanese Cmoa reader bodies describe a man raised only to fight who enters modern life and falls in love; repeated duels and absurd special moves; and sustained explosive gag timing. Korean Hangul-title searches(캇페이 만화 리뷰;캇페이 리뷰;캇페이 카페 후기) found no qualifying direct Korean community body. Conservative mappings: progression=2; problemSolving=2; strategy=0; pacing=4; mysteryReveal=0; worldBuilding=2; characterArcWeight=2; relationshipStructure=2; comedy=4; darkness=2; mentalStress=2; romance=4; emotionalWarmth=2. Combat recurs as the warrior premise and duel structure. Art is optional and unassessed.
2,work-fcf4a94b4002d5d88acb,セトウツミ,comedy;sliceOfLife,school:2:0.98,2,2,0,2,2,0,4,2,4,2,2,0,4,0.96,Akita Shoten official volume 1 page,https://www.akitashoten.co.jp/comics/4253220495,2013-12-06,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/78023/;https://booklive.jp/review/list/title_id/265163/vol_no/001,,세토우츠미 만화 리뷰;세토 우츠미 리뷰;세토우츠미 일본 만화 후기,The official copy describes two Kansai high-school boys spending afternoons talking by a river across seven relaxed episodes. Japanese Cmoa and BookLive bodies repeatedly describe sharp comic banter; a growing cast; emotional and social issues beneath the jokes; and carefully planted clues that pay off in the final structure. Korean Hangul-title searches(세토우츠미 만화 리뷰;세토 우츠미 리뷰;세토우츠미 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=2; problemSolving=2; strategy=0; pacing=2; mysteryReveal=2; worldBuilding=0; characterArcWeight=4; relationshipStructure=2; comedy=4; darkness=2; mentalStress=2; romance=0; emotionalWarmth=4. School is the recurring setting and relationship engine. Art is optional and unassessed.
3,work-fd190ce315fa4370c231,野田ともうします。,comedy;sliceOfLife,school:2:0.98;workplace:1:0.92,0,2,0,2,0,2,4,4,4,0,0,0,4,0.97,Kodansha official volume 1 page,https://www.kodansha.co.jp/comic/products/0000035712,2009-07-13,2026-08-26,https://www.cmoa.jp/title/56879/;https://booklive.jp/review/list/title_id/185898/vol_no/001,,노다라고 합니다 만화 리뷰;노다토 모우시마스 리뷰;노다라고 합니다 일본 만화 후기,The official synopsis places curious university student Noda in clubs and a family restaurant while listing her everyday eccentric questions. Japanese Cmoa and BookLive reader bodies describe a short episodic comedy; her idiosyncratic reasoning; recurring club and workmates; and gentle acceptance that makes the surrounding cast central. Korean Hangul-title searches(노다라고 합니다 만화 리뷰;노다토 모우시마스 리뷰;노다라고 합니다 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=0; problemSolving=2; strategy=0; pacing=2; mysteryReveal=0; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=4; darkness=0; mentalStress=0; romance=0; emotionalWarmth=4. School and part-time workplace settings recur across the everyday episodes. Art is optional and unassessed.
4,work-fd370d007a92cf6dd555,すごいスマホ,action;scienceFiction;mystery,investigation:2:0.99,4,4,4,4,4,2,2,2,0,4,4,0,0,0.98,Shonen Jump official series page,https://www.shonenjump.com/j/rensai/sugoi/,2022,2026-08-26,https://www.cmoa.jp/title/250560/?disp_mode=easy&order=up&page=1,,대단한 스마트폰 만화 리뷰;스고이 스마트폰 리뷰;대단한 스마트폰 일본 만화 후기,The official Shonen Jump promotion defines a smartphone that searches every fact from secret documents to surveillance data and calls the work a giant suspense. Japanese Cmoa readers describe the high-school protagonist seeking his missing brother; multiple device holders conducting information warfare; clues and identity reveals; and a prematurely cut but tense escalation. Korean Hangul-title searches(대단한 스마트폰 만화 리뷰;스고이 스마트폰 리뷰;대단한 스마트폰 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=4; problemSolving=4; strategy=4; pacing=4; mysteryReveal=4; worldBuilding=2; characterArcWeight=2; relationshipStructure=2; comedy=0; darkness=4; mentalStress=4; romance=0; emotionalWarmth=0. Investigation is the recurring search-and-inquiry mechanic. Art is optional and unassessed.
5,work-fd37656c6eb89e1b49aa,ジーンブライド,scienceFiction;mystery;sliceOfLife,investigation:2:0.99;school:2:0.98,4,4,2,2,4,4,4,4,2,4,4,0,2,0.97,Shodensha official Gene Bride special site,https://www.shodensha.co.jp/genebride/,2022,2026-08-26,https://www.cmoa.jp/title/232040/?disp_mode=easy&order=up&page=1,,진 브라이드 만화 리뷰;진브라이드 리뷰;진 브라이드 일본 만화 후기,The official Shodensha story follows writer Ichi facing workplace harassment and a former classmate while searching for a vanished friend through a school hospital and designer-baby secrets. Japanese Cmoa bodies describe the initially grounded gender critique; a slow turn into SF; layered foreshadowing and reveals; persistent psychological pressure; and mutual help among the lead group. Korean Hangul-title searches(진 브라이드 만화 리뷰;진브라이드 리뷰;진 브라이드 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=4; problemSolving=4; strategy=2; pacing=2; mysteryReveal=4; worldBuilding=4; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=4; mentalStress=4; romance=0; emotionalWarmth=2. Investigation and the school institution are recurring structures. Art is optional and unassessed.
6,work-fd47a8534bdee3a0181e,ぷにるはかわいいスライム,fantasy;comedy;romance,school:2:0.98,2,2,0,4,0,2,2,4,4,0,2,4,4,0.96,Shogakukan launch press release for ぷにるはかわいいスライム,https://prtimes.jp/main/html/rd/p/000001683.000013640.html,2022,2026-08-26,https://www.cmoa.jp/title/customer_review/title_id/249641/;https://booklive.jp/review/list/title_id/20047226/vol_no/001,,푸니르는 귀여운 슬라임 만화 리뷰;푸니루와 카와이이 슬라임 리뷰;푸니르는 귀여운 슬라임 일본 만화 후기,The official Shogakukan promotion describes a childhood-made slime gaining life and changing into many cute forms beside middle-schooler Kotaro in a first-of-its-kind CoroCoro love comedy. Japanese Cmoa and BookLive bodies emphasize one-episode school chaos; repeated transformations; a large eccentric cast; friendship and romance; and warm character growth. Korean Hangul-title searches(푸니르는 귀여운 슬라임 만화 리뷰;푸니루와 카와이이 슬라임 리뷰;푸니르는 귀여운 슬라임 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=2; problemSolving=2; strategy=0; pacing=4; mysteryReveal=0; worldBuilding=2; characterArcWeight=2; relationshipStructure=4; comedy=4; darkness=0; mentalStress=2; romance=4; emotionalWarmth=4. School is the recurring setting for the relationship comedy. Art is optional and unassessed.
7,work-fd5df88c9820bb00bb1f,ヒトヒトリフタリ,fantasy;scienceFiction,politics:2:0.99,4,4,4,4,2,4,4,4,0,4,4,0,4,0.98,Shueisha official volume 1 page for ヒトヒトリフタリ,https://books.shueisha.co.jp/items/contents.html?jdcn=08879283879283315501&rf=ak,2013,2026-08-26,https://www.cmoa.jp/title/63674/;https://reviewne.jp/reviews/27896,,히토히토리후타리 만화 리뷰;한 사람 두 사람 리뷰;히토히토리후타리 일본 만화 후기,The official Shueisha synopsis pairs a delinquent spirit girl with a Japanese prime minister given only one and a half years to live. Japanese Cmoa and Reviewne bodies describe a political and spiritual suspense; rapid crisis movement; a trust-building human partnership; national policy and nuclear risk; and emotionally heavy life-and-death choices. Korean Hangul-title searches(히토히토리후타리 만화 리뷰;한 사람 두 사람 리뷰;히토히토리후타리 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=4; problemSolving=4; strategy=4; pacing=4; mysteryReveal=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=4; comedy=0; darkness=4; mentalStress=4; romance=0; emotionalWarmth=4. Politics is the recurring national-decision structure. Art is optional and unassessed.
8,work-fd6e70a72344e8a3ef3b,星屑ニーナ,scienceFiction;fantasy;comedy,timeTravel:2:0.98,4,2,0,4,2,4,4,2,2,2,2,2,4,0.97,KADOKAWA official product page for 星屑ニーナ 1,https://www.kadokawa.co.jp/product/201008000184/,2010-12-15,2026-08-26,https://booklive.jp/review/list/title_id/243902/vol_no/001;https://www.cmoa.jp/title/83474/,,별가루 니나 만화 리뷰;호시쿠즈 니나 리뷰;별가루 니나 일본 만화 후기,The official KADOKAWA product identifies the robot Hoshikuzu and high-school girl Nina while the series jumps through years and futuristic phenomena. Japanese BookLive and Cmoa bodies describe a time-skip comedy with cosmic creatures; a robot who learns affection; rapid changes in the world; and tender grief as human lives pass while the robot remains. Korean Hangul-title searches(별가루 니나 만화 리뷰;호시쿠즈 니나 리뷰;별가루 니나 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=4; problemSolving=2; strategy=0; pacing=4; mysteryReveal=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=2; comedy=2; darkness=2; mentalStress=2; romance=2; emotionalWarmth=4. Time travel/time-skipping is the recurring narrative mechanic. Art is optional and unassessed.
9,work-fe36cd3eb836d1655a94,青のフラッグ,romance;sliceOfLife,school:2:0.99,4,2,0,2,2,2,4,4,2,2,4,4,4,0.98,Shueisha official 青のフラッグ 1 page,https://www.shueisha.co.jp/books/items/contents.html?jdcn=08881045881045315501&rf=hr,2017-04-04,2026-08-26,https://www.cmoa.jp/title/128652/;https://booklive.jp/review/list/title_id/427575/vol_no/001,,푸른 깃발 만화 리뷰;아오노 후랏구 리뷰;푸른 깃발 일본 만화 후기,The official Shueisha synopsis sets a high-school senior between childhood friend Toma and classmate Futaba after she confesses her love. Japanese Cmoa and BookLive bodies describe a carefully layered triangle; secrets and shifting identities; dialogue about friendship and sexuality; sustained emotional strain; and a warm but serious coming-of-age ensemble. Korean Hangul-title searches(푸른 깃발 만화 리뷰;아오노 후랏구 리뷰;푸른 깃발 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=4; problemSolving=2; strategy=0; pacing=2; mysteryReveal=2; worldBuilding=2; characterArcWeight=4; relationshipStructure=4; comedy=2; darkness=2; mentalStress=4; romance=4; emotionalWarmth=4. School is the recurring setting and relationship structure. Art is optional and unassessed.
10,work-fed2192d8e8359ba3ed4,竜の学校は山の上,fantasy;comedy,,0,2,0,4,2,4,4,2,2,2,2,0,2,0.94,East Press official book detail for 竜の学校は山の上,https://www.eastpress.co.jp/goods/detail/9784781605456,2011-03-28,2026-08-26,https://www.cmoa.jp/title/54648/;https://booklive.jp/review/list/title_id/144575/vol_no/001,,용의 학교는 산 위 만화 리뷰;류노 가코와 야마노 우에 리뷰;용의 학교는 산 위 일본 만화 후기,The official East Press copy presents nine short stories mixing ordinary reality with fantasy: post-RPG heroes; an angel choosing school; a working centaur; and a university dragon. Japanese Cmoa and BookLive reader bodies confirm a varied short-story collection with recurring speculative settings; black humor; compact problem arcs; and reflective character dilemmas. Korean Hangul-title searches(용의 학교는 산 위 만화 리뷰;류노 가코와 야마노 우에 리뷰;용의 학교는 산 위 일본 만화 후기) found no qualifying direct Korean community body. Conservative mappings: progression=0; problemSolving=2; strategy=0; pacing=4; mysteryReveal=2; worldBuilding=4; characterArcWeight=4; relationshipStructure=2; comedy=2; darkness=2; mentalStress=2; romance=0; emotionalWarmth=2. Theme remains blank because no single legal Theme recurs across the anthology's unrelated RPG aftermath; school; workplace; and dragon-world vignettes. Art is optional and unassessed.
