position,workId,canonicalTitle
1,work-553a5452dad416fd8800,中春こまわり君
2,work-5546d6a69fb258a943c2,坊主DAYS
3,work-555bfdff9e7e5e6c8d11,銀のニーナ
4,work-5577e7229dee82594d6c,千と万
5,work-5579a3b5321f874d6c14,たとえとどかぬ糸だとしても
6,work-55e3193c95b2f4c2e944,紺田照の合法レシピ
7,work-5625fc2de8c5a33e98b2,可愛いだけじゃない式守さん
8,work-56cfe3f157c6da083f35,人は見た目が100パーセント
9,work-56e45e2dd0d00d5f24a8,ブランクスペース
10,work-5702b6d631ece35b62ea,「壇蜜」
11,work-574a0d3c5c25d8741ba5,しゅがー・みーつ・がーる！
12,work-578a883b485b57393ea9,ちゃんと好きって言える子無双
13,work-57e57ac2ef9687d8c2ce,僕は問題ありません
14,work-57f00e4a2130d5a0fa70,新米姉妹のふたりごはん
15,work-580d12e46b72fad34332,さくらの園
16,work-58191c032908b92d1955,ダニー・ボーイ
17,work-58516b2e576ac0229077,魔王の秘書
18,work-587a29e5d045707f9c8f,小林さんちのメイドラゴン
19,work-590b60fe2d2ea5ac62cd,少女少年学級団
20,work-590b8ecced818130cf51,あなたのことはそれほど
21,work-5924760a1dde711fff88,キャプテン
22,work-592efc68f5adaed3e2ff,アイゼンファウスト天保忍者伝
23,work-595cf1b66258257c1daa,なかじまなかじま
24,work-595e4f93113111f5416a,僕はビートルズ
25,work-598b59b6153e22e56da2,エンゼルバンク
26,work-59cf691b7487a62a4077,ぽちゃまに
27,work-5a197c8c67ae395c17be,BABEL
28,work-5a5b5d57acd7c35aebb0,真・異種格闘大戦
29,work-5ab1b890f441d79d8f2d,苺ましまろ
30,work-5ac2e816cd96e6c5d795,ねこむすめ道草日記
31,work-5b2987a5b9f05de7769a,男どアホウ甲子園
32,work-5b63d3327587170a0e1e,愛気
33,work-5bb381c9a795df5c1413,うちの師匠はしっぽがない
34,work-5bdc75180460ced2580e,境界のメロディ
35,work-5c6791284752dea2d661,吐息と稲妻
36,work-5ca6f1a04878978f9e5c,街角花だより
37,work-5ce35f71e0a90cb8fd95,焼きたて!!ジャぱん
38,work-5cf2537c41f9ca296ae4,南国トムソーヤ
39,work-5d1d25fba80d0044182d,メンヘラちゃん
40,work-5d482661243e553d2716,漫画生物学
41,work-5d60aac40d8bd36bb83f,素敵な彼氏
42,work-5dd63a5243d0adbf8a60,どくだみの花咲くころ
43,work-5de9dc2933f8395ad898,ＣＡＰＴＡＩＮアリス
44,work-5e604312a028cd1cd45c,大正ガールズエクスプレス
45,work-5e8f5ad0820e97153fd9,スプライト
46,work-5eafe74dcfdc64fbe5f0,怪獣を解剖する
47,work-5eb4b8f96b08d6d91e3e,囚人リク
48,work-5efc931bb6240d9dc0ad,名探偵マーニー
49,work-5f23120a034be3aebbe7,孤食ロボット
50,work-5f23f28d04aaeed489cc,ラジエーションハウス
