workId,axisId,state,value,confidence,refs,observation,limitation
work-84b7c7d7720447075c25,artRealism,unknown,,,none,No eligible internal page sample was available from the exact official product route.,The official product-only result closes unknown and is not a low score or promotion blocker.
work-84b7c7d7720447075c25,artDensity,unknown,,,none,No eligible internal page sample was available from the exact official product route.,The official product-only result closes unknown and is not a low score or promotion blocker.
work-84b7c7d7720447075c25,visualSoftness,unknown,,,none,No eligible internal page sample was available from the exact official product route.,The official product-only result closes unknown and is not a low score or promotion blocker.
work-84b7c7d7720447075c25,motionImpact,unknown,,,none,No exact continuous action sequence could be inspected without an eligible internal page sample.,The official product-only result closes unknown and is not a low score or promotion blocker.
work-9072892a767332254f00,artRealism,known,2,0.87,reader-step-01;reader-step-07;reader-step-14,Normally proportioned figures and recognizable school and domestic settings coexist with simplified youthful faces and occasional comic deformation which matches ordinary stylization anchor 2.,Evidence ART-B002-C04-32 is bounded to six official first-episode pages across three contexts.
work-9072892a767332254f00,artDensity,known,2,0.84,reader-step-01;reader-step-07;reader-step-14,Foliage bookshelves and compact panel sequences are balanced by open portrait fields and selectively omitted environments which matches anchor 2.,Evidence ART-B002-C04-32 excludes lettering as density and cannot establish later-volume treatment.
work-9072892a767332254f00,visualSoftness,known,4,0.92,reader-step-01;reader-step-07;reader-step-14,Thin smooth contours rounded idealized faces light screentone and consistently gentle figure treatment match the soft and polished anchor 4.,Evidence ART-B002-C04-32 supports the extreme across school home and doorway contexts rather than one close-up.
work-9072892a767332254f00,motionImpact,unknown,,,reader-step-01;reader-step-07;reader-step-14,The selected refs contain gestures and one comic mishap but do not preserve one exact start-development-impact-end action.,Evidence ART-B002-C04-32 fails only the motion sequence gate and unknown is not restrained motion.
work-98b7d2ef065bde405972,artRealism,known,3,0.89,preview-slide-02;preview-slide-05;preview-slide-08,Grounded adult proportions clothing hands and facial construction exceed ordinary stylization while enlarged eyes and expressive simplification keep the sample below fully realistic anchor 4.,Evidence ART-B002-C04-33 covers six opening-episode pages across meeting conversation and departure contexts.
work-98b7d2ef065bde405972,artDensity,known,2,0.86,preview-slide-02;preview-slide-05;preview-slide-08,Clothing texture storefront cues and compact panels coexist with broad face fields and restrained backgrounds so the complete sample remains balanced at anchor 2.,Evidence ART-B002-C04-33 excludes lettering and is limited to the embedded opening preview.
work-98b7d2ef065bde405972,visualSoftness,known,3,0.88,preview-slide-02;preview-slide-05;preview-slide-08,Clean polished contours controlled hair and gentle face rendering exceed neutral softness while sharper adult features and firm blacks keep the sample below anchor 4.,Evidence ART-B002-C04-33 places the repeated treatment between anchors 2 and 4 without averaging.
work-98b7d2ef065bde405972,motionImpact,unknown,,,preview-slide-02;preview-slide-05;preview-slide-08,Conversation poses and walking panels are separated across slides and do not define one continuous bounded action.,Evidence ART-B002-C04-33 fails only the exact sequence gate and unknown is not low motion.
work-a59481c00155de21d75f,artRealism,unknown,,,none,The exact publisher-linked sample did not finish loading and no internal pixels were retained.,Evidence ART-B002-C04-34 closes unknown after access failure and no cover or remembered style was substituted.
