position,workId,canonicalTitle
1,work-2141b420eca4795b6772,デビルズライン
2,work-215b6936b93e452bb61e,ミュジコフィリア
3,work-21e8dd86e844f3e1b82d,ジャヒー様はくじけない！
4,work-21ef61123c16dfe94c5e,モリのアサガオ
5,work-220bc5323243498f36eb,らいか・デイズ
6,work-22265a6ee16f051d542e,ニセコイ
7,work-224f24e5f46be902b73b,壬生義士伝
8,work-22742bf90f4b1ec39114,声がだせない少女は「彼女が優しすぎる」と思っている
9,work-227d0d4cca68de57b124,第七女子会彷徨
10,work-22863722e753645cf08e,さよならソルシエ
11,work-22997668db5d66d5034c,古代戦士ハニワット
12,work-22baa3338ea7eb109eb0,観音寺睡蓮の苦悩
13,work-230c01be9d63e7621b25,あの人の胃には僕が足りない
14,work-23950c7ba1f06f7c7d79,デキる猫は今日も憂鬱
15,work-239ae23df7c9bf5bcb8d,背伸びして情熱
16,work-23c38bf18af4e16b42be,神クズ☆アイドル
17,work-23fd39ffc819ea11b8a7,予告犯
18,work-2406b2ca910adb6c1d73,可愛そうにね、元気くん
19,work-24de0c652b25b9f56125,ふおんコネクト！
20,work-24e49de317a49e2761f1,魔王様ちょっとそれとって!!
21,work-253f5626d3ce094fb544,おさななななじみ
22,work-256eeb839e052e0b24c4,生徒会にも穴はある！
23,work-2582309550646b0b4f82,７人のシェイクスピア
24,work-25c44bf9036baf7168e3,ベアゲルター
25,work-2622d7788c42f875f7eb,夜、海へ還るバス
26,work-268121469703c73b00d7,王国の子
27,work-28102756d9fe31e97bf9,小春と湊 わたしのパートナーは女の子
28,work-28663a81f12fb90640d8,ヤマノススメ
29,work-288350bffa05c3bc10da,かくしごと
30,work-2886a7f0a3e225ea8c9d,今朝も揺られてます
31,work-28ef0b4d0776d2168158,こじらせ百鬼ドマイナー
32,work-296978e57b2f8f5810b3,以下略
33,work-2992c74ee206f4464282,まじめな会社員
34,work-2a73da617f89ddbe502d,＋チック姉さん
35,work-2aded24fd8a309ef5d2f,おれは男だ！くにおくん
36,work-2ae7ce31d011e7b3a810,クレープを二度食えば
37,work-2af687c49ad9b5758f0f,勇気あるものより散れ
38,work-2b3823cbc20430e066f6,おやすみプンプン
39,work-2b94b6742ee16e29f5d3,ハルロック
40,work-2be107f48f7bea02034e,ゆるめいつ
41,work-2be5ce3ac89139bd4cdb,カグラバチ
42,work-2c46bb51f0e0acb08032,殺し愛
43,work-2ca9296a0a38d5df250a,やがて君になる
44,work-2ce2dc417dca4bc939fa,イノセントデビル
45,work-2d87d6ab4eb3b879e39e,ぐらんぶる
46,work-2e2e54a255eda38f89c2,サザンと彗星の少女
47,work-2ed2c94fe3de948be954,カワイスギクライシス
48,work-2f1caacde7e8573146ef,けずり武士
49,work-2f6ab113628039681849,GANGSTA.
50,work-2f96453b568685326a51,初×婚
