workId,axisId,state,value,confidence,refs,observation,limitation
work-025c8ab93483a39c9330,artRealism,known,3,0.91,"reader-step-04@ab2600908d218d448c0f3e7b8151f085ee2074d0daf11ca4a30e7ccf082b51dc;reader-step-13@bda0f60e87ffd77fb725cfe1c11655b8844ac432cb0778db4ffa31716b8b4be2","Grounded anatomy and carefully constructed restaurant, office, train, and city settings outweigh the mild manga facial stylization.","Static call uses six genuine body pages across four contexts; no excluded page type is cited."
work-025c8ab93483a39c9330,artDensity,known,3,0.90,"reader-step-04@ab2600908d218d448c0f3e7b8151f085ee2074d0daf11ca4a30e7ccf082b51dc;reader-step-09@e84073c2b4b84c72785d2ad1600c3344101c4f8fb86fef0b5bef3f1aefadea31;reader-step-13@bda0f60e87ffd77fb725cfe1c11655b8844ac432cb0778db4ffa31716b8b4be2","Frequent environmental detail, tones, signage, furnishings, and layered panel information place the sample above balanced density.","Static call uses six genuine body pages across four contexts; no excluded page type is cited."
work-025c8ab93483a39c9330,visualSoftness,known,3,0.90,"reader-step-07@2c0a5186f274a5539a26c80826a3df4def3ef1f08b28a17a5802123b207196f7;reader-step-17@072fbd0c275a7910ed7ef4a8a7d553a27c9358b7186dbf23434fa0d58e2d3203","Clean rounded facial contours and smooth tonal handling read softer than neutral without reaching the most delicate airy endpoint.","Static call uses six genuine body pages across four contexts; no excluded page type is cited."
work-025c8ab93483a39c9330,motionImpact,unknown,,,"reader-step-09@e84073c2b4b84c72785d2ad1600c3344101c4f8fb86fef0b5bef3f1aefadea31;reader-step-13@bda0f60e87ffd77fb725cfe1c11655b8844ac432cb0778db4ffa31716b8b4be2","The retained pages contain isolated poses and transport imagery but not a complete continuous action sequence.","No exact start, development, impact, and resolved-end references for one continuous action were retained."
work-098b1781e14365eea667,artRealism,known,2,0.90,"reader-step-11@0914eeb5ea8a2cdbdaca4d52fad191ea0e893003a3a16292e2917729759bf135;reader-step-17@3e1b2aef615abe0bade4106a0adb05ed3ce63b159c09b0562643b91bd4277693;reader-step-30@5728fb3c66e94607abed523ffa277fbe0557ce64070e08bc3c74f98fca00a4fa","Elongated figures, idealized faces, and large expressive eyes establish general shoujo stylization despite grounded school settings.","Static call uses six genuine body pages across three contexts; no excluded page type is cited."
work-098b1781e14365eea667,artDensity,known,2,0.90,"reader-step-11@0914eeb5ea8a2cdbdaca4d52fad191ea0e893003a3a16292e2917729759bf135;reader-step-19@c45ee3184b81f39d3680784ed839d54b695f197a03331ee68897cfbe83b5b0ca;reader-step-27@d306a4cb0a2a33d0451af613d3a60bff36538c9cdcd8ab64c12418d167a946ab","Large faces and open fields alternate with selective school and stair detail, producing a balanced information load.","Static call uses six genuine body pages across three contexts; no excluded page type is cited."
work-098b1781e14365eea667,visualSoftness,known,4,0.94,"reader-step-11@0914eeb5ea8a2cdbdaca4d52fad191ea0e893003a3a16292e2917729759bf135;reader-step-22@310cbed67a106e973ed12391e62254171ecbd770262607010b57ec2144407304;reader-step-30@5728fb3c66e94607abed523ffa277fbe0557ce64070e08bc3c74f98fca00a4fa","Delicate linework, light tones, refined faces, and gently shaped hair consistently occupy the soft and beautiful endpoint.","Static call uses six genuine body pages across three contexts; no excluded page type is cited."
work-098b1781e14365eea667,motionImpact,unknown,,,"reader-step-19@c45ee3184b81f39d3680784ed839d54b695f197a03331ee68897cfbe83b5b0ca;reader-step-22@310cbed67a106e973ed12391e62254171ecbd770262607010b57ec2144407304","A stair movement is visible only as an isolated moment rather than a bounded continuous action.","No exact start, development, impact, and resolved-end references for one continuous action were retained."
work-0f3a44f5dcab9623d1be,artRealism,unknown,,,"https://www.shinchosha.co.jp/book/771742/;no-retained-pixel","No eligible internal body-page pixels were retained for an Art call.","The exact Shinchosha volume 1 product and ISBN are resolved, but no work-specific official trial was exposed; the generic /tryme/ catalog was excluded."
work-0f3a44f5dcab9623d1be,artDensity,unknown,,,"https://www.shinchosha.co.jp/book/771742/;no-retained-pixel","No eligible internal body-page pixels were retained for an Art call.","The exact Shinchosha volume 1 product and ISBN are resolved, but no work-specific official trial was exposed; the generic /tryme/ catalog was excluded."
