workId,axisId,state,value,confidence,refs,observation,limitation
work-025c8ab93483a39c9330,artRealism,known,3,0.91,reader-step-04;reader-step-07;reader-step-09;reader-step-11;reader-step-13;reader-step-17,Grounded anatomy hands clothing and constructed restaurant office train and city settings consistently lean realistic while manga facial stylization prevents the endpoint,Official entry-volume preview only; Gemini 2 was rejected because observed construction exceeds general stylization across the distinct contexts but value 4 is not sustained
work-025c8ab93483a39c9330,artDensity,known,3,0.90,reader-step-04;reader-step-07;reader-step-09;reader-step-11;reader-step-13;reader-step-17,Storefront signage food office equipment night buildings rail infrastructure weather display and layered tones recur often enough to keep information above balanced,Official entry-volume preview only; Gemini 2 was rejected because detailed environments recur across all four contexts while close dialogue panels prevent value 4
work-025c8ab93483a39c9330,visualSoftness,known,3,0.90,reader-step-04;reader-step-07;reader-step-09;reader-step-11;reader-step-13;reader-step-17,Clean rounded facial and hair contours smooth tones blush and food rendering make the treatment consistently softer than neutral,Official entry-volume preview only; Gemini 2 was rejected because polished curvature persists across both character and setting pages while firm male features prevent value 4
work-025c8ab93483a39c9330,motionImpact,unknown,,,reader-step-04;reader-step-07;reader-step-09;reader-step-11;reader-step-13;reader-step-17,Transport imagery and ordinary gestures do not form one exact continuous action sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
work-098b1781e14365eea667,artRealism,known,2,0.90,reader-step-11;reader-step-17;reader-step-19;reader-step-22;reader-step-27;reader-step-30,Elongated figures idealized faces large expressive eyes and grounded school space consistently fit general shojo stylization,Official entry-volume preview only; neither strong deformation nor realistic construction reaches an endpoint across every context
work-098b1781e14365eea667,artDensity,known,2,0.90,reader-step-11;reader-step-17;reader-step-19;reader-step-22;reader-step-27;reader-step-30,Large faces airy fields and restrained backgrounds alternate with corridor stair classroom clothing and tonal detail for balanced information density,Official entry-volume preview only; neither sparse simplicity nor high detail persists across every context
work-098b1781e14365eea667,visualSoftness,known,4,0.94,reader-step-11;reader-step-17;reader-step-19;reader-step-22;reader-step-27;reader-step-30,Delicate curved hair and eyelash lines smooth gradients refined faces and light screentone remain soft and polished throughout all sampled contexts,Official entry-volume preview only; the endpoint is limited to the six frozen body pages
work-098b1781e14365eea667,motionImpact,unknown,,,reader-step-11;reader-step-17;reader-step-19;reader-step-22;reader-step-27;reader-step-30,The stair jump is an isolated kinetic pose rather than one exact continuous action sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
work-0f3a44f5dcab9623d1be,artRealism,known,3,0.91,kurage-page-666;kurage-page-674;kurage-page-682;kurage-page-690;kurage-page-698;kurage-page-703,"Plausible adult anatomy, restrained facial proportions, layered court clothing, horses, roof structures, interiors, and the Heian city plan persist across the outdoor, architectural, and dialogue contexts, while selective facial and action stylization prevents the fully realistic extreme.","Official publisher-owned first-episode six-page body sample only; value 4 was rejected because faces, hair, expressions, and movement remain visibly stylized rather than consistently observational."
work-0f3a44f5dcab9623d1be,artDensity,known,3,0.92,kurage-page-666;kurage-page-674;kurage-page-682;kurage-page-690;kurage-page-698;kurage-page-703,"Detailed aerial streets, palace buildings, tiled roofs, latticework, period garments, screentone, hatching, and layered panel staging repeatedly provide above-balanced visual information across four contexts.","Official publisher-owned first-episode six-page body sample only; value 4 was rejected because several dialogue close-ups and speech-led panels preserve broad white or lightly rendered fields."
work-0f3a44f5dcab9623d1be,visualSoftness,known,1,0.88,kurage-page-666;kurage-page-674;kurage-page-682;kurage-page-690;kurage-page-698;kurage-page-703,"Angular male faces, sharp eyes and hair, hard black masses, scratchy movement hatching, and crisp architectural edges sustain a rougher-than-neutral presentation, while controlled contours and smooth screentone prevent the fully rough extreme.","Official publisher-owned first-episode six-page body sample only; Gemini value 3 was rejected because refined garment and hair details do not outweigh the angular contours and hard contrast repeated across the retained body contexts."
work-0f3a44f5dcab9623d1be,motionImpact,unknown,,,kurage-page-666;kurage-page-674;kurage-page-682;kurage-page-690;kurage-page-698;kurage-page-703,"The spaced body pages contain isolated running and movement imagery but do not preserve one exact continuous start-development-impact-resolved sequence.","The independently corrected preflight sets motionGateAttemptable=false; no numeric motion value was inferred and unknown is not low."
work-11d23966f22f777e95d0,artRealism,known,0,0.95,reader-step-07;reader-step-08;reader-step-12;reader-step-17;reader-step-22;reader-step-27,Strong cartoon deformation simplified anatomy round mascot bodies and caricatured human faces dominate every retained setting and scene,Official entry-volume preview only; Local 1 was rejected because all six contexts sustain the dictionary endpoint for strong deformation and simplification
work-11d23966f22f777e95d0,artDensity,known,2,0.91,reader-step-07;reader-step-08;reader-step-12;reader-step-17;reader-step-22;reader-step-27,Sparse character fields are offset by regular panels tones text props and occasional complete office domestic and outdoor environments,Official entry-volume preview only; the full sample is balanced rather than consistently sparse or densely rendered
work-11d23966f22f777e95d0,visualSoftness,known,2,0.90,reader-step-07;reader-step-08;reader-step-12;reader-step-17;reader-step-22;reader-step-27,Rounded mascot shapes coexist with heavy contours plain comic faces hard emotion marks and scratchier distressed panels so the treatment remains neutral,Official entry-volume preview only; rounded silhouettes alone do not establish polished softness across every context
work-11d23966f22f777e95d0,motionImpact,unknown,,,reader-step-07;reader-step-08;reader-step-12;reader-step-17;reader-step-22;reader-step-27,Comedic movement and running appear as disconnected beats rather than one exact continuous action sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
work-132ce7172750a3b1fa53,artRealism,known,4,0.92,reader-step-05;reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11,Adult anatomy facial structure hands clothing vehicles rooms objects and perspective remain realistic across both retained contexts,Official entry-volume preview only; Gemini 2 was rejected because the capsule figure is a story object and does not displace the realistic construction sustained by the people and settings
work-132ce7172750a3b1fa53,artDensity,known,3,0.91,reader-step-05;reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11,Detailed car elevator apartment ceramics skyline tonal modeling debris and effect lines keep visual information above balanced overall,Official entry-volume preview only; Gemini 2 was rejected because detailed objects and environments recur while sparse capsule panels prevent value 4
work-132ce7172750a3b1fa53,visualSoftness,known,1,0.92,reader-step-05;reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11,Angular faces hard black contrast firm contours coarse hatching debris and forceful impact marks make the surface rougher than neutral,Official entry-volume preview only; Gemini 2 was rejected because abrasive angular treatment recurs in both ordinary and impact pages while clean object rendering prevents value 0
work-132ce7172750a3b1fa53,motionImpact,unknown,,,reader-step-05;reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11,Telekinetic destruction and capsule impact do not have a frozen exact start development impact and resolved endpoint sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
work-15dba4fdb46308ab45d7,artRealism,unknown,,,reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11;reader-step-12,Retained exact-edition diagnostic pixels are not eligible for a static Art call,Six readable body pages preserve only one independently accepted scene context; the two-context static gate fails and unknown is not low
work-15dba4fdb46308ab45d7,artDensity,unknown,,,reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11;reader-step-12,Retained exact-edition diagnostic pixels are not eligible for a static Art call,Six readable body pages preserve only one independently accepted scene context; the two-context static gate fails and unknown is not low
work-15dba4fdb46308ab45d7,visualSoftness,unknown,,,reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11;reader-step-12,Retained exact-edition diagnostic pixels are not eligible for a static Art call,Six readable body pages preserve only one independently accepted scene context; the two-context static gate fails and unknown is not low
work-15dba4fdb46308ab45d7,motionImpact,unknown,,,reader-step-07;reader-step-08;reader-step-09;reader-step-10;reader-step-11;reader-step-12,Retained diagnostic pixels do not establish one exact continuous action sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
work-188ba092c6195603bb3f,artRealism,unknown,,,reader-step-05;reader-step-06;reader-step-08;reader-step-09;reader-step-10,Retained exact-edition diagnostic pixels are below the static sample threshold,The opening page was excluded and five genuine body pages remain below the six-page gate; unknown is not low
work-188ba092c6195603bb3f,artDensity,unknown,,,reader-step-05;reader-step-06;reader-step-08;reader-step-09;reader-step-10,Retained exact-edition diagnostic pixels are below the static sample threshold,The opening page was excluded and five genuine body pages remain below the six-page gate; unknown is not low
work-188ba092c6195603bb3f,visualSoftness,unknown,,,reader-step-05;reader-step-06;reader-step-08;reader-step-09;reader-step-10,Retained exact-edition diagnostic pixels are below the static sample threshold,The opening page was excluded and five genuine body pages remain below the six-page gate; unknown is not low
work-188ba092c6195603bb3f,motionImpact,unknown,,,reader-step-05;reader-step-06;reader-step-08;reader-step-09;reader-step-10,Retained diagnostic pixels do not establish one exact continuous action sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
work-19c2017b33c07f48634e,artRealism,unknown,,,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,Retained exact-edition diagnostic pixels are below the static sample threshold,The opening page was excluded and five genuine body pages remain below the six-page gate; unknown is not low
work-19c2017b33c07f48634e,artDensity,unknown,,,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,Retained exact-edition diagnostic pixels are below the static sample threshold,The opening page was excluded and five genuine body pages remain below the six-page gate; unknown is not low
work-19c2017b33c07f48634e,visualSoftness,unknown,,,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,Retained exact-edition diagnostic pixels are below the static sample threshold,The opening page was excluded and five genuine body pages remain below the six-page gate; unknown is not low
work-19c2017b33c07f48634e,motionImpact,unknown,,,reader-step-06;reader-step-07;reader-step-08;reader-step-09;reader-step-10,Retained diagnostic pixels do not establish one exact continuous action sequence,Preflight motionGateAttemptable=false; no start-development-impact-resolved sequence; unknown is not low
