workId,axisId,state,value,confidence,refs,observation,limitation
work-c9e32218e26c6c6292f9,artRealism,unknown,,,"official-url=https://www.shueisha.co.jp/books/reader/main.php?cid=9784088837246;frozen-ISBN=9784088837246;pages=5;contexts=3",The exact official reader exposes five eligible body pages after the episode-title splash is excluded,Five pages do not meet the six-readable-page prerequisite; unknown does not imply a low value and is not a blocker
work-c9e32218e26c6c6292f9,artDensity,unknown,,,"official-url=https://www.shueisha.co.jp/books/reader/main.php?cid=9784088837246;frozen-ISBN=9784088837246;pages=5;contexts=3",The exact official reader exposes five eligible body pages after the episode-title splash is excluded,Five pages do not meet the six-readable-page prerequisite; unknown does not imply a low value and is not a blocker
work-c9e32218e26c6c6292f9,visualSoftness,unknown,,,"official-url=https://www.shueisha.co.jp/books/reader/main.php?cid=9784088837246;frozen-ISBN=9784088837246;pages=5;contexts=3",The exact official reader exposes five eligible body pages after the episode-title splash is excluded,Five pages do not meet the six-readable-page prerequisite; unknown does not imply a low value and is not a blocker
work-c9e32218e26c6c6292f9,motionImpact,unknown,,,"official-url=https://www.shueisha.co.jp/books/reader/main.php?cid=9784088837246;frozen-ISBN=9784088837246;pages=5;contexts=3",No exact bounded continuous action sequence is retained,Motion requires exact start development impact and resolved-end references; unknown does not imply a low value and is not a blocker
work-d655ea1cfb913f33cc9a,artRealism,known,2,0.86,display-04;display-05;display-06;display-07;display-08;display-09,Student bodies uniforms bicycles school interiors and exteriors retain coherent scale while enlarged eyes simplified faces and comic reactions remain ordinary manga stylization,The value is limited to six official early volume-one pages across three contexts
work-d655ea1cfb913f33cc9a,artDensity,known,2,0.85,display-04;display-05;display-06;display-07;display-08;display-09,School architecture bicycles lockers furniture compact panels and screentone balance against open sky corridor portrait and dialogue fields,Context-level variation supports the balanced anchor rather than either density endpoint
work-d655ea1cfb913f33cc9a,visualSoftness,known,2,0.83,display-04;display-05;display-06;display-07;display-08;display-09,Fine clean contours and rounded heroine features alternate with angular male construction flat black uniforms and crisp architectural lines,Neither a rough nor consistently delicate treatment dominates every context
work-d655ea1cfb913f33cc9a,motionImpact,unknown,,,display-04;display-05;display-06;display-07;display-08;display-09,Bicycle and school gestures appear as fragments rather than one exact bounded continuous action sequence,No start-development-impact-resolved-end reference set exists; unknown is neither low nor a blocker
work-d735187a8421d0d33399,artRealism,known,3,0.88,display-04;display-05;display-06;display-07;display-08;display-09,Adult anatomy age variation hands clothing beach perspective library shelving rooms and everyday objects retain observed proportion and material while faces remain polished manga stylization,The sample stays below full realism and is limited to the original volume-one trial
work-d735187a8421d0d33399,artDensity,known,2,0.84,display-04;display-05;display-06;display-07;display-08;display-09,Library shelving interiors clothing and compact dialogue panels balance against broad sea sky portrait and white fields,The six pages alternate detailed interiors and sparse recollection space rather than sustaining high density
