position,workId,canonicalTitle
1,work-867422e99320c757a340,かつて魔法少女と悪は敵対していた。
2,work-86bf2f7b461aa59499e9,神さまがまちガえる
3,work-86e698f79e20d9caa95a,I.C.U.
4,work-86f88e23bba7eaa71afd,黒子のバスケ
5,work-875336d3e6c905047559,魔王城でおやすみ
6,work-87d3340aeaccad5f69a6,あじさいタウン
7,work-88567a8a7b0cacf777c6,ミルモでポン！
8,work-889bc957a60a0558af22,夏の前日
9,work-88a18383d225bfbb8d3c,きのこいぬ
10,work-88b6ddbe403959af0452,きらりん☆レボリューション
11,work-890c2ef066c0575db3d6,溺れるナイフ
12,work-896cdea5c2a2fc018926,悪祓士のキヨシくん
13,work-898846fd9f5d77e49ed7,愛しの可愛い子ちゃん
14,work-89a635148e2b3c129e38,とどのつまりの有頂天
15,work-89cec8cc100900d67d7e,エイリアンヘッドバット
16,work-89d795575d6787113859,鞄図書館
17,work-89f5e17e2f8148359e4a,寿司ガール
18,work-8a0b641effa2e417d7ad,もういっぽん！
19,work-8b37f50c7ef707254e8e,やんちゃギャルの安城さん
20,work-8b620746045c3e21d13f,ぼくたちは勉強ができない
21,work-8b69986d0bbfa6abceb9,虹の娘
22,work-8bac9b710429e535768d,世界に羽ばたけ轟先生！
23,work-8be993fce62c22fa3702,鏡の国の針栖川
24,work-8c11eaa8b5cd763930d5,ナリキン！
25,work-8c31125fd4a0930f559e,マコちゃん絵日記
26,work-8caf20d75cf6a51600f2,大阪ハムレット
27,work-8d4e0bde0ff3d4a12783,odds GP!
28,work-8db2b2190a8539797474,エイス
29,work-8ddcf8b988956bca92a4,ポーの一族 ユニコーン
30,work-8df64cbd79e886289030,夕日ロマンス
31,work-8e138477c31512a8cce3,かわうその自転車屋さん
32,work-8e3207bdaa057924de2c,オンナミチ
33,work-8ec826c0db13f6e71c64,魔入りました！入間くん
34,work-8ec916b978d347c360bd,prism
35,work-8f7c9c4dc5e8c7adb655,BLACK BIRD
36,work-8fc60a797da33e2008de,明日のない空
37,work-8fcc50271f37e026bc3f,うちの妻ってどうでしょう？
38,work-8fcfd281265fcacb7e4a,さよならもいわずに
39,work-8fe3fc7e4a5c069b0a9f,娘の家出
40,work-8ff791cd14bf2b7e9495,すべてがちょっとずつ優しい世界
41,work-9014e740e708fed37580,であいもん
42,work-902252f2a52ad25cd38f,ぎんぎつね
43,work-90510bc26c9ef2851fb5,ギャル医者あやっぺ
44,work-90a48d5d64cffbc5cfa2,魔王様としゅんくん
45,work-90dcaac35aacdc4fd682,８月のソーダ水
46,work-9120d2a8575b5caa1a4a,サイケまたしても
47,work-918269f1052ba75e3add,同人少女ＪＢ
48,work-91c5f2bf8e844a340b1c,ハッピーシュガーライフ
49,work-91defad58c596cdfd766,楽園の条件
50,work-9204df77aa0e4c6b1622,江戸モアゼル
