position,workId,canonicalTitle,genres,themes,progression,problemSolving,strategy,pacing,mysteryReveal,worldBuilding,characterArcWeight,relationshipStructure,comedy,darkness,mentalStress,romance,emotionalWarmth,factorConfidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,japaneseEvidenceUrls,koreanEvidenceUrls,koreanQueries,notes
1,work-9c99d5d65e8e6a4a8465,少年メイド,comedy;sliceOfLife,foundFamily:2:0.88,2,2,unknown,2,unknown,2,4,2,4,2,unknown,unknown,4,0.84,Rakuten Books representative volume 1 product — 少年メイド,https://books.rakuten.co.jp/rb/13604799/,2012,2026-08-26,https://note.com/perlod/n/n72653397e1bf,,소년 메이드 만화 리뷰;쇼넨 메이드 리뷰,초반 1~3권 범위: 공식 Rakuten 1권과 Note 독립 감상 본문(2025-12-21)을 대조했다. Note는 치사토가 어머니 사망 뒤 삼촌 집에서 메이드 일을 하며 학교와 집의 요리·청소 에피소드로 적응하는 상냥한 일상 코미디라고 설명한다. progression=2는 초반 여러 화에서 치사토의 적응과 자부심 변화가 이어지는 정도이며 problemSolving=2는 요리·청소와 집안일을 반복적으로 처리하는 실용 과제다. pacing=2는 짧은 일상 에피소드 흐름이고 worldBuilding=2는 집·학교·메이드 역할이 기능적 배경이다. characterArcWeight=4는 자존심과 가족관계가 감정 보상이며 relationshipStructure=2는 치사토·삼촌·반 친구의 고정 관계다. comedy=4는 Note의 명시적 일상 코미디다. darkness=2는 어머니 사망이라는 비극을 명시하되 어조는 가볍다는 관찰이며 emotionalWarmth=4는 삼촌의 가족애와 상냥한 세계에 근거한다. mentalStress와 romance는 직접 본문에서 반복 신호가 없어 unknown이다. 한국어 query(소년 메이드 만화 리뷰;쇼넨 메이드 리뷰)를 수행했지만 직접 본문 URL은 확보하지 못해 KR URL을 비웠고 Art는 분석하지 않았다.
2,work-9cfccaa87d8dc193f422,血界戦線,action;fantasy;scienceFiction,combat:2:0.90;investigation:2:0.82,unknown,2,unknown,4,2,4,2,4,4,2,2,unknown,2,0.84,Rakuten Books representative volume 1 product — 血界戦線,https://books.rakuten.co.jp/rb/6272648/,2011,2026-08-26,https://note.com/anohito_0313/n/n6d400adcff00,https://bbs.ruliweb.com/family/211/board/300075/read/26081595;https://sodapopz.tistory.com/72,혈계전선 만화 리뷰;케카이 센센 리뷰,초반 1~3권 범위: 공식 Rakuten 1권과 Note 독립 리뷰(2022-08-24) 및 Ruliweb과 sodapopz의 한국어 직접 리뷰를 대조했다. Note는 다른 세계와 연결된 뉴욕과 재건된 악마도시에서 비밀결사가 초상 사건을 처리하고 전개가 빠르고 전투가 읽힌다고 설명한다. problemSolving=2는 비밀결사의 사건 처리이며 pacing=4는 Note의 빠른 전개와 sodapopz의 fast tempo 및 jump-cut 관찰이다. mysteryReveal=2는 레오의 눈과 초상 사건의 비밀을 따라가는 초반 질문이다. worldBuilding=4는 다른 세계 도시의 규칙과 Libra 비밀결사가 반복적으로 중심이 된다는 설명이다. characterArcWeight=2는 레오의 죄책감과 성장을 균형 요소로만 두고 relationshipStructure=4는 Libra 동료 앙상블이다. comedy=4는 Ruliweb이 일상 코미디와 피자 절도 장면을 언급하고 sodapopz가 유머와 진지를 병치한다는 데 근거한다. darkness=2는 대량 사상자와 긴장 장면이며 mentalStress=2는 레오의 죄책감과 사건 긴장이다. emotionalWarmth=2는 동료 신뢰에 대한 sodapopz 관찰이다. 한국어 직접 페이지는 애니메이션 각색 리뷰이므로 만화 후반 주장은 추론하지 않았다. Art는 분석하지 않았다.
3,work-9cfdc50b51526aad52a4,おんさのひびき,sliceOfLife,school:1:0.70,2,2,unknown,unknown,0,2,2,2,unknown,2,2,unknown,2,0.68,Rakuten Books representative volume 1 product — おんさのひびき,https://books.rakuten.co.jp/rb/6454302/,2011,2026-08-26,https://booklive.jp/review/list/title_id/421923/vol_no/001,,온사노 히비키 만화 리뷰;온사의 울림 리뷰,초반 1권 범위: 공식 Rakuten 1권과 BookLive의 1권 직접 리뷰 본문을 대조했다. BookLive는 모자 가정의 순기와 우등생 마코와 자기 삶을 살려는 에토가 나오는 빛나는 청춘 시리즈라고 소개하고 감정 태그로 애절함·두근거림·깊이를 제시한다. 한 리뷰는 학급에 잘 섞이지 못해 우울했던 기억과 어린 시절의 왕따를 회고하고 다른 리뷰는 소년소녀를 좋아하게 된다고 썼다. progression=2는 세 인물이 각자 자신의 삶을 찾으려는 초반 변화이며 problemSolving=2는 가정·학급에 적응하며 현실의 어려움을 마주하는 정도다. mysteryReveal=0은 직접 소개와 리뷰가 청춘 인물극과 감정 회고를 보상으로 삼고 추리·비밀 공개를 제시하지 않는 구조에 한정한다. worldBuilding=2는 모자가정·학교와 학급이 기능적 배경이다. characterArcWeight=2와 relationshipStructure=2는 순기·마코·에토의 균형 잡힌 삶과 핵심 관계를 보수 매핑했다. darkness=2는 왕따와 잔혹했던 어린 시절의 기억이며 mentalStress=2는 학급에 섞이지 못한 우울감에 근거한다. emotionalWarmth=2는 리뷰어가 소년소녀를 좋아하게 된다는 반응 정도다. pacing와 strategy와 comedy와 romance는 직접 본문에서 별도 반복 신호가 없어 unknown이다. 한국어 query(온사노 히비키 만화 리뷰;온사의 울림 리뷰)를 수행했지만 직접 본문 URL은 확보하지 못해 KR URL을 비웠고 Art는 분석하지 않았다.
4,work-9d2b58c5a982b7ddcbc6,ボーイズ・オン・ザ・ラン,comedy;romance,workplace:2:0.90,2,unknown,unknown,2,0,2,2,2,2,2,2,4,unknown,0.75,Rakuten Books representative volume 1 product — ボーイズ・オン・ザ・ラン,https://books.rakuten.co.jp/rb/3660647/,2008,2026-08-26,https://booklive.jp/review/list/title_id/1051812/vol_no/001,,보이즈 온 더 런 만화 리뷰;보이즈 온 더 런 리뷰,초반 1권 범위: 공식 Rakuten 1권과 BookLive의 1권 직접 리뷰 본문을 대조했다. 공식 줄거리는 27세 직장인 타니시와 직장 후배 치하루가 메일과 맥주정원으로 거리를 좁혀 가는 늦깎이 청춘담이라고 명시한다. progression=2는 직장 후배와의 관계가 첫 권에서 단계적으로 진행되는 흐름이며 pacing=2는 일상 직장과 연애 호흡이다. mysteryReveal=0은 공식 소개와 리뷰가 메일·맥주정원·짝사랑의 관계 변화를 중심으로 하고 수수께끼나 진실 공개를 제시하지 않는 구조에 따른다. worldBuilding=2는 회사와 동료 관계가 기능적 배경인 점이다. characterArcWeight=2와 relationshipStructure=2는 타니시와 치하루 중심의 고정 관계와 회피하던 인물의 고민을 균형 요소로 두었다. comedy=2는 웃긴 감정 태그와 진지한 행동이 웃음을 만든다는 초기 리뷰이며 darkness=2는 통증과 눈물과 안타까움이라는 1권 반응이다. mentalStress=2는 선택 회피와 짝사랑의 초조함이고 romance=4는 후배와의 거리 변화가 줄거리 중심이다. 한국어 query(보이즈 온 더 런 만화 리뷰;보이즈 온 더 런 리뷰)를 수행했지만 개별 본문 URL은 확보하지 못해 KR URL을 비웠고 Art는 분석하지 않았다.
5,work-9d437b1a9711aeb3471d,花音,sliceOfLife,exploration:2:0.84;foundFamily:1:0.72,2,unknown,unknown,2,2,2,4,2,unknown,2,2,unknown,4,0.82,Rakuten Books representative volume 1 product — 花音,https://books.rakuten.co.jp/rb/760918/,1996,2026-08-26,https://booklive.jp/review/list/title_id/183229/vol_no/001,,카논 만화 리뷰;하나오토 리뷰,초반 1권 범위: 공식 Rakuten 1권과 BookLive의 1권 직접 리뷰 본문(2017-03-12 및 2022-02-28)을 대조했다. 공식 줄거리는 몽골 호텔의 모녀와 작곡가 텐도가 만나고 어머니 사망 뒤 카논이 아버지를 찾기 위해 일본에서 일류 바이올리니스트가 되기로 결심한다고 설명한다. progression=2는 카논의 목표와 일본행 결심이며 pacing=2는 몽골의 만남에서 일본행 결정으로 이어지는 정상 호흡이다. mysteryReveal=2는 생존한 음악가 아버지라는 단서이고 worldBuilding=2는 몽골 호텔과 음악 활동이 기능적 배경인 점이다. characterArcWeight=4는 카논의 음악 목표와 가족 탐색이 핵심 보상이며 relationshipStructure=2는 텐도와 카논과 어머니의 고정 관계다. darkness=2는 어머니 사망이라는 비극이고 mentalStress=2는 아버지 부재와 상실의 압박이다. emotionalWarmth=4는 텐도와 카논이 친해지고 함께 일본으로 가는 유대에 근거한다. exploration 테마는 몽골에서 일본으로의 이동이며 foundFamily 테마는 텐도와 카논의 보호자 관계를 중심성 1로 보수 기록했다. 한국어 query(카논 만화 리뷰;하나오토 리뷰)를 수행했지만 개별 본문 URL은 확보하지 못해 KR URL은 비웠다. Art는 분석하지 않았다.
6,work-9d521b89712c948b76ce,水女神は今日も恋をするか？,fantasy;romance;comedy,survival:2:0.90,unknown,2,unknown,2,2,4,4,2,2,2,2,4,4,0.88,Rakuten Books representative volume 1 product — 水女神は今日も恋をするか？,https://books.rakuten.co.jp/rb/15831743/,2019-08-22,2026-08-26,https://booklive.jp/review/list/title_id/604599/vol_no/001;https://halfway-everyday.hatenablog.com/entry/2021/02/24/232042,,물의 여신은 오늘도 사랑을 할까 만화 리뷰;미즈 메가미와 쿄모 코이오 스루카 리뷰,초반 1권 범위: 공식 Rakuten 1권과 BookLive 1권 직접 리뷰 및 Halfway 블로그의 1권 구간을 대조했다. 공식 소개는 물이 귀한 세계에서 아쿠레아의 물 생성 능력과 아샤를 향한 사랑이 사람들을 살린다고 설명한다. BookLive 리뷰는 사막 왕국의 순수 판타지와 순애와 코미디와 치유를 언급하고 Halfway는 물 부족과 물의 각성 규칙과 두 사람의 오해를 구체화한다. problemSolving=2는 물 부족을 능력과 행동으로 해결하려는 초반 대응이며 pacing=2는 구출과 고백 오해가 이어지는 정상 호흡이다. mysteryReveal=2는 사랑의 감정과 물 생성의 규칙을 알아가는 초반 비밀이다. worldBuilding=4는 사막 왕국과 물 부족과 여신 역할과 능력 규칙이 반복적으로 사건을 움직인다. characterArcWeight=4는 두 사람의 감정과 사랑이 줄거리 핵심이며 relationshipStructure=2는 아쿠레아와 아샤 중심 관계다. comedy=2는 BookLive의 코미디 태그와 리뷰이며 darkness=2는 하드한 물 부족 세계의 위험이다. mentalStress=2는 아쿠레아의 부담과 아샤의 걱정이고 romance=4는 순애가 중심이다. emotionalWarmth=4는 희망과 사랑이 세계를 구한다는 공식·리뷰 메시지에 근거한다. 한국어 query(물의 여신은 오늘도 사랑을 할까 만화 리뷰;미즈 메가미와 쿄모 코이오 스루카 리뷰)를 수행했지만 개별 본문 URL은 확보하지 못해 KR URL은 비웠다. Art는 분석하지 않았다.
7,work-9de2b62d9ed781881670,箱入りドロップス,comedy;sliceOfLife,school:2:0.80,2,2,unknown,2,unknown,2,4,2,4,unknown,unknown,0,4,0.84,Rakuten Books representative volume 1 product — 箱入りドロップス,https://books.rakuten.co.jp/rb/11604370/,2013,2026-08-26,https://booklive.jp/review/list/title_id/328896/vol_no/001,,상자 속 드롭스 만화 리뷰;하코이리 드롭스 리뷰,초반 1권 범위: 공식 Rakuten 1권과 BookLive 1권 직접 리뷰 본문을 대조했다. 공식 줄거리는 고교생의 독립생활과 세상 물정을 모르는 이웃 소녀의 모든 첫 경험을 상자 딸 코미디로 소개한다. progression=2는 여러 첫 경험을 거치며 시즈쿠가 일상에 적응하는 흐름이며 problemSolving=2는 이웃이 생활을 가르치고 돌보는 실용적 문제 대응이다. pacing=2는 일상 4컷의 정상 호흡이고 worldBuilding=2는 고교와 이웃집이라는 기능적 배경이다. characterArcWeight=4는 시즈쿠의 적응과 캐릭터성이 핵심이며 relationshipStructure=2는 이웃 소년과 소녀와 반 친구들의 고정 관계다. comedy=4는 공식의 상자 딸 코미디와 리뷰의 4컷 웃음 묘사에 근거한다. romance=0은 직접 리뷰가 연애 요소가 없다고 명시한 데 따른 값이며 emotionalWarmth=4는 돌봄과 치유와 일상 공유에 근거한다. darkness와 mentalStress는 직접 본문에 반복 신호가 없어 unknown으로 두었다. 한국어 query(상자 속 드롭스 만화 리뷰;하코이리 드롭스 리뷰)를 수행했지만 개별 본문 URL은 확보하지 못해 KR URL은 비웠다. Art는 분석하지 않았다.
8,work-9e12ab5a319cfbf36307,セカイのミカタ,action;fantasy,exploration:2:0.88;combat:2:0.82,unknown,2,unknown,2,2,4,2,2,unknown,2,2,unknown,2,0.80,Rakuten Books representative volume 1 product — セカイのミカタ,https://books.rakuten.co.jp/rb/6718495/,2011,2026-08-26,https://ameblo.jp/toraieisu/entry-10740130778.html,,세계의 미카타 만화 리뷰;세카이노 미카타 리뷰,초반 1권 범위: 공식 Rakuten 1권과 Ameblo 독립 리뷰 본문의 세카이의 미카타 구간을 대조했다. 리뷰는 도시의 200개 이상 이계 문과 이계 존재와 질서를 맡는 이계관리국 이카이카를 구체적으로 소개하고 주인공이 그 조직에 들어가려는 시작과 이계 존재와의 배틀을 적는다. problemSolving=2는 관리국의 질서 유지와 사건 대응이며 pacing=2는 조직 입문과 이계 배틀이 이어지는 정상 도입이다. mysteryReveal=2는 가치관을 공유할 수 없는 세계와 이계 문이 만드는 초반 질문이고 worldBuilding=4는 다수의 문과 이계 존재와 관리국 규칙이 작품의 반복 중심이다. characterArcWeight=2는 주인공의 쌍둥이 목표와 가치관 고민을 균형 요소로 두었고 relationshipStructure=2는 주인공과 다언어 어린 시절 친구와 관리국 동료의 핵심 관계다. darkness=2는 이계 배틀의 위험이며 mentalStress=2는 쌍둥이 부재와 대립 가치관의 긴장이다. emotionalWarmth=2는 어린 시절 친구의 지원 역할에 대한 리뷰 관찰이다. 한국어 query(세계의 미카타 만화 리뷰;세카이노 미카타 리뷰)를 수행했지만 개별 본문 URL은 확보하지 못해 KR URL은 비웠다. Art는 분석하지 않았다.
9,work-9ea21464345e9489a6c2,魔法少女♡三十路,comedy;fantasy,workplace:1:0.65,unknown,2,unknown,2,2,2,4,2,4,2,2,unknown,unknown,0.84,Rakuten Books representative volume 1 product — 魔法少女♡三十路,https://books.rakuten.co.jp/rb/17287310/,2023-08-31,2026-08-26,https://note.com/iroakg/n/n2361fb8615ad,https://m.yes24.com/Goods/Review/125829841,마법소녀♡서른 만화 리뷰;마호 쇼조 미소지 리뷰,초반 1권 범위: 공식 Rakuten 1권과 Note 독립 리뷰(2022-12-14) 및 YES24 한국어 1권 리뷰 본문을 대조했다. Note는 35세 요코의 일과 생활과 체면을 설명한 뒤 전철에서 변신하고 요정과 상사를 만나며 연령 제한 폐지와 작업 포기 시 사형 규칙을 확인하는 초반 순서를 구체적으로 적는다. problemSolving=2는 일을 그만두려는 시도와 강제 임무 대응이며 pacing=2는 변신과 규칙 확인과 첫 적 대면이 한 권 안에서 이어지는 정상 호흡이다. mysteryReveal=2는 연령 제한과 사형 규칙과 적과 아군의 정체를 알아가는 초반 비밀이고 worldBuilding=2는 요정과 상사와 마법소녀 업무 규칙이 기능적 설정이다. characterArcWeight=4는 요코의 직장과 사회적 체면 충돌이 핵심이며 relationshipStructure=2는 요코와 요정과 젊은 마법소녀와 적의 초기 관계다. comedy=4는 Note의 상황 개그와 YES24 1권 리뷰의 나이 든 얼굴과 복장 부조화 개그가 반복된다는 관찰이다. darkness=2는 실패 시 사형과 멘탈을 깎는 적의 위협이며 mentalStress=2는 체면 압박과 젊은 마법소녀에게 받은 심리적 타격이다. YES24의 한국어 직접 리뷰는 1권 구매 감상으로 30대 공감과 상황적 재미를 확인했으며 후권 후기는 제외했다. 한국어 query(마법소녀♡서른 만화 리뷰;마호 쇼조 미소지 리뷰)를 수행했다. Art는 분석하지 않았다.
10,work-9ea5b539398abf33389c,不器用な先輩。,comedy;romance,workplace:2:0.92,2,2,unknown,2,unknown,2,4,2,4,0,2,4,4,0.92,Rakuten Books representative volume 1 product — 不器用な先輩。,https://books.rakuten.co.jp/rb/16218275/,2020-08-19,2026-08-26,https://sonomanga.blog/466/;https://gomashelf.com/bukiyou-na-senpai-review/,https://m.yes24.com/Goods/Review/103224551,서투른 선배 만화 리뷰;부키요나 센파이 리뷰,초반 1권 범위: 공식 Rakuten 1권과 Sonomanga 및 Gomashelf의 일본어 직접 리뷰와 YES24 한국어 1권 리뷰 본문을 대조했다. Sonomanga와 Gomashelf는 회사의 신입사원 교육담당인 철륜 선배가 겉으로는 무섭지만 후배를 챙기는 오피스 러브코미디이며 평화롭고 스트레스 없이 읽힌다고 설명한다. progression=2는 교육과 관계가 이어지며 사랑과 성장이 드러난다는 한국어 1권 감상이고 problemSolving=2는 신입사원 교육과 업무 지도가 실용적 문제 대응으로 반복되는 점이다. pacing=2는 짧은 직장 에피소드의 정상 호흡이며 worldBuilding=2는 회사와 교육담당 역할이 기능적 배경이다. characterArcWeight=4는 칸나의 겉과 속의 간극과 배려가 핵심이고 relationshipStructure=2는 선배와 후배의 고정 관계다. comedy=4는 두 일본 리뷰가 명시한 러브코미디와 허당 갭 개그이며 darkness=0은 Gomashelf의 평화롭고 스트레스 없는 독서 감상에 근거한다. mentalStress=2는 오해와 서투른 표현에서 오는 긴장이고 romance=4는 오피스 러브코미디와 두 사람의 감정선이 중심이다. emotionalWarmth=4는 술을 대신 마셔주고 후배를 신경 쓰는 배려와 한국어 리뷰의 진심 확인에 근거한다. 한국어 query(서투른 선배 만화 리뷰;부키요나 센파이 리뷰)를 수행했으며 Art는 분석하지 않았다.
